Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Aarupadai Veedu Medical College and Hospital,"Aarupadai Veedu Medical College and Hospital, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607403,8213297494,India,11.8315140,79.7823693,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized pediatric care unit, Telemedicine consultations for remote patients",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,18208.38,,,,,
Aarupadai Veedu Medical College and Hospital,"Aarupadai Veedu Medical College and Hospital, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607403,8213297494,India,11.8315140,79.7823693,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized pediatric care unit, Telemedicine consultations for remote patients",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,13990.97,,,,,
Aarupadai Veedu Medical College and Hospital,"Aarupadai Veedu Medical College and Hospital, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607403,8213297494,India,11.8315140,79.7823693,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized pediatric care unit, Telemedicine consultations for remote patients",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,13990.97,United India Insurance Company,Arogya Sanjeevani Policy,7303.25,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Aarupadai Veedu Medical College and Hospital,"Aarupadai Veedu Medical College and Hospital, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607403,8213297494,India,11.8315140,79.7823693,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized pediatric care unit, Telemedicine consultations for remote patients",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,13990.97,Care Health Insurance,Maternity Health Insurance,10400.03,True,"Cashless hospitalization across network hospitals, Tax benefits under Section 80D, Coverage for chronic disease management, Maternity and newborn cover, Pre and post-hospitalization expenses, Second medical opinion service, Daycare treatment coverage"
Aarupadai Veedu Medical College and Hospital,"Aarupadai Veedu Medical College and Hospital, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607403,8213297494,India,11.8315140,79.7823693,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized pediatric care unit, Telemedicine consultations for remote patients",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,13990.97,Zuno General Insurance (Edelweiss),Critical Illness Cover,11149.25,True,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
Aarupadai Veedu Medical College and Hospital,"Aarupadai Veedu Medical College and Hospital, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607403,8213297494,India,11.8315140,79.7823693,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized pediatric care unit, Telemedicine consultations for remote patients",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,13990.97,Oriental Insurance Company,Critical Illness Policy,6961.73,True,"Pre and post-hospitalization expenses, Tax benefits under Section 80D, Critical illness coverage, Personal accident insurance, Unlimited teleconsultations, Second medical opinion service"
Aarupadai Veedu Medical College and Hospital,"Aarupadai Veedu Medical College and Hospital, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607403,8213297494,India,11.8315140,79.7823693,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized pediatric care unit, Telemedicine consultations for remote patients",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,1506.63,,,,,
Aarupadai Veedu Medical College and Hospital,"Aarupadai Veedu Medical College and Hospital, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607403,8213297494,India,11.8315140,79.7823693,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized pediatric care unit, Telemedicine consultations for remote patients",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,1506.63,Exide Life Insurance,Hospital Cash Benefit,1110.75,True,"No claim bonus benefits, Critical illness coverage, Cashless hospitalization across network hospitals, Unlimited teleconsultations, Pre and post-hospitalization expenses, Organ donor expenses covered"
Aarupadai Veedu Medical College and Hospital,"Aarupadai Veedu Medical College and Hospital, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607403,8213297494,India,11.8315140,79.7823693,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized pediatric care unit, Telemedicine consultations for remote patients",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,1506.63,Bharti AXA General Insurance,Smart Health Insurance Policy,744.12,True,"Pre and post-hospitalization expenses, No claim bonus benefits, Critical illness coverage, Ambulance cover, Cashless hospitalization across network hospitals"
Aarupadai Veedu Medical College and Hospital,"Aarupadai Veedu Medical College and Hospital, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607403,8213297494,India,11.8315140,79.7823693,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized pediatric care unit, Telemedicine consultations for remote patients",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,1506.63,Bajaj Allianz General Insurance,Health Infinity Plan,980.26,True,"Annual health check-ups, Maternity and newborn cover, Cashless hospitalization across network hospitals, Coverage for chronic disease management, No room rent limit"
Aarupadai Veedu Medical College and Hospital,"Aarupadai Veedu Medical College and Hospital, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607403,8213297494,India,11.8315140,79.7823693,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized pediatric care unit, Telemedicine consultations for remote patients",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,1506.63,Aviva Life Insurance,Arogya Sanjeevani Policy,1103.68,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Aarupadai Veedu Medical College and Hospital,"Aarupadai Veedu Medical College and Hospital, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607403,8213297494,India,11.8315140,79.7823693,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized pediatric care unit, Telemedicine consultations for remote patients",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,1506.63,HDFC ERGO General Insurance,Optima Restore Family Floater,711.82,True,"Critical illness coverage, Health and wellness rewards program, Ambulance cover, Tax benefits under Section 80D, Coverage for alternative treatments (AYUSH), No claim bonus benefits, International emergency coverage"
Aarupadai Veedu Medical College and Hospital,"Aarupadai Veedu Medical College and Hospital, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607403,8213297494,India,11.8315140,79.7823693,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized pediatric care unit, Telemedicine consultations for remote patients",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,1506.63,Acko General Insurance,ACKO Platinum Super Top-up Health Insurance Policy,1173.52,True,"Maternity and newborn cover, Organ donor expenses covered, Health and wellness rewards program, Cashless hospitalization across network hospitals, No room rent limit"
Aarupadai Veedu Medical College and Hospital,"Aarupadai Veedu Medical College and Hospital, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607403,8213297494,India,11.8315140,79.7823693,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized pediatric care unit, Telemedicine consultations for remote patients",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,1506.63,Tata AIA Life Insurance,Cancer Care Plan,1269.66,True,"Ambulance cover, Personal accident insurance, International emergency coverage, Daycare treatment coverage, Maternity and newborn cover, Automatic restoration of sum insured"
Aarupadai Veedu Medical College and Hospital,"Aarupadai Veedu Medical College and Hospital, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607403,8213297494,India,11.8315140,79.7823693,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized pediatric care unit, Telemedicine consultations for remote patients",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,8124.13,,,,,
Aarupadai Veedu Medical College and Hospital,"Aarupadai Veedu Medical College and Hospital, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607403,8213297494,India,11.8315140,79.7823693,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized pediatric care unit, Telemedicine consultations for remote patients",General Medicine,CT Scan,GENCT709,A non-invasive imaging technique using X-rays to create detailed cross-sectional images of the body's internal structures.,BOTH,16990.07,,,,,
Aarupadai Veedu Medical College and Hospital,"Aarupadai Veedu Medical College and Hospital, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607403,8213297494,India,11.8315140,79.7823693,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized pediatric care unit, Telemedicine consultations for remote patients",General Medicine,CT Scan,GENCT709,A non-invasive imaging technique using X-rays to create detailed cross-sectional images of the body's internal structures.,BOTH,16990.07,The New India Assurance,Mediclaim Policy,13918.19,True,"Lifelong renewability, Daycare treatment coverage, Health and wellness rewards program, Second medical opinion service, Coverage for chronic disease management, Pre and post-hospitalization expenses"
Aarupadai Veedu Medical College and Hospital,"Aarupadai Veedu Medical College and Hospital, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607403,8213297494,India,11.8315140,79.7823693,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized pediatric care unit, Telemedicine consultations for remote patients",General Medicine,CT Scan,GENCT709,A non-invasive imaging technique using X-rays to create detailed cross-sectional images of the body's internal structures.,BOTH,16990.07,PNB MetLife Insurance,Family Floater Health Plan,10951.87,True,"Unlimited teleconsultations, Tax benefits under Section 80D, Second medical opinion service, International emergency coverage, Lifelong renewability"
Aarupadai Veedu Medical College and Hospital,"Aarupadai Veedu Medical College and Hospital, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607403,8213297494,India,11.8315140,79.7823693,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized pediatric care unit, Telemedicine consultations for remote patients",General Medicine,CT Scan,GENCT709,A non-invasive imaging technique using X-rays to create detailed cross-sectional images of the body's internal structures.,BOTH,16990.07,ManipalCigna Health Insurance,ProHealth Select,11372.31,True,"Tax benefits under Section 80D, Maternity and newborn cover, Automatic restoration of sum insured, Health and wellness rewards program, Lifelong renewability"
Aarupadai Veedu Medical College and Hospital,"Aarupadai Veedu Medical College and Hospital, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607403,8213297494,India,11.8315140,79.7823693,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized pediatric care unit, Telemedicine consultations for remote patients",General Medicine,CT Scan,GENCT709,A non-invasive imaging technique using X-rays to create detailed cross-sectional images of the body's internal structures.,BOTH,16990.07,Oriental Insurance Company,Happy Family Floater Policy,13654.93,True,"Second medical opinion service, Critical illness coverage, Cashless hospitalization across network hospitals, Personal accident insurance, No claim bonus benefits, Coverage for chronic disease management"
Aarupadai Veedu Medical College and Hospital,"Aarupadai Veedu Medical College and Hospital, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607403,8213297494,India,11.8315140,79.7823693,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized pediatric care unit, Telemedicine consultations for remote patients",General Medicine,CT Scan,GENCT709,A non-invasive imaging technique using X-rays to create detailed cross-sectional images of the body's internal structures.,BOTH,16990.07,IFFCO Tokio General Insurance,Arogya Sanjeevani Policy,20614.34,False,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Aarupadai Veedu Medical College and Hospital,"Aarupadai Veedu Medical College and Hospital, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607403,8213297494,India,11.8315140,79.7823693,Maternity Care,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized pediatric care unit, Telemedicine consultations for remote patients",Maternity Care,Pregnancy Checkup,MATPRE574,Comprehensive prenatal care appointments to monitor your health and your baby's development throughout pregnancy.,BOTH,18891.59,,,,,
Aarupadai Veedu Medical College and Hospital,"Aarupadai Veedu Medical College and Hospital, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607403,8213297494,India,11.8315140,79.7823693,Maternity Care,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized pediatric care unit, Telemedicine consultations for remote patients",Maternity Care,Pregnancy Checkup,MATPRE574,Comprehensive prenatal care appointments to monitor your health and your baby's development throughout pregnancy.,BOTH,18891.59,The New India Assurance,Mediclaim Policy,10524.37,True,"Lifelong renewability, Daycare treatment coverage, Health and wellness rewards program, Second medical opinion service, Coverage for chronic disease management, Pre and post-hospitalization expenses"
