Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Pondicherry Institute of Medical Sciences Blood Bank,"Pondicherry Institute of Medical Sciences Blood Bank, Mathur - Kalappattu road, Kalapet, Vanur, Puducherry, Tamil Nadu",Kalapet,Tamil Nadu,605014,7274361428,India,12.0462890,79.8550822,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite (MRI, CT Scan, PET Scan), Specialized Oncology Department with Chemotherapy and Radiation Therapy, Dedicated Women's Health Center offering comprehensive prenatal and postnatal care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17297.18,,,,,
Pondicherry Institute of Medical Sciences Blood Bank,"Pondicherry Institute of Medical Sciences Blood Bank, Mathur - Kalappattu road, Kalapet, Vanur, Puducherry, Tamil Nadu",Kalapet,Tamil Nadu,605014,7274361428,India,12.0462890,79.8550822,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite (MRI, CT Scan, PET Scan), Specialized Oncology Department with Chemotherapy and Radiation Therapy, Dedicated Women's Health Center offering comprehensive prenatal and postnatal care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17297.18,United India Insurance Company,Super Top-up Medicare Policy,15709.73,False,"Second medical opinion service, Critical illness coverage, Daycare treatment coverage, Coverage for alternative treatments (AYUSH), Unlimited teleconsultations"
Pondicherry Institute of Medical Sciences Blood Bank,"Pondicherry Institute of Medical Sciences Blood Bank, Mathur - Kalappattu road, Kalapet, Vanur, Puducherry, Tamil Nadu",Kalapet,Tamil Nadu,605014,7274361428,India,12.0462890,79.8550822,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite (MRI, CT Scan, PET Scan), Specialized Oncology Department with Chemotherapy and Radiation Therapy, Dedicated Women's Health Center offering comprehensive prenatal and postnatal care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17297.18,ManipalCigna Health Insurance,ProHealth Select,10075.60,True,"Tax benefits under Section 80D, Maternity and newborn cover, Automatic restoration of sum insured, Health and wellness rewards program, Lifelong renewability"
Pondicherry Institute of Medical Sciences Blood Bank,"Pondicherry Institute of Medical Sciences Blood Bank, Mathur - Kalappattu road, Kalapet, Vanur, Puducherry, Tamil Nadu",Kalapet,Tamil Nadu,605014,7274361428,India,12.0462890,79.8550822,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite (MRI, CT Scan, PET Scan), Specialized Oncology Department with Chemotherapy and Radiation Therapy, Dedicated Women's Health Center offering comprehensive prenatal and postnatal care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17297.18,Raheja QBE General Insurance,Health QuBE Super Top-up Health Insurance,13241.66,True,"Health and wellness rewards program, No room rent limit, Daycare treatment coverage, Personal accident insurance, Ambulance cover, Unlimited teleconsultations, Organ donor expenses covered"
Pondicherry Institute of Medical Sciences Blood Bank,"Pondicherry Institute of Medical Sciences Blood Bank, Mathur - Kalappattu road, Kalapet, Vanur, Puducherry, Tamil Nadu",Kalapet,Tamil Nadu,605014,7274361428,India,12.0462890,79.8550822,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite (MRI, CT Scan, PET Scan), Specialized Oncology Department with Chemotherapy and Radiation Therapy, Dedicated Women's Health Center offering comprehensive prenatal and postnatal care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17297.18,Cholamandalam MS General Insurance,Chola Healthline,15839.16,False,"Cashless hospitalization across network hospitals, Daycare treatment coverage, International emergency coverage, Unlimited teleconsultations, Personal accident insurance, Organ donor expenses covered"
Pondicherry Institute of Medical Sciences Blood Bank,"Pondicherry Institute of Medical Sciences Blood Bank, Mathur - Kalappattu road, Kalapet, Vanur, Puducherry, Tamil Nadu",Kalapet,Tamil Nadu,605014,7274361428,India,12.0462890,79.8550822,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite (MRI, CT Scan, PET Scan), Specialized Oncology Department with Chemotherapy and Radiation Therapy, Dedicated Women's Health Center offering comprehensive prenatal and postnatal care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17297.18,ICICI Lombard General Insurance,Complete Health Insurance,9383.67,True,"Maternity and newborn cover, Pre and post-hospitalization expenses, Health and wellness rewards program, Lifelong renewability, No room rent limit, Critical illness coverage, No claim bonus benefits"
Pondicherry Institute of Medical Sciences Blood Bank,"Pondicherry Institute of Medical Sciences Blood Bank, Mathur - Kalappattu road, Kalapet, Vanur, Puducherry, Tamil Nadu",Kalapet,Tamil Nadu,605014,7274361428,India,12.0462890,79.8550822,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite (MRI, CT Scan, PET Scan), Specialized Oncology Department with Chemotherapy and Radiation Therapy, Dedicated Women's Health Center offering comprehensive prenatal and postnatal care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17297.18,Liberty General Insurance,Health Connect Supra Policy,14027.59,True,"Ambulance cover, Automatic restoration of sum insured, Coverage for alternative treatments (AYUSH), Cashless hospitalization across network hospitals, Tax benefits under Section 80D"
Pondicherry Institute of Medical Sciences Blood Bank,"Pondicherry Institute of Medical Sciences Blood Bank, Mathur - Kalappattu road, Kalapet, Vanur, Puducherry, Tamil Nadu",Kalapet,Tamil Nadu,605014,7274361428,India,12.0462890,79.8550822,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite (MRI, CT Scan, PET Scan), Specialized Oncology Department with Chemotherapy and Radiation Therapy, Dedicated Women's Health Center offering comprehensive prenatal and postnatal care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,2298.98,,,,,
Pondicherry Institute of Medical Sciences Blood Bank,"Pondicherry Institute of Medical Sciences Blood Bank, Mathur - Kalappattu road, Kalapet, Vanur, Puducherry, Tamil Nadu",Kalapet,Tamil Nadu,605014,7274361428,India,12.0462890,79.8550822,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite (MRI, CT Scan, PET Scan), Specialized Oncology Department with Chemotherapy and Radiation Therapy, Dedicated Women's Health Center offering comprehensive prenatal and postnatal care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,2298.98,Acko General Insurance,ACKO Platinum Super Top-up Health Insurance Policy,1214.87,True,"Maternity and newborn cover, Organ donor expenses covered, Health and wellness rewards program, Cashless hospitalization across network hospitals, No room rent limit"
Pondicherry Institute of Medical Sciences Blood Bank,"Pondicherry Institute of Medical Sciences Blood Bank, Mathur - Kalappattu road, Kalapet, Vanur, Puducherry, Tamil Nadu",Kalapet,Tamil Nadu,605014,7274361428,India,12.0462890,79.8550822,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite (MRI, CT Scan, PET Scan), Specialized Oncology Department with Chemotherapy and Radiation Therapy, Dedicated Women's Health Center offering comprehensive prenatal and postnatal care",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,8964.70,,,,,
