Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Aster CMI Hospital,"Aster CMI Hospital, Bellary Road, Amruthnagar, Sahakaranagara, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560092,8370387405,India,13.0545589,77.5916468,General Medicine,"Comprehensive cancer care program, /7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Dedicated telemedicine services for remote consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,15879.38,,,,,
Aster CMI Hospital,"Aster CMI Hospital, Bellary Road, Amruthnagar, Sahakaranagara, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560092,8370387405,India,13.0545589,77.5916468,General Medicine,"Comprehensive cancer care program, /7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Dedicated telemedicine services for remote consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,15879.38,ManipalCigna Health Insurance,ProHealth Prime,7626.26,True,"Ambulance cover, No claim bonus benefits, Health and wellness rewards program, Coverage for chronic disease management, Maternity and newborn cover, Cashless hospitalization across network hospitals, Tax benefits under Section 80D"
Aster CMI Hospital,"Aster CMI Hospital, Bellary Road, Amruthnagar, Sahakaranagara, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560092,8370387405,India,13.0545589,77.5916468,General Medicine,"Comprehensive cancer care program, /7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Dedicated telemedicine services for remote consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,15879.38,PNB MetLife Insurance,Guaranteed Savings Plan with Health Cover,12253.26,True,"Pre and post-hospitalization expenses, Organ donor expenses covered, Health and wellness rewards program, Ambulance cover, Personal accident insurance"
Aster CMI Hospital,"Aster CMI Hospital, Bellary Road, Amruthnagar, Sahakaranagara, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560092,8370387405,India,13.0545589,77.5916468,General Medicine,"Comprehensive cancer care program, /7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Dedicated telemedicine services for remote consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,15879.38,Raheja QBE General Insurance,Corona Kavach Policy,10475.95,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Aster CMI Hospital,"Aster CMI Hospital, Bellary Road, Amruthnagar, Sahakaranagara, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560092,8370387405,India,13.0545589,77.5916468,General Medicine,"Comprehensive cancer care program, /7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Dedicated telemedicine services for remote consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,15879.38,Magma HDI General Insurance,Arogya Sanjeevani Policy,11273.92,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Aster CMI Hospital,"Aster CMI Hospital, Bellary Road, Amruthnagar, Sahakaranagara, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560092,8370387405,India,13.0545589,77.5916468,General Medicine,"Comprehensive cancer care program, /7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Dedicated telemedicine services for remote consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,15879.38,The New India Assurance,Arogya Sanjeevani Policy,10928.02,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Aster CMI Hospital,"Aster CMI Hospital, Bellary Road, Amruthnagar, Sahakaranagara, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560092,8370387405,India,13.0545589,77.5916468,General Medicine,"Comprehensive cancer care program, /7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Dedicated telemedicine services for remote consultations",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,22616.23,,,,,
Aster CMI Hospital,"Aster CMI Hospital, Bellary Road, Amruthnagar, Sahakaranagara, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560092,8370387405,India,13.0545589,77.5916468,General Medicine,"Comprehensive cancer care program, /7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Dedicated telemedicine services for remote consultations",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,22616.23,Bharti AXA General Insurance,Arogya Sanjeevani Policy,11772.13,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Aster CMI Hospital,"Aster CMI Hospital, Bellary Road, Amruthnagar, Sahakaranagara, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560092,8370387405,India,13.0545589,77.5916468,General Medicine,"Comprehensive cancer care program, /7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Dedicated telemedicine services for remote consultations",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,22616.23,Cholamandalam MS General Insurance,Chola MS Critical Healthline,11143.53,True,"Critical illness coverage, Personal accident insurance, No room rent limit, Organ donor expenses covered, Maternity and newborn cover"
Aster CMI Hospital,"Aster CMI Hospital, Bellary Road, Amruthnagar, Sahakaranagara, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560092,8370387405,India,13.0545589,77.5916468,General Medicine,"Comprehensive cancer care program, /7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Dedicated telemedicine services for remote consultations",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,22616.23,Raheja QBE General Insurance,Personal Accident Insurance Policy,13299.15,True,"Coverage for alternative treatments (AYUSH), Tax benefits under Section 80D, Automatic restoration of sum insured, Unlimited teleconsultations, International emergency coverage, Annual health check-ups, Critical illness coverage"
Aster CMI Hospital,"Aster CMI Hospital, Bellary Road, Amruthnagar, Sahakaranagara, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560092,8370387405,India,13.0545589,77.5916468,General Medicine,"Comprehensive cancer care program, /7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Dedicated telemedicine services for remote consultations",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,10472.99,,,,,
Aster CMI Hospital,"Aster CMI Hospital, Bellary Road, Amruthnagar, Sahakaranagara, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560092,8370387405,India,13.0545589,77.5916468,General Medicine,"Comprehensive cancer care program, /7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Dedicated telemedicine services for remote consultations",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,10472.99,Reliance General Insurance,Critical Illness Insurance,5059.62,True,"Annual health check-ups, Health and wellness rewards program, Automatic restoration of sum insured, Organ donor expenses covered, International emergency coverage, Cashless hospitalization across network hospitals"
Aster CMI Hospital,"Aster CMI Hospital, Bellary Road, Amruthnagar, Sahakaranagara, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560092,8370387405,India,13.0545589,77.5916468,General Medicine,"Comprehensive cancer care program, /7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Dedicated telemedicine services for remote consultations",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,10472.99,Shriram General Insurance,Personal Accident Insurance,7970.40,True,"Annual health check-ups, Organ donor expenses covered, Automatic restoration of sum insured, Coverage for alternative treatments (AYUSH), Critical illness coverage"
Aster CMI Hospital,"Aster CMI Hospital, Bellary Road, Amruthnagar, Sahakaranagara, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560092,8370387405,India,13.0545589,77.5916468,General Medicine,"Comprehensive cancer care program, /7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Dedicated telemedicine services for remote consultations",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,10472.99,Kotak Mahindra Health Insurance,Arogya Sanjeevani Policy,5566.70,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Aster CMI Hospital,"Aster CMI Hospital, Bellary Road, Amruthnagar, Sahakaranagara, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560092,8370387405,India,13.0545589,77.5916468,General Medicine,"Comprehensive cancer care program, /7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Dedicated telemedicine services for remote consultations",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,10472.99,PNB MetLife Insurance,Critical Illness Rider,6998.09,True,"Organ donor expenses covered, Unlimited teleconsultations, No room rent limit, No claim bonus benefits, Cashless hospitalization across network hospitals, Coverage for alternative treatments (AYUSH), Tax benefits under Section 80D"
Aster CMI Hospital,"Aster CMI Hospital, Bellary Road, Amruthnagar, Sahakaranagara, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560092,8370387405,India,13.0545589,77.5916468,General Medicine,"Comprehensive cancer care program, /7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Dedicated telemedicine services for remote consultations",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,10472.99,Magma HDI General Insurance,OneHealth Insurance Policy,6992.83,True,"Tax benefits under Section 80D, International emergency coverage, Ambulance cover, No claim bonus benefits, Daycare treatment coverage, Second medical opinion service"
