Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Manipal Hospital,"Manipal Hospital, Bellary Road, Amruthnagar, Sahakaranagara, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560024,8822886830,India,13.0509696,77.5938648,General Medicine,"/7 emergency care with dedicated trauma team, Comprehensive cardiology services including cardiac catheterization, Dedicated maternity ward with experienced neonatal care, Fast-track services for common ailments and minor injuries",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3690.56,,,,,
Manipal Hospital,"Manipal Hospital, Bellary Road, Amruthnagar, Sahakaranagara, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560024,8822886830,India,13.0509696,77.5938648,General Medicine,"/7 emergency care with dedicated trauma team, Comprehensive cardiology services including cardiac catheterization, Dedicated maternity ward with experienced neonatal care, Fast-track services for common ailments and minor injuries",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3690.56,PNB MetLife Insurance,Guaranteed Savings Plan with Health Cover,2822.41,True,"Pre and post-hospitalization expenses, Organ donor expenses covered, Health and wellness rewards program, Ambulance cover, Personal accident insurance"
Manipal Hospital,"Manipal Hospital, Bellary Road, Amruthnagar, Sahakaranagara, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560024,8822886830,India,13.0509696,77.5938648,General Medicine,"/7 emergency care with dedicated trauma team, Comprehensive cardiology services including cardiac catheterization, Dedicated maternity ward with experienced neonatal care, Fast-track services for common ailments and minor injuries",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3690.56,Universal Sompo General Insurance,Super Healthcare Insurance,2982.14,True,"Critical illness coverage, Health and wellness rewards program, Organ donor expenses covered, Second medical opinion service, Coverage for chronic disease management, Unlimited teleconsultations"
Manipal Hospital,"Manipal Hospital, Bellary Road, Amruthnagar, Sahakaranagara, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560024,8822886830,India,13.0509696,77.5938648,General Medicine,"/7 emergency care with dedicated trauma team, Comprehensive cardiology services including cardiac catheterization, Dedicated maternity ward with experienced neonatal care, Fast-track services for common ailments and minor injuries",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3690.56,Bajaj Allianz General Insurance,Family Health Insurance,2686.64,True,"Coverage for alternative treatments (AYUSH), Organ donor expenses covered, Health and wellness rewards program, Cashless hospitalization across network hospitals, No room rent limit, Second medical opinion service, International emergency coverage"
Manipal Hospital,"Manipal Hospital, Bellary Road, Amruthnagar, Sahakaranagara, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560024,8822886830,India,13.0509696,77.5938648,General Medicine,"/7 emergency care with dedicated trauma team, Comprehensive cardiology services including cardiac catheterization, Dedicated maternity ward with experienced neonatal care, Fast-track services for common ailments and minor injuries",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3690.56,Kotak Mahindra Health Insurance,Arogya Sanjeevani Policy,3559.67,False,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Manipal Hospital,"Manipal Hospital, Bellary Road, Amruthnagar, Sahakaranagara, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560024,8822886830,India,13.0509696,77.5938648,General Medicine,"/7 emergency care with dedicated trauma team, Comprehensive cardiology services including cardiac catheterization, Dedicated maternity ward with experienced neonatal care, Fast-track services for common ailments and minor injuries",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3690.56,Aditya Birla Health Insurance,Activ Health Platinum Essential,3132.13,True,"Lifelong renewability, Coverage for alternative treatments (AYUSH), Ambulance cover, Daycare treatment coverage, Tax benefits under Section 80D, Maternity and newborn cover, Personal accident insurance"
Manipal Hospital,"Manipal Hospital, Bellary Road, Amruthnagar, Sahakaranagara, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560024,8822886830,India,13.0509696,77.5938648,General Medicine,"/7 emergency care with dedicated trauma team, Comprehensive cardiology services including cardiac catheterization, Dedicated maternity ward with experienced neonatal care, Fast-track services for common ailments and minor injuries",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3690.56,Tata AIA Life Insurance,Tata AIA Vitality Health Insurance,3073.21,True,"Daycare treatment coverage, Personal accident insurance, Critical illness coverage, Ambulance cover, Coverage for chronic disease management, Tax benefits under Section 80D"
Manipal Hospital,"Manipal Hospital, Bellary Road, Amruthnagar, Sahakaranagara, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560024,8822886830,India,13.0509696,77.5938648,General Medicine,"/7 emergency care with dedicated trauma team, Comprehensive cardiology services including cardiac catheterization, Dedicated maternity ward with experienced neonatal care, Fast-track services for common ailments and minor injuries",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,11646.59,,,,,
Manipal Hospital,"Manipal Hospital, Bellary Road, Amruthnagar, Sahakaranagara, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560024,8822886830,India,13.0509696,77.5938648,General Medicine,"/7 emergency care with dedicated trauma team, Comprehensive cardiology services including cardiac catheterization, Dedicated maternity ward with experienced neonatal care, Fast-track services for common ailments and minor injuries",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,11646.59,Bharti AXA General Insurance,Smart Health Insurance Policy,11974.80,False,"Pre and post-hospitalization expenses, No claim bonus benefits, Critical illness coverage, Ambulance cover, Cashless hospitalization across network hospitals"
Manipal Hospital,"Manipal Hospital, Bellary Road, Amruthnagar, Sahakaranagara, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560024,8822886830,India,13.0509696,77.5938648,General Medicine,"/7 emergency care with dedicated trauma team, Comprehensive cardiology services including cardiac catheterization, Dedicated maternity ward with experienced neonatal care, Fast-track services for common ailments and minor injuries",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,11646.59,Reliance General Insurance,HealthGain,8557.15,True,"Unlimited teleconsultations, Organ donor expenses covered, Cashless hospitalization across network hospitals, Annual health check-ups, Critical illness coverage, Maternity and newborn cover"
