Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Hosmat Hospital,"Hosmat Hospital, Bellary Road, Upper Palace Orchard, Sadashivanagar, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560080,7983195061,India,13.0080001,77.5837482,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and PET scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,14549.05,,,,,
Hosmat Hospital,"Hosmat Hospital, Bellary Road, Upper Palace Orchard, Sadashivanagar, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560080,7983195061,India,13.0080001,77.5837482,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and PET scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,14549.05,The New India Assurance,Arogya Sanjeevani Policy,10912.15,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Hosmat Hospital,"Hosmat Hospital, Bellary Road, Upper Palace Orchard, Sadashivanagar, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560080,7983195061,India,13.0080001,77.5837482,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and PET scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,14549.05,Reliance General Insurance,Corona Kavach Policy,8426.45,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Hosmat Hospital,"Hosmat Hospital, Bellary Road, Upper Palace Orchard, Sadashivanagar, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560080,7983195061,India,13.0080001,77.5837482,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and PET scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,17707.92,,,,,
Hosmat Hospital,"Hosmat Hospital, Bellary Road, Upper Palace Orchard, Sadashivanagar, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560080,7983195061,India,13.0080001,77.5837482,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and PET scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,17707.92,Aviva Life Insurance,Critical Illness Cover,9053.17,True,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
Hosmat Hospital,"Hosmat Hospital, Bellary Road, Upper Palace Orchard, Sadashivanagar, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560080,7983195061,India,13.0080001,77.5837482,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and PET scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,17707.92,Acko General Insurance,ACKO Platinum Health Insurance Policy,7975.63,True,"Second medical opinion service, Unlimited teleconsultations, Critical illness coverage, Lifelong renewability, No room rent limit"
Hosmat Hospital,"Hosmat Hospital, Bellary Road, Upper Palace Orchard, Sadashivanagar, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560080,7983195061,India,13.0080001,77.5837482,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and PET scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,17707.92,Bajaj Allianz General Insurance,Individual Health Insurance,9947.46,True,"Maternity and newborn cover, Lifelong renewability, Daycare treatment coverage, No claim bonus benefits, Health and wellness rewards program"
Hosmat Hospital,"Hosmat Hospital, Bellary Road, Upper Palace Orchard, Sadashivanagar, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560080,7983195061,India,13.0080001,77.5837482,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and PET scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,17707.92,Future Generali India Insurance,Health Total,13105.28,True,"International emergency coverage, Pre and post-hospitalization expenses, Second medical opinion service, Annual health check-ups, Tax benefits under Section 80D"
Hosmat Hospital,"Hosmat Hospital, Bellary Road, Upper Palace Orchard, Sadashivanagar, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560080,7983195061,India,13.0080001,77.5837482,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and PET scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,4378.14,,,,,
Hosmat Hospital,"Hosmat Hospital, Bellary Road, Upper Palace Orchard, Sadashivanagar, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560080,7983195061,India,13.0080001,77.5837482,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and PET scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,4378.14,Cholamandalam MS General Insurance,Chola MS Critical Healthline,2812.40,True,"Critical illness coverage, Personal accident insurance, No room rent limit, Organ donor expenses covered, Maternity and newborn cover"
Hosmat Hospital,"Hosmat Hospital, Bellary Road, Upper Palace Orchard, Sadashivanagar, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560080,7983195061,India,13.0080001,77.5837482,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and PET scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,4378.14,Tata AIG General Insurance,Medicare Premier,1980.27,True,"Second medical opinion service, Health and wellness rewards program, Annual health check-ups, Pre and post-hospitalization expenses, Personal accident insurance, Organ donor expenses covered, Coverage for alternative treatments (AYUSH)"
Hosmat Hospital,"Hosmat Hospital, Bellary Road, Upper Palace Orchard, Sadashivanagar, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560080,7983195061,India,13.0080001,77.5837482,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and PET scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,4378.14,Exide Life Insurance,Cancer Protection Plan,3642.21,True,"No room rent limit, Critical illness coverage, International emergency coverage, Tax benefits under Section 80D, Pre and post-hospitalization expenses, Maternity and newborn cover, Unlimited teleconsultations"
Hosmat Hospital,"Hosmat Hospital, Bellary Road, Upper Palace Orchard, Sadashivanagar, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560080,7983195061,India,13.0080001,77.5837482,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and PET scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,4378.14,Liberty General Insurance,Corona Kavach Policy,3181.53,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Hosmat Hospital,"Hosmat Hospital, Bellary Road, Upper Palace Orchard, Sadashivanagar, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560080,7983195061,India,13.0080001,77.5837482,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and PET scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,23956.93,,,,,
Hosmat Hospital,"Hosmat Hospital, Bellary Road, Upper Palace Orchard, Sadashivanagar, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560080,7983195061,India,13.0080001,77.5837482,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and PET scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,23956.93,Bharti AXA General Insurance,Arogya Sanjeevani Policy,18175.96,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
