Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Manipal Hospital,"Manipal Hospital, HAL Old Airport Road, Corporation Colony, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560017,8586719629,India,12.9597029,77.6492185,General Medicine,"State-of-the-art diagnostic imaging center with advanced technology., Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma care., Dedicated oncology center offering advanced cancer treatment options., Fast-track services for common ailments and procedures.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3058.38,,,,,
Manipal Hospital,"Manipal Hospital, HAL Old Airport Road, Corporation Colony, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560017,8586719629,India,12.9597029,77.6492185,General Medicine,"State-of-the-art diagnostic imaging center with advanced technology., Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma care., Dedicated oncology center offering advanced cancer treatment options., Fast-track services for common ailments and procedures.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3058.38,Raheja QBE General Insurance,Personal Accident Insurance Policy,1628.23,True,"Coverage for alternative treatments (AYUSH), Tax benefits under Section 80D, Automatic restoration of sum insured, Unlimited teleconsultations, International emergency coverage, Annual health check-ups, Critical illness coverage"
Manipal Hospital,"Manipal Hospital, HAL Old Airport Road, Corporation Colony, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560017,8586719629,India,12.9597029,77.6492185,General Medicine,"State-of-the-art diagnostic imaging center with advanced technology., Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma care., Dedicated oncology center offering advanced cancer treatment options., Fast-track services for common ailments and procedures.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3058.38,Reliance General Insurance,Health Infinity,1968.41,True,"No claim bonus benefits, Second medical opinion service, Automatic restoration of sum insured, Unlimited teleconsultations, Annual health check-ups"
Manipal Hospital,"Manipal Hospital, HAL Old Airport Road, Corporation Colony, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560017,8586719629,India,12.9597029,77.6492185,General Medicine,"State-of-the-art diagnostic imaging center with advanced technology., Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma care., Dedicated oncology center offering advanced cancer treatment options., Fast-track services for common ailments and procedures.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3058.38,Oriental Insurance Company,Happy Family Floater Policy,1961.66,True,"Second medical opinion service, Critical illness coverage, Cashless hospitalization across network hospitals, Personal accident insurance, No claim bonus benefits, Coverage for chronic disease management"
Manipal Hospital,"Manipal Hospital, HAL Old Airport Road, Corporation Colony, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560017,8586719629,India,12.9597029,77.6492185,General Medicine,"State-of-the-art diagnostic imaging center with advanced technology., Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma care., Dedicated oncology center offering advanced cancer treatment options., Fast-track services for common ailments and procedures.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3058.38,Digit Insurance,Critical Illness Cover,1937.68,True,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
Manipal Hospital,"Manipal Hospital, HAL Old Airport Road, Corporation Colony, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560017,8586719629,India,12.9597029,77.6492185,General Medicine,"State-of-the-art diagnostic imaging center with advanced technology., Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma care., Dedicated oncology center offering advanced cancer treatment options., Fast-track services for common ailments and procedures.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3058.38,Bajaj Allianz General Insurance,Health Infinity Plan,2465.28,True,"Annual health check-ups, Maternity and newborn cover, Cashless hospitalization across network hospitals, Coverage for chronic disease management, No room rent limit"
Manipal Hospital,"Manipal Hospital, HAL Old Airport Road, Corporation Colony, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560017,8586719629,India,12.9597029,77.6492185,General Medicine,"State-of-the-art diagnostic imaging center with advanced technology., Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma care., Dedicated oncology center offering advanced cancer treatment options., Fast-track services for common ailments and procedures.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3058.38,Exide Life Insurance,Health Savings Plan,1455.60,True,"Annual health check-ups, Ambulance cover, Daycare treatment coverage, Unlimited teleconsultations, No room rent limit"
Manipal Hospital,"Manipal Hospital, HAL Old Airport Road, Corporation Colony, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560017,8586719629,India,12.9597029,77.6492185,General Medicine,"State-of-the-art diagnostic imaging center with advanced technology., Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma care., Dedicated oncology center offering advanced cancer treatment options., Fast-track services for common ailments and procedures.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3058.38,Cholamandalam MS General Insurance,Chola MS Critical Healthline,4091.99,False,"Critical illness coverage, Personal accident insurance, No room rent limit, Organ donor expenses covered, Maternity and newborn cover"
Manipal Hospital,"Manipal Hospital, HAL Old Airport Road, Corporation Colony, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560017,8586719629,India,12.9597029,77.6492185,General Medicine,"State-of-the-art diagnostic imaging center with advanced technology., Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma care., Dedicated oncology center offering advanced cancer treatment options., Fast-track services for common ailments and procedures.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3058.38,ManipalCigna Health Insurance,ProHealth Prime,1567.38,True,"Ambulance cover, No claim bonus benefits, Health and wellness rewards program, Coverage for chronic disease management, Maternity and newborn cover, Cashless hospitalization across network hospitals, Tax benefits under Section 80D"
Manipal Hospital,"Manipal Hospital, HAL Old Airport Road, Corporation Colony, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560017,8586719629,India,12.9597029,77.6492185,General Medicine,"State-of-the-art diagnostic imaging center with advanced technology., Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma care., Dedicated oncology center offering advanced cancer treatment options., Fast-track services for common ailments and procedures.",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,13625.08,,,,,
Manipal Hospital,"Manipal Hospital, HAL Old Airport Road, Corporation Colony, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560017,8586719629,India,12.9597029,77.6492185,General Medicine,"State-of-the-art diagnostic imaging center with advanced technology., Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma care., Dedicated oncology center offering advanced cancer treatment options., Fast-track services for common ailments and procedures.",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,13625.08,Acko General Insurance,ACKO Standard Health Insurance Plan,6509.28,True,"Organ donor expenses covered, Annual health check-ups, Maternity and newborn cover, Pre and post-hospitalization expenses, No room rent limit, Second medical opinion service, Coverage for chronic disease management"
Manipal Hospital,"Manipal Hospital, HAL Old Airport Road, Corporation Colony, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560017,8586719629,India,12.9597029,77.6492185,General Medicine,"State-of-the-art diagnostic imaging center with advanced technology., Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma care., Dedicated oncology center offering advanced cancer treatment options., Fast-track services for common ailments and procedures.",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,13625.08,United India Insurance Company,Top-up Medicare Policy,11101.28,True,"No room rent limit, Coverage for chronic disease management, International emergency coverage, Cashless hospitalization across network hospitals, No claim bonus benefits, Lifelong renewability, Personal accident insurance"
Manipal Hospital,"Manipal Hospital, HAL Old Airport Road, Corporation Colony, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560017,8586719629,India,12.9597029,77.6492185,General Medicine,"State-of-the-art diagnostic imaging center with advanced technology., Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma care., Dedicated oncology center offering advanced cancer treatment options., Fast-track services for common ailments and procedures.",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,13625.08,Magma HDI General Insurance,Corona Kavach Policy,9358.70,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
