Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Narayana Health,"Narayana Health, Plot No. 3 & 4, Sadarmangala Road, Sadaramangala Industrial Area, EPIP Zone, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560066,9589423232,India,12.9904028,77.7335729,General Medicine,"Comprehensive Cancer Care Program, /7 Emergency Services, Robotic Surgery Capabilities, Dedicated International Patient Services",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,10381.76,,,,,
Narayana Health,"Narayana Health, Plot No. 3 & 4, Sadarmangala Road, Sadaramangala Industrial Area, EPIP Zone, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560066,9589423232,India,12.9904028,77.7335729,General Medicine,"Comprehensive Cancer Care Program, /7 Emergency Services, Robotic Surgery Capabilities, Dedicated International Patient Services",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,21937.68,,,,,
Narayana Health,"Narayana Health, Plot No. 3 & 4, Sadarmangala Road, Sadaramangala Industrial Area, EPIP Zone, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560066,9589423232,India,12.9904028,77.7335729,General Medicine,"Comprehensive Cancer Care Program, /7 Emergency Services, Robotic Surgery Capabilities, Dedicated International Patient Services",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,21937.68,Future Generali India Insurance,Health Total,10316.64,True,"International emergency coverage, Pre and post-hospitalization expenses, Second medical opinion service, Annual health check-ups, Tax benefits under Section 80D"
Narayana Health,"Narayana Health, Plot No. 3 & 4, Sadarmangala Road, Sadaramangala Industrial Area, EPIP Zone, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560066,9589423232,India,12.9904028,77.7335729,General Medicine,"Comprehensive Cancer Care Program, /7 Emergency Services, Robotic Surgery Capabilities, Dedicated International Patient Services",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,21937.68,Care Health Insurance,Maternity Health Insurance,24755.36,False,"Cashless hospitalization across network hospitals, Tax benefits under Section 80D, Coverage for chronic disease management, Maternity and newborn cover, Pre and post-hospitalization expenses, Second medical opinion service, Daycare treatment coverage"
Narayana Health,"Narayana Health, Plot No. 3 & 4, Sadarmangala Road, Sadaramangala Industrial Area, EPIP Zone, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560066,9589423232,India,12.9904028,77.7335729,General Medicine,"Comprehensive Cancer Care Program, /7 Emergency Services, Robotic Surgery Capabilities, Dedicated International Patient Services",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,21937.68,Kotak Mahindra Health Insurance,Critical Illness Cover,28307.09,False,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
Narayana Health,"Narayana Health, Plot No. 3 & 4, Sadarmangala Road, Sadaramangala Industrial Area, EPIP Zone, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560066,9589423232,India,12.9904028,77.7335729,General Medicine,"Comprehensive Cancer Care Program, /7 Emergency Services, Robotic Surgery Capabilities, Dedicated International Patient Services",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,17383.25,,,,,
Narayana Health,"Narayana Health, Plot No. 3 & 4, Sadarmangala Road, Sadaramangala Industrial Area, EPIP Zone, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560066,9589423232,India,12.9904028,77.7335729,General Medicine,"Comprehensive Cancer Care Program, /7 Emergency Services, Robotic Surgery Capabilities, Dedicated International Patient Services",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,17383.25,Oriental Insurance Company,Critical Illness Policy,8550.77,True,"Pre and post-hospitalization expenses, Tax benefits under Section 80D, Critical illness coverage, Personal accident insurance, Unlimited teleconsultations, Second medical opinion service"
Narayana Health,"Narayana Health, Plot No. 3 & 4, Sadarmangala Road, Sadaramangala Industrial Area, EPIP Zone, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560066,9589423232,India,12.9904028,77.7335729,General Medicine,"Comprehensive Cancer Care Program, /7 Emergency Services, Robotic Surgery Capabilities, Dedicated International Patient Services",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,15776.82,,,,,
Narayana Health,"Narayana Health, Plot No. 3 & 4, Sadarmangala Road, Sadaramangala Industrial Area, EPIP Zone, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560066,9589423232,India,12.9904028,77.7335729,General Medicine,"Comprehensive Cancer Care Program, /7 Emergency Services, Robotic Surgery Capabilities, Dedicated International Patient Services",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,15776.82,Digit Insurance,Digit Super Top-up Health Insurance,7712.84,True,"International emergency coverage, No claim bonus benefits, Annual health check-ups, Health and wellness rewards program, Automatic restoration of sum insured"
Narayana Health,"Narayana Health, Plot No. 3 & 4, Sadarmangala Road, Sadaramangala Industrial Area, EPIP Zone, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560066,9589423232,India,12.9904028,77.7335729,General Medicine,"Comprehensive Cancer Care Program, /7 Emergency Services, Robotic Surgery Capabilities, Dedicated International Patient Services",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,15776.82,SBI General Insurance,Critical Illness Insurance Policy,13233.40,True,"Daycare treatment coverage, No room rent limit, Critical illness coverage, Health and wellness rewards program, Organ donor expenses covered"
