Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Sagar Hospitals,"Sagar Hospitals, Swagath Road, Canara Bank Colony, Tilak Nagar, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560041,9158093452,India,12.9278913,77.5998377,General Medicine,"/7 Emergency Care, Advanced Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,23886.27,,,,,
Sagar Hospitals,"Sagar Hospitals, Swagath Road, Canara Bank Colony, Tilak Nagar, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560041,9158093452,India,12.9278913,77.5998377,General Medicine,"/7 Emergency Care, Advanced Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,3493.91,,,,,
Sagar Hospitals,"Sagar Hospitals, Swagath Road, Canara Bank Colony, Tilak Nagar, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560041,9158093452,India,12.9278913,77.5998377,General Medicine,"/7 Emergency Care, Advanced Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,1054.02,,,,,
Sagar Hospitals,"Sagar Hospitals, Swagath Road, Canara Bank Colony, Tilak Nagar, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560041,9158093452,India,12.9278913,77.5998377,General Medicine,"/7 Emergency Care, Advanced Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,1054.02,Oriental Insurance Company,Arogya Sanjeevani Policy,1333.42,False,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Sagar Hospitals,"Sagar Hospitals, Swagath Road, Canara Bank Colony, Tilak Nagar, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560041,9158093452,India,12.9278913,77.5998377,General Medicine,"/7 Emergency Care, Advanced Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,10624.71,,,,,
Sagar Hospitals,"Sagar Hospitals, Swagath Road, Canara Bank Colony, Tilak Nagar, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560041,9158093452,India,12.9278913,77.5998377,General Medicine,"/7 Emergency Care, Advanced Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,10624.71,Exide Life Insurance,Critical Illness Rider,6595.43,True,"Organ donor expenses covered, Unlimited teleconsultations, No room rent limit, No claim bonus benefits, Cashless hospitalization across network hospitals, Coverage for alternative treatments (AYUSH), Tax benefits under Section 80D"
Sagar Hospitals,"Sagar Hospitals, Swagath Road, Canara Bank Colony, Tilak Nagar, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560041,9158093452,India,12.9278913,77.5998377,General Medicine,"/7 Emergency Care, Advanced Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,10624.71,Magma HDI General Insurance,Arogya Sanjeevani Policy,14144.66,False,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Sagar Hospitals,"Sagar Hospitals, Swagath Road, Canara Bank Colony, Tilak Nagar, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560041,9158093452,India,12.9278913,77.5998377,General Medicine,"/7 Emergency Care, Advanced Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,10624.71,Liberty General Insurance,Janta Personal Accident Insurance Policy,8085.42,True,"International emergency coverage, Critical illness coverage, Unlimited teleconsultations, Coverage for alternative treatments (AYUSH), Personal accident insurance, Coverage for chronic disease management, Pre and post-hospitalization expenses"
Sagar Hospitals,"Sagar Hospitals, Swagath Road, Canara Bank Colony, Tilak Nagar, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560041,9158093452,India,12.9278913,77.5998377,General Medicine,"/7 Emergency Care, Advanced Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Executive Health Checkup,GENEXE542,"A comprehensive health assessment for executives, identifying potential risks and promoting proactive wellness.",OUTPATIENT,12703.83,,,,,
Sagar Hospitals,"Sagar Hospitals, Swagath Road, Canara Bank Colony, Tilak Nagar, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560041,9158093452,India,12.9278913,77.5998377,General Medicine,"/7 Emergency Care, Advanced Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Executive Health Checkup,GENEXE542,"A comprehensive health assessment for executives, identifying potential risks and promoting proactive wellness.",OUTPATIENT,12703.83,PNB MetLife Insurance,Guaranteed Savings Plan with Health Cover,5869.29,True,"Pre and post-hospitalization expenses, Organ donor expenses covered, Health and wellness rewards program, Ambulance cover, Personal accident insurance"
