Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Sakra World,"Sakra World, 52/2, 52/3, Kariammana Agrahara Road, Devarabeesanahalli, Bellanduru, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560103,8861492824,India,12.9322225,77.6853052,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Robotic Surgery Suite, Comprehensive Cancer Care Program, Dedicated Women's Health Center",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,8105.83,,,,,
Sakra World,"Sakra World, 52/2, 52/3, Kariammana Agrahara Road, Devarabeesanahalli, Bellanduru, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560103,8861492824,India,12.9322225,77.6853052,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Robotic Surgery Suite, Comprehensive Cancer Care Program, Dedicated Women's Health Center",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,8105.83,Niva Bupa Health Insurance,ReAssure,7579.15,False,"Coverage for chronic disease management, Pre and post-hospitalization expenses, Cashless hospitalization across network hospitals, No claim bonus benefits, Coverage for alternative treatments (AYUSH)"
Sakra World,"Sakra World, 52/2, 52/3, Kariammana Agrahara Road, Devarabeesanahalli, Bellanduru, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560103,8861492824,India,12.9322225,77.6853052,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Robotic Surgery Suite, Comprehensive Cancer Care Program, Dedicated Women's Health Center",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,8105.83,Future Generali India Insurance,Health Absolute,4747.09,True,"Annual health check-ups, Ambulance cover, Pre and post-hospitalization expenses, No claim bonus benefits, Tax benefits under Section 80D, Automatic restoration of sum insured, Second medical opinion service"
Sakra World,"Sakra World, 52/2, 52/3, Kariammana Agrahara Road, Devarabeesanahalli, Bellanduru, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560103,8861492824,India,12.9322225,77.6853052,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Robotic Surgery Suite, Comprehensive Cancer Care Program, Dedicated Women's Health Center",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,8105.83,Exide Life Insurance,Cancer Protection Plan,5276.47,True,"No room rent limit, Critical illness coverage, International emergency coverage, Tax benefits under Section 80D, Pre and post-hospitalization expenses, Maternity and newborn cover, Unlimited teleconsultations"
Sakra World,"Sakra World, 52/2, 52/3, Kariammana Agrahara Road, Devarabeesanahalli, Bellanduru, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560103,8861492824,India,12.9322225,77.6853052,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Robotic Surgery Suite, Comprehensive Cancer Care Program, Dedicated Women's Health Center",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,8105.83,Aviva Life Insurance,Arogya Sanjeevani Policy,3950.85,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Sakra World,"Sakra World, 52/2, 52/3, Kariammana Agrahara Road, Devarabeesanahalli, Bellanduru, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560103,8861492824,India,12.9322225,77.6853052,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Robotic Surgery Suite, Comprehensive Cancer Care Program, Dedicated Women's Health Center",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,20877.24,,,,,
Sakra World,"Sakra World, 52/2, 52/3, Kariammana Agrahara Road, Devarabeesanahalli, Bellanduru, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560103,8861492824,India,12.9322225,77.6853052,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Robotic Surgery Suite, Comprehensive Cancer Care Program, Dedicated Women's Health Center",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,20877.24,Cholamandalam MS General Insurance,Chola MS Top-up Healthline,23779.87,False,"Cashless hospitalization across network hospitals, Lifelong renewability, Second medical opinion service, Ambulance cover, Coverage for chronic disease management, Personal accident insurance, Coverage for alternative treatments (AYUSH)"
Sakra World,"Sakra World, 52/2, 52/3, Kariammana Agrahara Road, Devarabeesanahalli, Bellanduru, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560103,8861492824,India,12.9322225,77.6853052,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Robotic Surgery Suite, Comprehensive Cancer Care Program, Dedicated Women's Health Center",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,20877.24,Zuno General Insurance (Edelweiss),Family Floater Plan,17580.23,True,"Organ donor expenses covered, Second medical opinion service, Maternity and newborn cover, Cashless hospitalization across network hospitals, Annual health check-ups"
Sakra World,"Sakra World, 52/2, 52/3, Kariammana Agrahara Road, Devarabeesanahalli, Bellanduru, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560103,8861492824,India,12.9322225,77.6853052,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Robotic Surgery Suite, Comprehensive Cancer Care Program, Dedicated Women's Health Center",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,20877.24,Universal Sompo General Insurance,Arogya Sanjeevani Insurance,21491.23,False,"Lifelong renewability, Ambulance cover, Cashless hospitalization across network hospitals, Annual health check-ups, No room rent limit, International emergency coverage, Maternity and newborn cover"
Sakra World,"Sakra World, 52/2, 52/3, Kariammana Agrahara Road, Devarabeesanahalli, Bellanduru, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560103,8861492824,India,12.9322225,77.6853052,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Robotic Surgery Suite, Comprehensive Cancer Care Program, Dedicated Women's Health Center",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,20877.24,Raheja QBE General Insurance,Health QuBE Comprehensive Health Insurance,17068.52,True,"Lifelong renewability, No room rent limit, Critical illness coverage, International emergency coverage, Tax benefits under Section 80D"
