Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Apollo Hospital,"Apollo Hospital, Raja Muthiah Road, Periamet, Ward 58, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600003,7774787228,India,13.0825738,80.2710331,General Medicine,"Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma teams., Dedicated concierge services for personalized patient experience., Fast-track services for routine procedures and check-ups.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,12268.18,,,,,
Apollo Hospital,"Apollo Hospital, Raja Muthiah Road, Periamet, Ward 58, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600003,7774787228,India,13.0825738,80.2710331,General Medicine,"Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma teams., Dedicated concierge services for personalized patient experience., Fast-track services for routine procedures and check-ups.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,12268.18,Star Health and Allied Insurance,Family Health Optima,5786.51,True,"Tax benefits under Section 80D, Pre and post-hospitalization expenses, Critical illness coverage, Annual health check-ups, Second medical opinion service, No claim bonus benefits"
Apollo Hospital,"Apollo Hospital, Raja Muthiah Road, Periamet, Ward 58, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600003,7774787228,India,13.0825738,80.2710331,General Medicine,"Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma teams., Dedicated concierge services for personalized patient experience., Fast-track services for routine procedures and check-ups.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,12268.18,Raheja QBE General Insurance,Health QuBE Comprehensive Health Insurance,10181.66,True,"Lifelong renewability, No room rent limit, Critical illness coverage, International emergency coverage, Tax benefits under Section 80D"
Apollo Hospital,"Apollo Hospital, Raja Muthiah Road, Periamet, Ward 58, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600003,7774787228,India,13.0825738,80.2710331,General Medicine,"Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma teams., Dedicated concierge services for personalized patient experience., Fast-track services for routine procedures and check-ups.",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,21417.63,,,,,
Apollo Hospital,"Apollo Hospital, Raja Muthiah Road, Periamet, Ward 58, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600003,7774787228,India,13.0825738,80.2710331,General Medicine,"Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma teams., Dedicated concierge services for personalized patient experience., Fast-track services for routine procedures and check-ups.",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,21417.63,Raheja QBE General Insurance,Health QuBE Super Top-up Health Insurance,17728.65,True,"Health and wellness rewards program, No room rent limit, Daycare treatment coverage, Personal accident insurance, Ambulance cover, Unlimited teleconsultations, Organ donor expenses covered"
Apollo Hospital,"Apollo Hospital, Raja Muthiah Road, Periamet, Ward 58, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600003,7774787228,India,13.0825738,80.2710331,General Medicine,"Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma teams., Dedicated concierge services for personalized patient experience., Fast-track services for routine procedures and check-ups.",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,8355.94,,,,,
Apollo Hospital,"Apollo Hospital, Raja Muthiah Road, Periamet, Ward 58, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600003,7774787228,India,13.0825738,80.2710331,General Medicine,"Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma teams., Dedicated concierge services for personalized patient experience., Fast-track services for routine procedures and check-ups.",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,8355.94,Star Health and Allied Insurance,Senior Citizens Red Carpet Health Insurance,5800.29,True,"Personal accident insurance, Daycare treatment coverage, Unlimited teleconsultations, Health and wellness rewards program, Second medical opinion service, Critical illness coverage"
Apollo Hospital,"Apollo Hospital, Raja Muthiah Road, Periamet, Ward 58, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600003,7774787228,India,13.0825738,80.2710331,General Medicine,"Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma teams., Dedicated concierge services for personalized patient experience., Fast-track services for routine procedures and check-ups.",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,8355.94,Care Health Insurance,Family Health Insurance Plan,5185.37,True,"Organ donor expenses covered, Personal accident insurance, Daycare treatment coverage, Cashless hospitalization across network hospitals, Health and wellness rewards program, Tax benefits under Section 80D"
Apollo Hospital,"Apollo Hospital, Raja Muthiah Road, Periamet, Ward 58, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600003,7774787228,India,13.0825738,80.2710331,General Medicine,"Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma teams., Dedicated concierge services for personalized patient experience., Fast-track services for routine procedures and check-ups.",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,8355.94,Reliance General Insurance,HealthGain,11389.17,False,"Unlimited teleconsultations, Organ donor expenses covered, Cashless hospitalization across network hospitals, Annual health check-ups, Critical illness coverage, Maternity and newborn cover"
Apollo Hospital,"Apollo Hospital, Raja Muthiah Road, Periamet, Ward 58, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600003,7774787228,India,13.0825738,80.2710331,General Medicine,"Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma teams., Dedicated concierge services for personalized patient experience., Fast-track services for routine procedures and check-ups.",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,8355.94,United India Insurance Company,Family Medicare Policy,6465.03,True,"Critical illness coverage, Maternity and newborn cover, Tax benefits under Section 80D, Pre and post-hospitalization expenses, Annual health check-ups, No claim bonus benefits, No room rent limit"
