Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Billroth Hospitals,"Billroth Hospitals, Lakshmi Talkies Road, Bharathipuram, Shenoy Nagar, Zone 8 Anna Nagar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600030,7941484203,India,13.0757435,80.2272588,General Medicine,"Dedicated cardiac care center with a team of renowned cardiothoracic surgeons., /7 emergency department with specialized trauma care., Comprehensive cancer center offering cutting-edge treatments and clinical trials., Fast-track services for common ailments, reducing wait times for non-emergency cases.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,684.11,,,,,
Billroth Hospitals,"Billroth Hospitals, Lakshmi Talkies Road, Bharathipuram, Shenoy Nagar, Zone 8 Anna Nagar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600030,7941484203,India,13.0757435,80.2272588,General Medicine,"Dedicated cardiac care center with a team of renowned cardiothoracic surgeons., /7 emergency department with specialized trauma care., Comprehensive cancer center offering cutting-edge treatments and clinical trials., Fast-track services for common ailments, reducing wait times for non-emergency cases.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,684.11,PNB MetLife Insurance,Health Shield Plan,856.65,False,"Health and wellness rewards program, Critical illness coverage, Coverage for chronic disease management, Second medical opinion service, Tax benefits under Section 80D"
Billroth Hospitals,"Billroth Hospitals, Lakshmi Talkies Road, Bharathipuram, Shenoy Nagar, Zone 8 Anna Nagar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600030,7941484203,India,13.0757435,80.2272588,General Medicine,"Dedicated cardiac care center with a team of renowned cardiothoracic surgeons., /7 emergency department with specialized trauma care., Comprehensive cancer center offering cutting-edge treatments and clinical trials., Fast-track services for common ailments, reducing wait times for non-emergency cases.",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,18219.81,,,,,
Billroth Hospitals,"Billroth Hospitals, Lakshmi Talkies Road, Bharathipuram, Shenoy Nagar, Zone 8 Anna Nagar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600030,7941484203,India,13.0757435,80.2272588,General Medicine,"Dedicated cardiac care center with a team of renowned cardiothoracic surgeons., /7 emergency department with specialized trauma care., Comprehensive cancer center offering cutting-edge treatments and clinical trials., Fast-track services for common ailments, reducing wait times for non-emergency cases.",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,18219.81,Star Health and Allied Insurance,Family Health Optima,8442.11,True,"Tax benefits under Section 80D, Pre and post-hospitalization expenses, Critical illness coverage, Annual health check-ups, Second medical opinion service, No claim bonus benefits"
Billroth Hospitals,"Billroth Hospitals, Lakshmi Talkies Road, Bharathipuram, Shenoy Nagar, Zone 8 Anna Nagar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600030,7941484203,India,13.0757435,80.2272588,General Medicine,"Dedicated cardiac care center with a team of renowned cardiothoracic surgeons., /7 emergency department with specialized trauma care., Comprehensive cancer center offering cutting-edge treatments and clinical trials., Fast-track services for common ailments, reducing wait times for non-emergency cases.",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,18219.81,Liberty General Insurance,Secure Health Connect Policy,15050.58,True,"Coverage for alternative treatments (AYUSH), Personal accident insurance, International emergency coverage, Daycare treatment coverage, Coverage for chronic disease management, Ambulance cover, Critical illness coverage"
Billroth Hospitals,"Billroth Hospitals, Lakshmi Talkies Road, Bharathipuram, Shenoy Nagar, Zone 8 Anna Nagar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600030,7941484203,India,13.0757435,80.2272588,General Medicine,"Dedicated cardiac care center with a team of renowned cardiothoracic surgeons., /7 emergency department with specialized trauma care., Comprehensive cancer center offering cutting-edge treatments and clinical trials., Fast-track services for common ailments, reducing wait times for non-emergency cases.",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,18219.81,Future Generali India Insurance,Health Suraksha,11497.58,True,"Annual health check-ups, Health and wellness rewards program, Lifelong renewability, No claim bonus benefits, Coverage for chronic disease management, Critical illness coverage"
Billroth Hospitals,"Billroth Hospitals, Lakshmi Talkies Road, Bharathipuram, Shenoy Nagar, Zone 8 Anna Nagar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600030,7941484203,India,13.0757435,80.2272588,General Medicine,"Dedicated cardiac care center with a team of renowned cardiothoracic surgeons., /7 emergency department with specialized trauma care., Comprehensive cancer center offering cutting-edge treatments and clinical trials., Fast-track services for common ailments, reducing wait times for non-emergency cases.",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,20589.34,,,,,
Billroth Hospitals,"Billroth Hospitals, Lakshmi Talkies Road, Bharathipuram, Shenoy Nagar, Zone 8 Anna Nagar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600030,7941484203,India,13.0757435,80.2272588,General Medicine,"Dedicated cardiac care center with a team of renowned cardiothoracic surgeons., /7 emergency department with specialized trauma care., Comprehensive cancer center offering cutting-edge treatments and clinical trials., Fast-track services for common ailments, reducing wait times for non-emergency cases.",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,20589.34,Reliance General Insurance,HealthGain,13670.33,True,"Unlimited teleconsultations, Organ donor expenses covered, Cashless hospitalization across network hospitals, Annual health check-ups, Critical illness coverage, Maternity and newborn cover"
Billroth Hospitals,"Billroth Hospitals, Lakshmi Talkies Road, Bharathipuram, Shenoy Nagar, Zone 8 Anna Nagar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600030,7941484203,India,13.0757435,80.2272588,General Medicine,"Dedicated cardiac care center with a team of renowned cardiothoracic surgeons., /7 emergency department with specialized trauma care., Comprehensive cancer center offering cutting-edge treatments and clinical trials., Fast-track services for common ailments, reducing wait times for non-emergency cases.",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,20589.34,HDFC ERGO General Insurance,Health Suraksha,16404.60,True,"Annual health check-ups, Health and wellness rewards program, Lifelong renewability, No claim bonus benefits, Coverage for chronic disease management, Critical illness coverage"
Billroth Hospitals,"Billroth Hospitals, Lakshmi Talkies Road, Bharathipuram, Shenoy Nagar, Zone 8 Anna Nagar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600030,7941484203,India,13.0757435,80.2272588,General Medicine,"Dedicated cardiac care center with a team of renowned cardiothoracic surgeons., /7 emergency department with specialized trauma care., Comprehensive cancer center offering cutting-edge treatments and clinical trials., Fast-track services for common ailments, reducing wait times for non-emergency cases.",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,10520.78,,,,,
