Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Fortis Malar Hospital,"Fortis Malar Hospital, PS Road, Gandhinagar, CMWSSB Division 175, Zone 13 Adyar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,9607497845,India,13.0101758,80.2586997,General Medicine,"State-of-the-art cardiac care center, Comprehensive cancer care program, /7 emergency services, Advanced diagnostic imaging technology, Dedicated pediatric care unit",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,14419.81,,,,,
Fortis Malar Hospital,"Fortis Malar Hospital, PS Road, Gandhinagar, CMWSSB Division 175, Zone 13 Adyar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,9607497845,India,13.0101758,80.2586997,General Medicine,"State-of-the-art cardiac care center, Comprehensive cancer care program, /7 emergency services, Advanced diagnostic imaging technology, Dedicated pediatric care unit",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,14419.81,Exide Life Insurance,Critical Illness Rider,6694.20,True,"Organ donor expenses covered, Unlimited teleconsultations, No room rent limit, No claim bonus benefits, Cashless hospitalization across network hospitals, Coverage for alternative treatments (AYUSH), Tax benefits under Section 80D"
Fortis Malar Hospital,"Fortis Malar Hospital, PS Road, Gandhinagar, CMWSSB Division 175, Zone 13 Adyar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,9607497845,India,13.0101758,80.2586997,General Medicine,"State-of-the-art cardiac care center, Comprehensive cancer care program, /7 emergency services, Advanced diagnostic imaging technology, Dedicated pediatric care unit",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,14419.81,IFFCO Tokio General Insurance,Arogya Sanjeevani Policy,9127.59,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Fortis Malar Hospital,"Fortis Malar Hospital, PS Road, Gandhinagar, CMWSSB Division 175, Zone 13 Adyar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,9607497845,India,13.0101758,80.2586997,General Medicine,"State-of-the-art cardiac care center, Comprehensive cancer care program, /7 emergency services, Advanced diagnostic imaging technology, Dedicated pediatric care unit",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,14419.81,Shriram General Insurance,Mediclaim Policy,10985.26,True,"Lifelong renewability, Daycare treatment coverage, Health and wellness rewards program, Second medical opinion service, Coverage for chronic disease management, Pre and post-hospitalization expenses"
Fortis Malar Hospital,"Fortis Malar Hospital, PS Road, Gandhinagar, CMWSSB Division 175, Zone 13 Adyar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,9607497845,India,13.0101758,80.2586997,General Medicine,"State-of-the-art cardiac care center, Comprehensive cancer care program, /7 emergency services, Advanced diagnostic imaging technology, Dedicated pediatric care unit",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,14419.81,SBI General Insurance,Hospital Daily Cash Insurance Policy,7037.64,True,"Daycare treatment coverage, Critical illness coverage, Tax benefits under Section 80D, Health and wellness rewards program, Annual health check-ups"
Fortis Malar Hospital,"Fortis Malar Hospital, PS Road, Gandhinagar, CMWSSB Division 175, Zone 13 Adyar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,9607497845,India,13.0101758,80.2586997,General Medicine,"State-of-the-art cardiac care center, Comprehensive cancer care program, /7 emergency services, Advanced diagnostic imaging technology, Dedicated pediatric care unit",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,14419.81,Aviva Life Insurance,Cancer Care Plan,9098.51,True,"Ambulance cover, Personal accident insurance, International emergency coverage, Daycare treatment coverage, Maternity and newborn cover, Automatic restoration of sum insured"
Fortis Malar Hospital,"Fortis Malar Hospital, PS Road, Gandhinagar, CMWSSB Division 175, Zone 13 Adyar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,9607497845,India,13.0101758,80.2586997,General Medicine,"State-of-the-art cardiac care center, Comprehensive cancer care program, /7 emergency services, Advanced diagnostic imaging technology, Dedicated pediatric care unit",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,18775.55,,,,,
Fortis Malar Hospital,"Fortis Malar Hospital, PS Road, Gandhinagar, CMWSSB Division 175, Zone 13 Adyar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,9607497845,India,13.0101758,80.2586997,General Medicine,"State-of-the-art cardiac care center, Comprehensive cancer care program, /7 emergency services, Advanced diagnostic imaging technology, Dedicated pediatric care unit",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,18775.55,Liberty General Insurance,Janta Personal Accident Insurance Policy,15721.49,True,"International emergency coverage, Critical illness coverage, Unlimited teleconsultations, Coverage for alternative treatments (AYUSH), Personal accident insurance, Coverage for chronic disease management, Pre and post-hospitalization expenses"
Fortis Malar Hospital,"Fortis Malar Hospital, PS Road, Gandhinagar, CMWSSB Division 175, Zone 13 Adyar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,9607497845,India,13.0101758,80.2586997,General Medicine,"State-of-the-art cardiac care center, Comprehensive cancer care program, /7 emergency services, Advanced diagnostic imaging technology, Dedicated pediatric care unit",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,1634.48,,,,,
Fortis Malar Hospital,"Fortis Malar Hospital, PS Road, Gandhinagar, CMWSSB Division 175, Zone 13 Adyar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,9607497845,India,13.0101758,80.2586997,General Medicine,"State-of-the-art cardiac care center, Comprehensive cancer care program, /7 emergency services, Advanced diagnostic imaging technology, Dedicated pediatric care unit",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,1634.48,Bharti AXA General Insurance,Smart Super Health Insurance Policy,1336.63,True,"Annual health check-ups, Personal accident insurance, Automatic restoration of sum insured, International emergency coverage, No room rent limit, Tax benefits under Section 80D, Ambulance cover"
