Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Hindu Mission Hospital Blood Bank,"Hindu Mission Hospital Blood Bank, Tambaram Flyover Ramp, Irumbuliyur, Tambaram, Chennai, Tamil Nadu",Tambaram,Tamil Nadu,600045,8915796091,India,12.9238319,80.1140106,General Medicine,"Specialized Cardiology Unit, Dedicated Women's Health Center, Free Health Check-up Camps in Local Communities, Multilingual Staff",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,21800.43,,,,,
Hindu Mission Hospital Blood Bank,"Hindu Mission Hospital Blood Bank, Tambaram Flyover Ramp, Irumbuliyur, Tambaram, Chennai, Tamil Nadu",Tambaram,Tamil Nadu,600045,8915796091,India,12.9238319,80.1140106,General Medicine,"Specialized Cardiology Unit, Dedicated Women's Health Center, Free Health Check-up Camps in Local Communities, Multilingual Staff",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,18022.41,,,,,
Hindu Mission Hospital Blood Bank,"Hindu Mission Hospital Blood Bank, Tambaram Flyover Ramp, Irumbuliyur, Tambaram, Chennai, Tamil Nadu",Tambaram,Tamil Nadu,600045,8915796091,India,12.9238319,80.1140106,General Medicine,"Specialized Cardiology Unit, Dedicated Women's Health Center, Free Health Check-up Camps in Local Communities, Multilingual Staff",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,18022.41,HDFC ERGO General Insurance,Critical Illness Insurance,11979.29,True,"Annual health check-ups, Health and wellness rewards program, Automatic restoration of sum insured, Organ donor expenses covered, International emergency coverage, Cashless hospitalization across network hospitals"
Hindu Mission Hospital Blood Bank,"Hindu Mission Hospital Blood Bank, Tambaram Flyover Ramp, Irumbuliyur, Tambaram, Chennai, Tamil Nadu",Tambaram,Tamil Nadu,600045,8915796091,India,12.9238319,80.1140106,General Medicine,"Specialized Cardiology Unit, Dedicated Women's Health Center, Free Health Check-up Camps in Local Communities, Multilingual Staff",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,18022.41,Raheja QBE General Insurance,Personal Accident Insurance Policy,10521.02,True,"Coverage for alternative treatments (AYUSH), Tax benefits under Section 80D, Automatic restoration of sum insured, Unlimited teleconsultations, International emergency coverage, Annual health check-ups, Critical illness coverage"
Hindu Mission Hospital Blood Bank,"Hindu Mission Hospital Blood Bank, Tambaram Flyover Ramp, Irumbuliyur, Tambaram, Chennai, Tamil Nadu",Tambaram,Tamil Nadu,600045,8915796091,India,12.9238319,80.1140106,General Medicine,"Specialized Cardiology Unit, Dedicated Women's Health Center, Free Health Check-up Camps in Local Communities, Multilingual Staff",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,18022.41,ManipalCigna Health Insurance,ProHealth Select,14148.69,True,"Tax benefits under Section 80D, Maternity and newborn cover, Automatic restoration of sum insured, Health and wellness rewards program, Lifelong renewability"
Hindu Mission Hospital Blood Bank,"Hindu Mission Hospital Blood Bank, Tambaram Flyover Ramp, Irumbuliyur, Tambaram, Chennai, Tamil Nadu",Tambaram,Tamil Nadu,600045,8915796091,India,12.9238319,80.1140106,General Medicine,"Specialized Cardiology Unit, Dedicated Women's Health Center, Free Health Check-up Camps in Local Communities, Multilingual Staff",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,18022.41,Exide Life Insurance,Hospital Cash Benefit,14215.78,True,"No claim bonus benefits, Critical illness coverage, Cashless hospitalization across network hospitals, Unlimited teleconsultations, Pre and post-hospitalization expenses, Organ donor expenses covered"
Hindu Mission Hospital Blood Bank,"Hindu Mission Hospital Blood Bank, Tambaram Flyover Ramp, Irumbuliyur, Tambaram, Chennai, Tamil Nadu",Tambaram,Tamil Nadu,600045,8915796091,India,12.9238319,80.1140106,General Medicine,"Specialized Cardiology Unit, Dedicated Women's Health Center, Free Health Check-up Camps in Local Communities, Multilingual Staff",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,14394.68,,,,,
Hindu Mission Hospital Blood Bank,"Hindu Mission Hospital Blood Bank, Tambaram Flyover Ramp, Irumbuliyur, Tambaram, Chennai, Tamil Nadu",Tambaram,Tamil Nadu,600045,8915796091,India,12.9238319,80.1140106,General Medicine,"Specialized Cardiology Unit, Dedicated Women's Health Center, Free Health Check-up Camps in Local Communities, Multilingual Staff",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,14394.68,Aditya Birla Health Insurance,Activ Care Classic,9476.90,True,"Personal accident insurance, Cashless hospitalization across network hospitals, Tax benefits under Section 80D, Coverage for chronic disease management, Automatic restoration of sum insured, No claim bonus benefits, Maternity and newborn cover"
Hindu Mission Hospital Blood Bank,"Hindu Mission Hospital Blood Bank, Tambaram Flyover Ramp, Irumbuliyur, Tambaram, Chennai, Tamil Nadu",Tambaram,Tamil Nadu,600045,8915796091,India,12.9238319,80.1140106,General Medicine,"Specialized Cardiology Unit, Dedicated Women's Health Center, Free Health Check-up Camps in Local Communities, Multilingual Staff",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,14394.68,Liberty General Insurance,Health Connect Policy,8534.67,True,"Tax benefits under Section 80D, Coverage for chronic disease management, Pre and post-hospitalization expenses, Coverage for alternative treatments (AYUSH), International emergency coverage, Automatic restoration of sum insured, No room rent limit"
Hindu Mission Hospital Blood Bank,"Hindu Mission Hospital Blood Bank, Tambaram Flyover Ramp, Irumbuliyur, Tambaram, Chennai, Tamil Nadu",Tambaram,Tamil Nadu,600045,8915796091,India,12.9238319,80.1140106,General Medicine,"Specialized Cardiology Unit, Dedicated Women's Health Center, Free Health Check-up Camps in Local Communities, Multilingual Staff",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,14394.68,ManipalCigna Health Insurance,Lifetime Health,6537.19,True,"Tax benefits under Section 80D, Organ donor expenses covered, Ambulance cover, Daycare treatment coverage, Coverage for alternative treatments (AYUSH), No room rent limit, Lifelong renewability"
