Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Kilpauk Medical College,"Kilpauk Medical College, Muniappa Road, Kellys, CMWSSB Division 103, Zone 8 Anna Nagar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,8022230707,India,13.0785984,80.2433369,General Medicine,"Comprehensive Cardiac Care Unit, Advanced Imaging Technology, Dedicated Trauma Center, Specialized Pediatric Ward",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17602.79,,,,,
Kilpauk Medical College,"Kilpauk Medical College, Muniappa Road, Kellys, CMWSSB Division 103, Zone 8 Anna Nagar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,8022230707,India,13.0785984,80.2433369,General Medicine,"Comprehensive Cardiac Care Unit, Advanced Imaging Technology, Dedicated Trauma Center, Specialized Pediatric Ward",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17602.79,Cholamandalam MS General Insurance,Chola MS Family Health Insurance,9838.61,True,"Automatic restoration of sum insured, No room rent limit, Cashless hospitalization across network hospitals, Unlimited teleconsultations, Coverage for alternative treatments (AYUSH), Personal accident insurance"
Kilpauk Medical College,"Kilpauk Medical College, Muniappa Road, Kellys, CMWSSB Division 103, Zone 8 Anna Nagar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,8022230707,India,13.0785984,80.2433369,General Medicine,"Comprehensive Cardiac Care Unit, Advanced Imaging Technology, Dedicated Trauma Center, Specialized Pediatric Ward",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17602.79,HDFC ERGO General Insurance,Arogya Sanjeevani Policy,8067.47,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Kilpauk Medical College,"Kilpauk Medical College, Muniappa Road, Kellys, CMWSSB Division 103, Zone 8 Anna Nagar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,8022230707,India,13.0785984,80.2433369,General Medicine,"Comprehensive Cardiac Care Unit, Advanced Imaging Technology, Dedicated Trauma Center, Specialized Pediatric Ward",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17602.79,Oriental Insurance Company,PNB-Oriental Royal Mediclaim Policy,9347.91,True,"Unlimited teleconsultations, Coverage for chronic disease management, Cashless hospitalization across network hospitals, Second medical opinion service, Daycare treatment coverage, No claim bonus benefits, Tax benefits under Section 80D"
Kilpauk Medical College,"Kilpauk Medical College, Muniappa Road, Kellys, CMWSSB Division 103, Zone 8 Anna Nagar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,8022230707,India,13.0785984,80.2433369,General Medicine,"Comprehensive Cardiac Care Unit, Advanced Imaging Technology, Dedicated Trauma Center, Specialized Pediatric Ward",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17602.79,Kotak Mahindra Health Insurance,Arogya Sanjeevani Policy,11322.88,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Kilpauk Medical College,"Kilpauk Medical College, Muniappa Road, Kellys, CMWSSB Division 103, Zone 8 Anna Nagar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,8022230707,India,13.0785984,80.2433369,General Medicine,"Comprehensive Cardiac Care Unit, Advanced Imaging Technology, Dedicated Trauma Center, Specialized Pediatric Ward",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17602.79,SBI General Insurance,Hospital Daily Cash Insurance Policy,21540.46,False,"Daycare treatment coverage, Critical illness coverage, Tax benefits under Section 80D, Health and wellness rewards program, Annual health check-ups"
Kilpauk Medical College,"Kilpauk Medical College, Muniappa Road, Kellys, CMWSSB Division 103, Zone 8 Anna Nagar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,8022230707,India,13.0785984,80.2433369,General Medicine,"Comprehensive Cardiac Care Unit, Advanced Imaging Technology, Dedicated Trauma Center, Specialized Pediatric Ward",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,9121.38,,,,,
Kilpauk Medical College,"Kilpauk Medical College, Muniappa Road, Kellys, CMWSSB Division 103, Zone 8 Anna Nagar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,8022230707,India,13.0785984,80.2433369,General Medicine,"Comprehensive Cardiac Care Unit, Advanced Imaging Technology, Dedicated Trauma Center, Specialized Pediatric Ward",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,9121.38,United India Insurance Company,Top-up Medicare Policy,7068.14,True,"No room rent limit, Coverage for chronic disease management, International emergency coverage, Cashless hospitalization across network hospitals, No claim bonus benefits, Lifelong renewability, Personal accident insurance"
Kilpauk Medical College,"Kilpauk Medical College, Muniappa Road, Kellys, CMWSSB Division 103, Zone 8 Anna Nagar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,8022230707,India,13.0785984,80.2433369,General Medicine,"Comprehensive Cardiac Care Unit, Advanced Imaging Technology, Dedicated Trauma Center, Specialized Pediatric Ward",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,23577.87,,,,,
Kilpauk Medical College,"Kilpauk Medical College, Muniappa Road, Kellys, CMWSSB Division 103, Zone 8 Anna Nagar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,8022230707,India,13.0785984,80.2433369,General Medicine,"Comprehensive Cardiac Care Unit, Advanced Imaging Technology, Dedicated Trauma Center, Specialized Pediatric Ward",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,23577.87,HDFC ERGO General Insurance,Optima Restore Individual,18775.58,True,"Second medical opinion service, No claim bonus benefits, Critical illness coverage, Coverage for chronic disease management, Tax benefits under Section 80D, Lifelong renewability, Maternity and newborn cover"
Kilpauk Medical College,"Kilpauk Medical College, Muniappa Road, Kellys, CMWSSB Division 103, Zone 8 Anna Nagar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,8022230707,India,13.0785984,80.2433369,General Medicine,"Comprehensive Cardiac Care Unit, Advanced Imaging Technology, Dedicated Trauma Center, Specialized Pediatric Ward",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,23577.87,Zuno General Insurance (Edelweiss),Family Floater Plan,11846.61,True,"Organ donor expenses covered, Second medical opinion service, Maternity and newborn cover, Cashless hospitalization across network hospitals, Annual health check-ups"
Kilpauk Medical College,"Kilpauk Medical College, Muniappa Road, Kellys, CMWSSB Division 103, Zone 8 Anna Nagar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,8022230707,India,13.0785984,80.2433369,General Medicine,"Comprehensive Cardiac Care Unit, Advanced Imaging Technology, Dedicated Trauma Center, Specialized Pediatric Ward",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,23577.87,Liberty General Insurance,Corona Kavach Policy,17207.88,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Kilpauk Medical College,"Kilpauk Medical College, Muniappa Road, Kellys, CMWSSB Division 103, Zone 8 Anna Nagar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,8022230707,India,13.0785984,80.2433369,General Medicine,"Comprehensive Cardiac Care Unit, Advanced Imaging Technology, Dedicated Trauma Center, Specialized Pediatric Ward",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,23577.87,Shriram General Insurance,Arogya Sanjeevani Policy,12764.73,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Kilpauk Medical College,"Kilpauk Medical College, Muniappa Road, Kellys, CMWSSB Division 103, Zone 8 Anna Nagar, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,8022230707,India,13.0785984,80.2433369,General Medicine,"Comprehensive Cardiac Care Unit, Advanced Imaging Technology, Dedicated Trauma Center, Specialized Pediatric Ward",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,1660.07,,,,,
