Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
MIOT International,"MIOT International, Miot International Hospital road, CMWSSB Division 157, Ward 157, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600089,8801801432,India,13.0211808,80.1858412,General Medicine,"Comprehensive cardiac care center, /7 emergency services with dedicated fast-track lanes, Advanced robotic surgery capabilities, International patient support services",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,14916.86,,,,,
MIOT International,"MIOT International, Miot International Hospital road, CMWSSB Division 157, Ward 157, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600089,8801801432,India,13.0211808,80.1858412,General Medicine,"Comprehensive cardiac care center, /7 emergency services with dedicated fast-track lanes, Advanced robotic surgery capabilities, International patient support services",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,3666.82,,,,,
MIOT International,"MIOT International, Miot International Hospital road, CMWSSB Division 157, Ward 157, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600089,8801801432,India,13.0211808,80.1858412,General Medicine,"Comprehensive cardiac care center, /7 emergency services with dedicated fast-track lanes, Advanced robotic surgery capabilities, International patient support services",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,3666.82,IFFCO Tokio General Insurance,Arogya Sanjeevani Policy,1707.21,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
MIOT International,"MIOT International, Miot International Hospital road, CMWSSB Division 157, Ward 157, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600089,8801801432,India,13.0211808,80.1858412,General Medicine,"Comprehensive cardiac care center, /7 emergency services with dedicated fast-track lanes, Advanced robotic surgery capabilities, International patient support services",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,3666.82,Raheja QBE General Insurance,Health QuBE Super Top-up Health Insurance,2215.00,True,"Health and wellness rewards program, No room rent limit, Daycare treatment coverage, Personal accident insurance, Ambulance cover, Unlimited teleconsultations, Organ donor expenses covered"
MIOT International,"MIOT International, Miot International Hospital road, CMWSSB Division 157, Ward 157, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600089,8801801432,India,13.0211808,80.1858412,General Medicine,"Comprehensive cardiac care center, /7 emergency services with dedicated fast-track lanes, Advanced robotic surgery capabilities, International patient support services",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,10322.84,,,,,
MIOT International,"MIOT International, Miot International Hospital road, CMWSSB Division 157, Ward 157, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600089,8801801432,India,13.0211808,80.1858412,General Medicine,"Comprehensive cardiac care center, /7 emergency services with dedicated fast-track lanes, Advanced robotic surgery capabilities, International patient support services",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,10322.84,Bajaj Allianz General Insurance,Arogya Sanjeevani Policy,7965.72,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
MIOT International,"MIOT International, Miot International Hospital road, CMWSSB Division 157, Ward 157, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600089,8801801432,India,13.0211808,80.1858412,General Medicine,"Comprehensive cardiac care center, /7 emergency services with dedicated fast-track lanes, Advanced robotic surgery capabilities, International patient support services",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,16710.66,,,,,
MIOT International,"MIOT International, Miot International Hospital road, CMWSSB Division 157, Ward 157, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600089,8801801432,India,13.0211808,80.1858412,General Medicine,"Comprehensive cardiac care center, /7 emergency services with dedicated fast-track lanes, Advanced robotic surgery capabilities, International patient support services",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,16710.66,Digit Insurance,Digit Health Insurance,14173.55,True,"No room rent limit, Pre and post-hospitalization expenses, Tax benefits under Section 80D, Second medical opinion service, Coverage for chronic disease management"
MIOT International,"MIOT International, Miot International Hospital road, CMWSSB Division 157, Ward 157, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600089,8801801432,India,13.0211808,80.1858412,General Medicine,"Comprehensive cardiac care center, /7 emergency services with dedicated fast-track lanes, Advanced robotic surgery capabilities, International patient support services",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,16710.66,IFFCO Tokio General Insurance,Family Health Protector,9316.10,True,"Coverage for alternative treatments (AYUSH), International emergency coverage, Critical illness coverage, Tax benefits under Section 80D, No claim bonus benefits, Personal accident insurance"
MIOT International,"MIOT International, Miot International Hospital road, CMWSSB Division 157, Ward 157, Zone 12 Alandur, Alandur, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600089,8801801432,India,13.0211808,80.1858412,General Medicine,"Comprehensive cardiac care center, /7 emergency services with dedicated fast-track lanes, Advanced robotic surgery capabilities, International patient support services",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,1781.67,,,,,
