Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Madras Medical Mission(Institute of Cardio Vascular Diseses),"Madras Medical Mission(Institute of Cardio Vascular Diseses), Seethakathi Street, Ward 93, Zone 7 Ambattur, Ambattur, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600050,9712914165,India,13.0859575,80.1872322,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Women's Health Unit, On-site Pharmacy and Laboratory Services, Multilingual Staff",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,1024.03,,,,,
Madras Medical Mission(Institute of Cardio Vascular Diseses),"Madras Medical Mission(Institute of Cardio Vascular Diseses), Seethakathi Street, Ward 93, Zone 7 Ambattur, Ambattur, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600050,9712914165,India,13.0859575,80.1872322,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Women's Health Unit, On-site Pharmacy and Laboratory Services, Multilingual Staff",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,1024.03,Bharti AXA General Insurance,Smart Super Health Insurance Policy,537.31,True,"Annual health check-ups, Personal accident insurance, Automatic restoration of sum insured, International emergency coverage, No room rent limit, Tax benefits under Section 80D, Ambulance cover"
Madras Medical Mission(Institute of Cardio Vascular Diseses),"Madras Medical Mission(Institute of Cardio Vascular Diseses), Seethakathi Street, Ward 93, Zone 7 Ambattur, Ambattur, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600050,9712914165,India,13.0859575,80.1872322,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Women's Health Unit, On-site Pharmacy and Laboratory Services, Multilingual Staff",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,1024.03,Shriram General Insurance,Corona Kavach Policy,655.43,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Madras Medical Mission(Institute of Cardio Vascular Diseses),"Madras Medical Mission(Institute of Cardio Vascular Diseses), Seethakathi Street, Ward 93, Zone 7 Ambattur, Ambattur, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600050,9712914165,India,13.0859575,80.1872322,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Women's Health Unit, On-site Pharmacy and Laboratory Services, Multilingual Staff",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,1024.03,Digit Insurance,Corona Kavach Policy,554.19,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Madras Medical Mission(Institute of Cardio Vascular Diseses),"Madras Medical Mission(Institute of Cardio Vascular Diseses), Seethakathi Street, Ward 93, Zone 7 Ambattur, Ambattur, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600050,9712914165,India,13.0859575,80.1872322,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Women's Health Unit, On-site Pharmacy and Laboratory Services, Multilingual Staff",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,1024.03,Aditya Birla Health Insurance,Activ Health Platinum Enhanced,794.26,True,"Health and wellness rewards program, Personal accident insurance, Pre and post-hospitalization expenses, No room rent limit, Daycare treatment coverage, Automatic restoration of sum insured"
Madras Medical Mission(Institute of Cardio Vascular Diseses),"Madras Medical Mission(Institute of Cardio Vascular Diseses), Seethakathi Street, Ward 93, Zone 7 Ambattur, Ambattur, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600050,9712914165,India,13.0859575,80.1872322,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Women's Health Unit, On-site Pharmacy and Laboratory Services, Multilingual Staff",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,1024.03,HDFC ERGO General Insurance,My:Health Medisure Super Top-up,511.56,True,"Health and wellness rewards program, Cashless hospitalization across network hospitals, Daycare treatment coverage, Ambulance cover, Maternity and newborn cover"
Madras Medical Mission(Institute of Cardio Vascular Diseses),"Madras Medical Mission(Institute of Cardio Vascular Diseses), Seethakathi Street, Ward 93, Zone 7 Ambattur, Ambattur, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600050,9712914165,India,13.0859575,80.1872322,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Women's Health Unit, On-site Pharmacy and Laboratory Services, Multilingual Staff",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,1024.03,Exide Life Insurance,Cancer Protection Plan,703.20,True,"No room rent limit, Critical illness coverage, International emergency coverage, Tax benefits under Section 80D, Pre and post-hospitalization expenses, Maternity and newborn cover, Unlimited teleconsultations"
Madras Medical Mission(Institute of Cardio Vascular Diseses),"Madras Medical Mission(Institute of Cardio Vascular Diseses), Seethakathi Street, Ward 93, Zone 7 Ambattur, Ambattur, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600050,9712914165,India,13.0859575,80.1872322,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Women's Health Unit, On-site Pharmacy and Laboratory Services, Multilingual Staff",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,19314.87,,,,,
Madras Medical Mission(Institute of Cardio Vascular Diseses),"Madras Medical Mission(Institute of Cardio Vascular Diseses), Seethakathi Street, Ward 93, Zone 7 Ambattur, Ambattur, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600050,9712914165,India,13.0859575,80.1872322,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Women's Health Unit, On-site Pharmacy and Laboratory Services, Multilingual Staff",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,2854.09,,,,,
Madras Medical Mission(Institute of Cardio Vascular Diseses),"Madras Medical Mission(Institute of Cardio Vascular Diseses), Seethakathi Street, Ward 93, Zone 7 Ambattur, Ambattur, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600050,9712914165,India,13.0859575,80.1872322,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Women's Health Unit, On-site Pharmacy and Laboratory Services, Multilingual Staff",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,7806.87,,,,,
