Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Rajiv Gandhi Government General Hospital,"Rajiv Gandhi Government General Hospital, General Hospital Road, Evening Bazaar, CMWSSB Division 59, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600003,7118544975,India,13.0806077,80.2773314,General Medicine,"/7 Emergency Services, Specialized Trauma Care Unit, Free or Subsidized Healthcare for Low-Income Patients, Comprehensive Diagnostic Services, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,20325.69,,,,,
Rajiv Gandhi Government General Hospital,"Rajiv Gandhi Government General Hospital, General Hospital Road, Evening Bazaar, CMWSSB Division 59, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600003,7118544975,India,13.0806077,80.2773314,General Medicine,"/7 Emergency Services, Specialized Trauma Care Unit, Free or Subsidized Healthcare for Low-Income Patients, Comprehensive Diagnostic Services, Telemedicine Consultations",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,16500.77,,,,,
Rajiv Gandhi Government General Hospital,"Rajiv Gandhi Government General Hospital, General Hospital Road, Evening Bazaar, CMWSSB Division 59, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600003,7118544975,India,13.0806077,80.2773314,General Medicine,"/7 Emergency Services, Specialized Trauma Care Unit, Free or Subsidized Healthcare for Low-Income Patients, Comprehensive Diagnostic Services, Telemedicine Consultations",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,8001.81,,,,,
Rajiv Gandhi Government General Hospital,"Rajiv Gandhi Government General Hospital, General Hospital Road, Evening Bazaar, CMWSSB Division 59, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600003,7118544975,India,13.0806077,80.2773314,General Medicine,"/7 Emergency Services, Specialized Trauma Care Unit, Free or Subsidized Healthcare for Low-Income Patients, Comprehensive Diagnostic Services, Telemedicine Consultations",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,8001.81,Magma HDI General Insurance,Arogya Sanjeevani Policy,5516.95,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Rajiv Gandhi Government General Hospital,"Rajiv Gandhi Government General Hospital, General Hospital Road, Evening Bazaar, CMWSSB Division 59, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600003,7118544975,India,13.0806077,80.2773314,General Medicine,"/7 Emergency Services, Specialized Trauma Care Unit, Free or Subsidized Healthcare for Low-Income Patients, Comprehensive Diagnostic Services, Telemedicine Consultations",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,12791.35,,,,,
Rajiv Gandhi Government General Hospital,"Rajiv Gandhi Government General Hospital, General Hospital Road, Evening Bazaar, CMWSSB Division 59, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600003,7118544975,India,13.0806077,80.2773314,Maternity Care,"/7 Emergency Services, Specialized Trauma Care Unit, Free or Subsidized Healthcare for Low-Income Patients, Comprehensive Diagnostic Services, Telemedicine Consultations",Maternity Care,Normal Delivery,MATNOR641,Expert care and support for a vaginal birth without complications.,OUTPATIENT,23913.26,,,,,
Rajiv Gandhi Government General Hospital,"Rajiv Gandhi Government General Hospital, General Hospital Road, Evening Bazaar, CMWSSB Division 59, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600003,7118544975,India,13.0806077,80.2773314,Maternity Care,"/7 Emergency Services, Specialized Trauma Care Unit, Free or Subsidized Healthcare for Low-Income Patients, Comprehensive Diagnostic Services, Telemedicine Consultations",Maternity Care,Pregnancy Checkup,MATPRE574,Comprehensive prenatal care appointments to monitor your health and your baby's development throughout pregnancy.,BOTH,19337.39,,,,,
Rajiv Gandhi Government General Hospital,"Rajiv Gandhi Government General Hospital, General Hospital Road, Evening Bazaar, CMWSSB Division 59, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600003,7118544975,India,13.0806077,80.2773314,Maternity Care,"/7 Emergency Services, Specialized Trauma Care Unit, Free or Subsidized Healthcare for Low-Income Patients, Comprehensive Diagnostic Services, Telemedicine Consultations",Maternity Care,Pregnancy Checkup,MATPRE574,Comprehensive prenatal care appointments to monitor your health and your baby's development throughout pregnancy.,BOTH,19337.39,United India Insurance Company,Individual Health Insurance Policy,14246.81,True,"Organ donor expenses covered, Personal accident insurance, No claim bonus benefits, Coverage for chronic disease management, Health and wellness rewards program, No room rent limit, Coverage for alternative treatments (AYUSH)"
Rajiv Gandhi Government General Hospital,"Rajiv Gandhi Government General Hospital, General Hospital Road, Evening Bazaar, CMWSSB Division 59, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600003,7118544975,India,13.0806077,80.2773314,Maternity Care,"/7 Emergency Services, Specialized Trauma Care Unit, Free or Subsidized Healthcare for Low-Income Patients, Comprehensive Diagnostic Services, Telemedicine Consultations",Maternity Care,Pregnancy Checkup,MATPRE574,Comprehensive prenatal care appointments to monitor your health and your baby's development throughout pregnancy.,BOTH,19337.39,Liberty General Insurance,Janta Personal Accident Insurance Policy,9265.70,True,"International emergency coverage, Critical illness coverage, Unlimited teleconsultations, Coverage for alternative treatments (AYUSH), Personal accident insurance, Coverage for chronic disease management, Pre and post-hospitalization expenses"
Rajiv Gandhi Government General Hospital,"Rajiv Gandhi Government General Hospital, General Hospital Road, Evening Bazaar, CMWSSB Division 59, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600003,7118544975,India,13.0806077,80.2773314,Maternity Care,"/7 Emergency Services, Specialized Trauma Care Unit, Free or Subsidized Healthcare for Low-Income Patients, Comprehensive Diagnostic Services, Telemedicine Consultations",Maternity Care,Pregnancy Checkup,MATPRE574,Comprehensive prenatal care appointments to monitor your health and your baby's development throughout pregnancy.,BOTH,19337.39,SBI General Insurance,Arogya Sanjeevani Policy,16278.74,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Rajiv Gandhi Government General Hospital,"Rajiv Gandhi Government General Hospital, General Hospital Road, Evening Bazaar, CMWSSB Division 59, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600003,7118544975,India,13.0806077,80.2773314,Maternity Care,"/7 Emergency Services, Specialized Trauma Care Unit, Free or Subsidized Healthcare for Low-Income Patients, Comprehensive Diagnostic Services, Telemedicine Consultations",Maternity Care,Pregnancy Checkup,MATPRE574,Comprehensive prenatal care appointments to monitor your health and your baby's development throughout pregnancy.,BOTH,19337.39,Digit Insurance,Critical Illness Cover,17768.57,False,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
Rajiv Gandhi Government General Hospital,"Rajiv Gandhi Government General Hospital, General Hospital Road, Evening Bazaar, CMWSSB Division 59, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600003,7118544975,India,13.0806077,80.2773314,Maternity Care,"/7 Emergency Services, Specialized Trauma Care Unit, Free or Subsidized Healthcare for Low-Income Patients, Comprehensive Diagnostic Services, Telemedicine Consultations",Maternity Care,Pregnancy Checkup,MATPRE574,Comprehensive prenatal care appointments to monitor your health and your baby's development throughout pregnancy.,BOTH,19337.39,IFFCO Tokio General Insurance,Swasthya Kavach Policy,8785.01,True,"Daycare treatment coverage, International emergency coverage, Annual health check-ups, Coverage for chronic disease management, Critical illness coverage, Automatic restoration of sum insured, Ambulance cover"
Rajiv Gandhi Government General Hospital,"Rajiv Gandhi Government General Hospital, General Hospital Road, Evening Bazaar, CMWSSB Division 59, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600003,7118544975,India,13.0806077,80.2773314,Maternity Care,"/7 Emergency Services, Specialized Trauma Care Unit, Free or Subsidized Healthcare for Low-Income Patients, Comprehensive Diagnostic Services, Telemedicine Consultations",Maternity Care,Pregnancy Checkup,MATPRE574,Comprehensive prenatal care appointments to monitor your health and your baby's development throughout pregnancy.,BOTH,19337.39,Aviva Life Insurance,Health Protection Plus,25476.99,False,"Cashless hospitalization across network hospitals, Lifelong renewability, No room rent limit, Second medical opinion service, Coverage for chronic disease management, Coverage for alternative treatments (AYUSH)"
Rajiv Gandhi Government General Hospital,"Rajiv Gandhi Government General Hospital, General Hospital Road, Evening Bazaar, CMWSSB Division 59, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600003,7118544975,India,13.0806077,80.2773314,Maternity Care,"/7 Emergency Services, Specialized Trauma Care Unit, Free or Subsidized Healthcare for Low-Income Patients, Comprehensive Diagnostic Services, Telemedicine Consultations",Maternity Care,Pregnancy Checkup,MATPRE574,Comprehensive prenatal care appointments to monitor your health and your baby's development throughout pregnancy.,BOTH,19337.39,Tata AIA Life Insurance,Cancer Care Plan,14648.97,True,"Ambulance cover, Personal accident insurance, International emergency coverage, Daycare treatment coverage, Maternity and newborn cover, Automatic restoration of sum insured"
Rajiv Gandhi Government General Hospital,"Rajiv Gandhi Government General Hospital, General Hospital Road, Evening Bazaar, CMWSSB Division 59, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600003,7118544975,India,13.0806077,80.2773314,Maternity Care,"/7 Emergency Services, Specialized Trauma Care Unit, Free or Subsidized Healthcare for Low-Income Patients, Comprehensive Diagnostic Services, Telemedicine Consultations",Maternity Care,Ultrasound - Pregnancy,MATULT555,"Ultrasound imaging to monitor fetal development, assess pregnancy health, and guide prenatal care.",OUTPATIENT,20435.37,,,,,
Rajiv Gandhi Government General Hospital,"Rajiv Gandhi Government General Hospital, General Hospital Road, Evening Bazaar, CMWSSB Division 59, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600003,7118544975,India,13.0806077,80.2773314,Maternity Care,"/7 Emergency Services, Specialized Trauma Care Unit, Free or Subsidized Healthcare for Low-Income Patients, Comprehensive Diagnostic Services, Telemedicine Consultations",Maternity Care,Ultrasound - Pregnancy,MATULT555,"Ultrasound imaging to monitor fetal development, assess pregnancy health, and guide prenatal care.",OUTPATIENT,20435.37,Care Health Insurance,Senior Citizen Health Insurance,13502.21,True,"Coverage for alternative treatments (AYUSH), Personal accident insurance, Cashless hospitalization across network hospitals, Annual health check-ups, Maternity and newborn cover, Lifelong renewability"
