Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
SIMS Hospital,"SIMS Hospital, Tirumurthy Nagar Main Road, Gemini, Ward 113, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600034,8057927393,India,13.0561828,80.2478331,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,16915.26,,,,,
SIMS Hospital,"SIMS Hospital, Tirumurthy Nagar Main Road, Gemini, Ward 113, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600034,8057927393,India,13.0561828,80.2478331,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,16915.26,Cholamandalam MS General Insurance,Arogya Sanjeevani Policy,10511.98,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
SIMS Hospital,"SIMS Hospital, Tirumurthy Nagar Main Road, Gemini, Ward 113, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600034,8057927393,India,13.0561828,80.2478331,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,16915.26,Bharti AXA General Insurance,Corona Kavach Policy,9445.66,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
SIMS Hospital,"SIMS Hospital, Tirumurthy Nagar Main Road, Gemini, Ward 113, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600034,8057927393,India,13.0561828,80.2478331,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,9256.67,,,,,
SIMS Hospital,"SIMS Hospital, Tirumurthy Nagar Main Road, Gemini, Ward 113, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600034,8057927393,India,13.0561828,80.2478331,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,9256.67,Aditya Birla Health Insurance,Activ Health Platinum Essential,5200.07,True,"Lifelong renewability, Coverage for alternative treatments (AYUSH), Ambulance cover, Daycare treatment coverage, Tax benefits under Section 80D, Maternity and newborn cover, Personal accident insurance"
SIMS Hospital,"SIMS Hospital, Tirumurthy Nagar Main Road, Gemini, Ward 113, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600034,8057927393,India,13.0561828,80.2478331,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,9256.67,Acko General Insurance,ACKO Platinum Super Top-up Health Insurance Policy,7560.29,True,"Maternity and newborn cover, Organ donor expenses covered, Health and wellness rewards program, Cashless hospitalization across network hospitals, No room rent limit"
SIMS Hospital,"SIMS Hospital, Tirumurthy Nagar Main Road, Gemini, Ward 113, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600034,8057927393,India,13.0561828,80.2478331,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,9256.67,Aviva Life Insurance,Health Protection Plus,6522.11,True,"Cashless hospitalization across network hospitals, Lifelong renewability, No room rent limit, Second medical opinion service, Coverage for chronic disease management, Coverage for alternative treatments (AYUSH)"
SIMS Hospital,"SIMS Hospital, Tirumurthy Nagar Main Road, Gemini, Ward 113, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600034,8057927393,India,13.0561828,80.2478331,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,9256.67,IFFCO Tokio General Insurance,Critical Illness Benefit Policy,6597.19,True,"International emergency coverage, Cashless hospitalization across network hospitals, Annual health check-ups, No room rent limit, Unlimited teleconsultations"
SIMS Hospital,"SIMS Hospital, Tirumurthy Nagar Main Road, Gemini, Ward 113, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600034,8057927393,India,13.0561828,80.2478331,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,9256.67,Cholamandalam MS General Insurance,Chola MS Family Health Insurance,7385.80,True,"Automatic restoration of sum insured, No room rent limit, Cashless hospitalization across network hospitals, Unlimited teleconsultations, Coverage for alternative treatments (AYUSH), Personal accident insurance"
SIMS Hospital,"SIMS Hospital, Tirumurthy Nagar Main Road, Gemini, Ward 113, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600034,8057927393,India,13.0561828,80.2478331,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,9256.67,Magma HDI General Insurance,Corona Kavach Policy,6500.04,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
