Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Stanley Medical College and Hospital,"Stanley Medical College and Hospital, Old Jail Road, CMWSSB Division 55, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,9872114912,India,13.1041151,80.2836547,General Medicine,"State-of-the-art surgical suites equipped with advanced technology., Comprehensive cardiology department with specialized treatment for heart conditions., /7 emergency services with dedicated trauma care., On-site pharmacy and diagnostic imaging center for convenient access., Dedicated patient support services including multilingual staff and financial assistance programs.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,24541.01,,,,,
Stanley Medical College and Hospital,"Stanley Medical College and Hospital, Old Jail Road, CMWSSB Division 55, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,9872114912,India,13.1041151,80.2836547,General Medicine,"State-of-the-art surgical suites equipped with advanced technology., Comprehensive cardiology department with specialized treatment for heart conditions., /7 emergency services with dedicated trauma care., On-site pharmacy and diagnostic imaging center for convenient access., Dedicated patient support services including multilingual staff and financial assistance programs.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,24541.01,Bharti AXA General Insurance,Smart Super Health Insurance Policy,16596.34,True,"Annual health check-ups, Personal accident insurance, Automatic restoration of sum insured, International emergency coverage, No room rent limit, Tax benefits under Section 80D, Ambulance cover"
Stanley Medical College and Hospital,"Stanley Medical College and Hospital, Old Jail Road, CMWSSB Division 55, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,9872114912,India,13.1041151,80.2836547,General Medicine,"State-of-the-art surgical suites equipped with advanced technology., Comprehensive cardiology department with specialized treatment for heart conditions., /7 emergency services with dedicated trauma care., On-site pharmacy and diagnostic imaging center for convenient access., Dedicated patient support services including multilingual staff and financial assistance programs.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,24541.01,Tata AIG General Insurance,Critical Illness Policy,19739.02,True,"Pre and post-hospitalization expenses, Tax benefits under Section 80D, Critical illness coverage, Personal accident insurance, Unlimited teleconsultations, Second medical opinion service"
Stanley Medical College and Hospital,"Stanley Medical College and Hospital, Old Jail Road, CMWSSB Division 55, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,9872114912,India,13.1041151,80.2836547,General Medicine,"State-of-the-art surgical suites equipped with advanced technology., Comprehensive cardiology department with specialized treatment for heart conditions., /7 emergency services with dedicated trauma care., On-site pharmacy and diagnostic imaging center for convenient access., Dedicated patient support services including multilingual staff and financial assistance programs.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,24541.01,Aviva Life Insurance,Arogya Sanjeevani Policy,11514.29,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Stanley Medical College and Hospital,"Stanley Medical College and Hospital, Old Jail Road, CMWSSB Division 55, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,9872114912,India,13.1041151,80.2836547,General Medicine,"State-of-the-art surgical suites equipped with advanced technology., Comprehensive cardiology department with specialized treatment for heart conditions., /7 emergency services with dedicated trauma care., On-site pharmacy and diagnostic imaging center for convenient access., Dedicated patient support services including multilingual staff and financial assistance programs.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,24541.01,ManipalCigna Health Insurance,ProHealth Insurance,17112.21,True,"Coverage for alternative treatments (AYUSH), Personal accident insurance, Automatic restoration of sum insured, Lifelong renewability, Health and wellness rewards program"
Stanley Medical College and Hospital,"Stanley Medical College and Hospital, Old Jail Road, CMWSSB Division 55, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,9872114912,India,13.1041151,80.2836547,General Medicine,"State-of-the-art surgical suites equipped with advanced technology., Comprehensive cardiology department with specialized treatment for heart conditions., /7 emergency services with dedicated trauma care., On-site pharmacy and diagnostic imaging center for convenient access., Dedicated patient support services including multilingual staff and financial assistance programs.",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,9031.46,,,,,
Stanley Medical College and Hospital,"Stanley Medical College and Hospital, Old Jail Road, CMWSSB Division 55, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,9872114912,India,13.1041151,80.2836547,General Medicine,"State-of-the-art surgical suites equipped with advanced technology., Comprehensive cardiology department with specialized treatment for heart conditions., /7 emergency services with dedicated trauma care., On-site pharmacy and diagnostic imaging center for convenient access., Dedicated patient support services including multilingual staff and financial assistance programs.",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,9031.46,Magma HDI General Insurance,Critical Illness Insurance,7591.63,True,"Annual health check-ups, Health and wellness rewards program, Automatic restoration of sum insured, Organ donor expenses covered, International emergency coverage, Cashless hospitalization across network hospitals"
Stanley Medical College and Hospital,"Stanley Medical College and Hospital, Old Jail Road, CMWSSB Division 55, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,9872114912,India,13.1041151,80.2836547,General Medicine,"State-of-the-art surgical suites equipped with advanced technology., Comprehensive cardiology department with specialized treatment for heart conditions., /7 emergency services with dedicated trauma care., On-site pharmacy and diagnostic imaging center for convenient access., Dedicated patient support services including multilingual staff and financial assistance programs.",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,4844.67,,,,,
Stanley Medical College and Hospital,"Stanley Medical College and Hospital, Old Jail Road, CMWSSB Division 55, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,9872114912,India,13.1041151,80.2836547,General Medicine,"State-of-the-art surgical suites equipped with advanced technology., Comprehensive cardiology department with specialized treatment for heart conditions., /7 emergency services with dedicated trauma care., On-site pharmacy and diagnostic imaging center for convenient access., Dedicated patient support services including multilingual staff and financial assistance programs.",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,4844.67,SBI General Insurance,Hospital Daily Cash Insurance Policy,3754.31,True,"Daycare treatment coverage, Critical illness coverage, Tax benefits under Section 80D, Health and wellness rewards program, Annual health check-ups"
Stanley Medical College and Hospital,"Stanley Medical College and Hospital, Old Jail Road, CMWSSB Division 55, Zone 5 Royapuram, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,9872114912,India,13.1041151,80.2836547,General Medicine,"State-of-the-art surgical suites equipped with advanced technology., Comprehensive cardiology department with specialized treatment for heart conditions., /7 emergency services with dedicated trauma care., On-site pharmacy and diagnostic imaging center for convenient access., Dedicated patient support services including multilingual staff and financial assistance programs.",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,4844.67,Tata AIA Life Insurance,Tata AIA Critical Illness Plan,6113.92,False,"Cashless hospitalization across network hospitals, Critical illness coverage, Second medical opinion service, Annual health check-ups, No claim bonus benefits, Coverage for alternative treatments (AYUSH), Maternity and newborn cover"
