Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,19883.55,,,,,
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,17881.14,,,,,
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,17881.14,Bharti AXA General Insurance,Smart Health Insurance Policy,14420.90,True,"Pre and post-hospitalization expenses, No claim bonus benefits, Critical illness coverage, Ambulance cover, Cashless hospitalization across network hospitals"
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,5311.70,,,,,
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,5311.70,Liberty General Insurance,Janta Personal Accident Insurance Policy,2836.86,True,"International emergency coverage, Critical illness coverage, Unlimited teleconsultations, Coverage for alternative treatments (AYUSH), Personal accident insurance, Coverage for chronic disease management, Pre and post-hospitalization expenses"
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,5311.70,IFFCO Tokio General Insurance,Family Health Protector,7429.89,False,"Coverage for alternative treatments (AYUSH), International emergency coverage, Critical illness coverage, Tax benefits under Section 80D, No claim bonus benefits, Personal accident insurance"
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,5311.70,Care Health Insurance,Health Insurance Plan for Individuals,3570.57,True,"Health and wellness rewards program, Ambulance cover, Unlimited teleconsultations, Personal accident insurance, Critical illness coverage, Coverage for chronic disease management, Organ donor expenses covered"
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,5311.70,SBI General Insurance,Arogya Supreme Policy,3561.09,True,"No claim bonus benefits, Unlimited teleconsultations, Pre and post-hospitalization expenses, Personal accident insurance, Tax benefits under Section 80D, Critical illness coverage, Cashless hospitalization across network hospitals"
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,12814.90,,,,,
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,12814.90,United India Insurance Company,Individual Health Insurance Policy,9290.91,True,"Organ donor expenses covered, Personal accident insurance, No claim bonus benefits, Coverage for chronic disease management, Health and wellness rewards program, No room rent limit, Coverage for alternative treatments (AYUSH)"
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,12814.90,Universal Sompo General Insurance,Senior Citizen Health Insurance Policy,9613.29,True,"Coverage for chronic disease management, Organ donor expenses covered, Cashless hospitalization across network hospitals, Personal accident insurance, Second medical opinion service, Tax benefits under Section 80D"
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,12814.90,Digit Insurance,Digit Health Insurance,9255.59,True,"No room rent limit, Pre and post-hospitalization expenses, Tax benefits under Section 80D, Second medical opinion service, Coverage for chronic disease management"
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,Executive Health Checkup,GENEXE542,"A comprehensive health assessment for executives, identifying potential risks and promoting proactive wellness.",OUTPATIENT,20817.24,,,,,
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,Executive Health Checkup,GENEXE542,"A comprehensive health assessment for executives, identifying potential risks and promoting proactive wellness.",OUTPATIENT,20817.24,Kotak Mahindra Health Insurance,Kotak Super Top-up Plan,23876.00,False,"No claim bonus benefits, International emergency coverage, Pre and post-hospitalization expenses, Coverage for alternative treatments (AYUSH), Automatic restoration of sum insured"
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,Executive Health Checkup,GENEXE542,"A comprehensive health assessment for executives, identifying potential risks and promoting proactive wellness.",OUTPATIENT,20817.24,Tata AIG General Insurance,Medicare,10737.86,True,"Ambulance cover, Health and wellness rewards program, Second medical opinion service, Tax benefits under Section 80D, Coverage for alternative treatments (AYUSH)"
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,Executive Health Checkup,GENEXE542,"A comprehensive health assessment for executives, identifying potential risks and promoting proactive wellness.",OUTPATIENT,20817.24,Digit Insurance,Critical Illness Cover,11705.80,True,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,Executive Health Checkup,GENEXE542,"A comprehensive health assessment for executives, identifying potential risks and promoting proactive wellness.",OUTPATIENT,20817.24,Star Health and Allied Insurance,Family Health Optima,10571.51,True,"Tax benefits under Section 80D, Pre and post-hospitalization expenses, Critical illness coverage, Annual health check-ups, Second medical opinion service, No claim bonus benefits"
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,Executive Health Checkup,GENEXE542,"A comprehensive health assessment for executives, identifying potential risks and promoting proactive wellness.",OUTPATIENT,20817.24,Future Generali India Insurance,Health Essential,26422.95,False,"No room rent limit, Coverage for alternative treatments (AYUSH), Automatic restoration of sum insured, Annual health check-ups, No claim bonus benefits, Personal accident insurance"
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,Executive Health Checkup,GENEXE542,"A comprehensive health assessment for executives, identifying potential risks and promoting proactive wellness.",OUTPATIENT,20817.24,IFFCO Tokio General Insurance,Individual Medishield Policy,9495.98,True,"Critical illness coverage, Organ donor expenses covered, Unlimited teleconsultations, Daycare treatment coverage, Ambulance cover, Cashless hospitalization across network hospitals, No room rent limit"
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,Home Doctor Consultation,GENHOM234,Receive expert medical advice and treatment recommendations from the comfort of your home via virtual consultation.,INPATIENT,21448.76,,,,,
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,Home Doctor Consultation,GENHOM234,Receive expert medical advice and treatment recommendations from the comfort of your home via virtual consultation.,INPATIENT,21448.76,Niva Bupa Health Insurance,MoneySaver,11936.28,True,"Lifelong renewability, Cashless hospitalization across network hospitals, Health and wellness rewards program, Tax benefits under Section 80D, No room rent limit, Second medical opinion service"
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,Home Doctor Consultation,GENHOM234,Receive expert medical advice and treatment recommendations from the comfort of your home via virtual consultation.,INPATIENT,21448.76,Future Generali India Insurance,Health Absolute,20454.12,False,"Annual health check-ups, Ambulance cover, Pre and post-hospitalization expenses, No claim bonus benefits, Tax benefits under Section 80D, Automatic restoration of sum insured, Second medical opinion service"
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,21123.85,,,,,
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,21123.85,Bajaj Allianz General Insurance,Health Infinity Plan,14261.52,True,"Annual health check-ups, Maternity and newborn cover, Cashless hospitalization across network hospitals, Coverage for chronic disease management, No room rent limit"
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,21123.85,Future Generali India Insurance,Health Absolute,10154.58,True,"Annual health check-ups, Ambulance cover, Pre and post-hospitalization expenses, No claim bonus benefits, Tax benefits under Section 80D, Automatic restoration of sum insured, Second medical opinion service"
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,21123.85,Bharti AXA General Insurance,Corona Kavach Policy,16722.13,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,17935.60,,,,,
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,17935.60,Universal Sompo General Insurance,Super Healthcare Insurance,10533.23,True,"Critical illness coverage, Health and wellness rewards program, Organ donor expenses covered, Second medical opinion service, Coverage for chronic disease management, Unlimited teleconsultations"
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,17935.60,PNB MetLife Insurance,Guaranteed Savings Plan with Health Cover,22330.21,False,"Pre and post-hospitalization expenses, Organ donor expenses covered, Health and wellness rewards program, Ambulance cover, Personal accident insurance"
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,17935.60,Kotak Mahindra Health Insurance,Kotak Health Care Plan,11952.84,True,"Cashless hospitalization across network hospitals, Second medical opinion service, Coverage for chronic disease management, Coverage for alternative treatments (AYUSH), Personal accident insurance, Annual health check-ups"
Care Hospitals,"Care Hospitals, Hi Tech City Main Road, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,996544,7379135260,India,17.4305355,78.3721906,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Suite, Dedicated Oncology Department, Personalized Patient Portal",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,17935.60,Zuno General Insurance (Edelweiss),Health Insurance,12351.18,True,"Coverage for alternative treatments (AYUSH), Organ donor expenses covered, Coverage for chronic disease management, Maternity and newborn cover, Unlimited teleconsultations, Tax benefits under Section 80D"
