Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
MaxCure Hospitals,"MaxCure Hospitals, Cyber Towers - Madhapur Main Road, Vittal Rao Nagar, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,7672849262,India,17.4487708,78.3810989,General Medicine,"Advanced Robotic Surgery Center, Dedicated Oncology Unit with Specialized Cancer Care, On-site Pharmacy and Lab Services, Patient-Centered Care Navigation Program",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,18473.74,,,,,
MaxCure Hospitals,"MaxCure Hospitals, Cyber Towers - Madhapur Main Road, Vittal Rao Nagar, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,7672849262,India,17.4487708,78.3810989,General Medicine,"Advanced Robotic Surgery Center, Dedicated Oncology Unit with Specialized Cancer Care, On-site Pharmacy and Lab Services, Patient-Centered Care Navigation Program",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,18473.74,United India Insurance Company,Arogya Sanjeevani Policy,25257.87,False,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
MaxCure Hospitals,"MaxCure Hospitals, Cyber Towers - Madhapur Main Road, Vittal Rao Nagar, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,7672849262,India,17.4487708,78.3810989,General Medicine,"Advanced Robotic Surgery Center, Dedicated Oncology Unit with Specialized Cancer Care, On-site Pharmacy and Lab Services, Patient-Centered Care Navigation Program",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,18473.74,Star Health and Allied Insurance,Family Health Optima,18560.18,False,"Tax benefits under Section 80D, Pre and post-hospitalization expenses, Critical illness coverage, Annual health check-ups, Second medical opinion service, No claim bonus benefits"
MaxCure Hospitals,"MaxCure Hospitals, Cyber Towers - Madhapur Main Road, Vittal Rao Nagar, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,7672849262,India,17.4487708,78.3810989,General Medicine,"Advanced Robotic Surgery Center, Dedicated Oncology Unit with Specialized Cancer Care, On-site Pharmacy and Lab Services, Patient-Centered Care Navigation Program",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,18473.74,Tata AIG General Insurance,Medicare Premier,8710.36,True,"Second medical opinion service, Health and wellness rewards program, Annual health check-ups, Pre and post-hospitalization expenses, Personal accident insurance, Organ donor expenses covered, Coverage for alternative treatments (AYUSH)"
MaxCure Hospitals,"MaxCure Hospitals, Cyber Towers - Madhapur Main Road, Vittal Rao Nagar, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,7672849262,India,17.4487708,78.3810989,General Medicine,"Advanced Robotic Surgery Center, Dedicated Oncology Unit with Specialized Cancer Care, On-site Pharmacy and Lab Services, Patient-Centered Care Navigation Program",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,6717.61,,,,,
MaxCure Hospitals,"MaxCure Hospitals, Cyber Towers - Madhapur Main Road, Vittal Rao Nagar, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,7672849262,India,17.4487708,78.3810989,General Medicine,"Advanced Robotic Surgery Center, Dedicated Oncology Unit with Specialized Cancer Care, On-site Pharmacy and Lab Services, Patient-Centered Care Navigation Program",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,6717.61,Raheja QBE General Insurance,Health QuBE Comprehensive Health Insurance,6875.88,False,"Lifelong renewability, No room rent limit, Critical illness coverage, International emergency coverage, Tax benefits under Section 80D"
MaxCure Hospitals,"MaxCure Hospitals, Cyber Towers - Madhapur Main Road, Vittal Rao Nagar, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,7672849262,India,17.4487708,78.3810989,General Medicine,"Advanced Robotic Surgery Center, Dedicated Oncology Unit with Specialized Cancer Care, On-site Pharmacy and Lab Services, Patient-Centered Care Navigation Program",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,6717.61,Shriram General Insurance,Arogya Sanjeevani Policy,5054.32,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
MaxCure Hospitals,"MaxCure Hospitals, Cyber Towers - Madhapur Main Road, Vittal Rao Nagar, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,7672849262,India,17.4487708,78.3810989,General Medicine,"Advanced Robotic Surgery Center, Dedicated Oncology Unit with Specialized Cancer Care, On-site Pharmacy and Lab Services, Patient-Centered Care Navigation Program",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,6717.61,Future Generali India Insurance,Health Essential,3652.49,True,"No room rent limit, Coverage for alternative treatments (AYUSH), Automatic restoration of sum insured, Annual health check-ups, No claim bonus benefits, Personal accident insurance"
MaxCure Hospitals,"MaxCure Hospitals, Cyber Towers - Madhapur Main Road, Vittal Rao Nagar, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,7672849262,India,17.4487708,78.3810989,General Medicine,"Advanced Robotic Surgery Center, Dedicated Oncology Unit with Specialized Cancer Care, On-site Pharmacy and Lab Services, Patient-Centered Care Navigation Program",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,6717.61,Tata AIA Life Insurance,Tata AIA Medicare Policy,4569.45,True,"Coverage for alternative treatments (AYUSH), Health and wellness rewards program, No claim bonus benefits, Automatic restoration of sum insured, Critical illness coverage"
MaxCure Hospitals,"MaxCure Hospitals, Cyber Towers - Madhapur Main Road, Vittal Rao Nagar, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,7672849262,India,17.4487708,78.3810989,General Medicine,"Advanced Robotic Surgery Center, Dedicated Oncology Unit with Specialized Cancer Care, On-site Pharmacy and Lab Services, Patient-Centered Care Navigation Program",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,6717.61,HDFC ERGO General Insurance,My:Health Medisure Super Top-up,5365.42,True,"Health and wellness rewards program, Cashless hospitalization across network hospitals, Daycare treatment coverage, Ambulance cover, Maternity and newborn cover"
