Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Medicover hospitals,"Medicover hospitals, street number 3, Vittal Rao Nagar, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,7327531658,India,17.4466301,78.3801369,General Medicine,"Dedicated cardiac care unit with experienced cardiologists and specialized equipment., /7 emergency services with a team of highly trained medical professionals., Fast-track services for common ailments, reducing wait times., Comprehensive wellness programs promoting preventive healthcare.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,18960.53,,,,,
Medicover hospitals,"Medicover hospitals, street number 3, Vittal Rao Nagar, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,7327531658,India,17.4466301,78.3801369,General Medicine,"Dedicated cardiac care unit with experienced cardiologists and specialized equipment., /7 emergency services with a team of highly trained medical professionals., Fast-track services for common ailments, reducing wait times., Comprehensive wellness programs promoting preventive healthcare.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,18960.53,ICICI Lombard General Insurance,Arogya Sanjeevani Policy,10673.21,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Medicover hospitals,"Medicover hospitals, street number 3, Vittal Rao Nagar, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,7327531658,India,17.4466301,78.3801369,General Medicine,"Dedicated cardiac care unit with experienced cardiologists and specialized equipment., /7 emergency services with a team of highly trained medical professionals., Fast-track services for common ailments, reducing wait times., Comprehensive wellness programs promoting preventive healthcare.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,18960.53,United India Insurance Company,Family Medicare Policy,10168.51,True,"Critical illness coverage, Maternity and newborn cover, Tax benefits under Section 80D, Pre and post-hospitalization expenses, Annual health check-ups, No claim bonus benefits, No room rent limit"
Medicover hospitals,"Medicover hospitals, street number 3, Vittal Rao Nagar, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,7327531658,India,17.4466301,78.3801369,General Medicine,"Dedicated cardiac care unit with experienced cardiologists and specialized equipment., /7 emergency services with a team of highly trained medical professionals., Fast-track services for common ailments, reducing wait times., Comprehensive wellness programs promoting preventive healthcare.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,18960.53,ManipalCigna Health Insurance,ProHealth Insurance,13689.67,True,"Coverage for alternative treatments (AYUSH), Personal accident insurance, Automatic restoration of sum insured, Lifelong renewability, Health and wellness rewards program"
Medicover hospitals,"Medicover hospitals, street number 3, Vittal Rao Nagar, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,7327531658,India,17.4466301,78.3801369,General Medicine,"Dedicated cardiac care unit with experienced cardiologists and specialized equipment., /7 emergency services with a team of highly trained medical professionals., Fast-track services for common ailments, reducing wait times., Comprehensive wellness programs promoting preventive healthcare.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,18960.53,Magma HDI General Insurance,Super Top-up Insurance,11236.99,True,"Daycare treatment coverage, Coverage for chronic disease management, International emergency coverage, No room rent limit, Health and wellness rewards program, Personal accident insurance"
Medicover hospitals,"Medicover hospitals, street number 3, Vittal Rao Nagar, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,7327531658,India,17.4466301,78.3801369,General Medicine,"Dedicated cardiac care unit with experienced cardiologists and specialized equipment., /7 emergency services with a team of highly trained medical professionals., Fast-track services for common ailments, reducing wait times., Comprehensive wellness programs promoting preventive healthcare.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,18960.53,Shriram General Insurance,Mediclaim Policy,15207.72,True,"Lifelong renewability, Daycare treatment coverage, Health and wellness rewards program, Second medical opinion service, Coverage for chronic disease management, Pre and post-hospitalization expenses"
Medicover hospitals,"Medicover hospitals, street number 3, Vittal Rao Nagar, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,7327531658,India,17.4466301,78.3801369,General Medicine,"Dedicated cardiac care unit with experienced cardiologists and specialized equipment., /7 emergency services with a team of highly trained medical professionals., Fast-track services for common ailments, reducing wait times., Comprehensive wellness programs promoting preventive healthcare.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,18960.53,SBI General Insurance,Critical Illness Insurance Policy,10903.54,True,"Daycare treatment coverage, No room rent limit, Critical illness coverage, Health and wellness rewards program, Organ donor expenses covered"
Medicover hospitals,"Medicover hospitals, street number 3, Vittal Rao Nagar, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,7327531658,India,17.4466301,78.3801369,General Medicine,"Dedicated cardiac care unit with experienced cardiologists and specialized equipment., /7 emergency services with a team of highly trained medical professionals., Fast-track services for common ailments, reducing wait times., Comprehensive wellness programs promoting preventive healthcare.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,18960.53,IFFCO Tokio General Insurance,Family Health Protector,9396.09,True,"Coverage for alternative treatments (AYUSH), International emergency coverage, Critical illness coverage, Tax benefits under Section 80D, No claim bonus benefits, Personal accident insurance"
Medicover hospitals,"Medicover hospitals, street number 3, Vittal Rao Nagar, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,7327531658,India,17.4466301,78.3801369,General Medicine,"Dedicated cardiac care unit with experienced cardiologists and specialized equipment., /7 emergency services with a team of highly trained medical professionals., Fast-track services for common ailments, reducing wait times., Comprehensive wellness programs promoting preventive healthcare.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,18960.53,Aditya Birla Health Insurance,Activ Health Platinum Essential,13969.69,True,"Lifelong renewability, Coverage for alternative treatments (AYUSH), Ambulance cover, Daycare treatment coverage, Tax benefits under Section 80D, Maternity and newborn cover, Personal accident insurance"
Medicover hospitals,"Medicover hospitals, street number 3, Vittal Rao Nagar, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,7327531658,India,17.4466301,78.3801369,General Medicine,"Dedicated cardiac care unit with experienced cardiologists and specialized equipment., /7 emergency services with a team of highly trained medical professionals., Fast-track services for common ailments, reducing wait times., Comprehensive wellness programs promoting preventive healthcare.",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,5856.35,,,,,
