Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
അമല ഇന്സ്റ്റിറ്റ്യൂട്ട് ഓഫ് മെഡിക്കൽ സയൻസസ്,"അമല ഇന്സ്റ്റിറ്റ്യൂട്ട് ഓഫ് മെഡിക്കൽ സയൻസസ്, Thrissur-Kuttipuram road, Lilly Gardens, Puzhakkal, Amala Nagar, Thrissur, Kerala",Amala Nagar,Kerala,680555,8991032790,India,10.5615610,76.1668741,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite including MRI and PET Scan, Dedicated Oncology Department with access to latest treatment modalities, Fast-Track Services for common ailments and minor injuries",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,23547.92,,,,,
അമല ഇന്സ്റ്റിറ്റ്യൂട്ട് ഓഫ് മെഡിക്കൽ സയൻസസ്,"അമല ഇന്സ്റ്റിറ്റ്യൂട്ട് ഓഫ് മെഡിക്കൽ സയൻസസ്, Thrissur-Kuttipuram road, Lilly Gardens, Puzhakkal, Amala Nagar, Thrissur, Kerala",Amala Nagar,Kerala,680555,8991032790,India,10.5615610,76.1668741,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite including MRI and PET Scan, Dedicated Oncology Department with access to latest treatment modalities, Fast-Track Services for common ailments and minor injuries",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,23547.92,Magma HDI General Insurance,OneHealth Insurance Policy,23016.09,False,"Tax benefits under Section 80D, International emergency coverage, Ambulance cover, No claim bonus benefits, Daycare treatment coverage, Second medical opinion service"
അമല ഇന്സ്റ്റിറ്റ്യൂട്ട് ഓഫ് മെഡിക്കൽ സയൻസസ്,"അമല ഇന്സ്റ്റിറ്റ്യൂട്ട് ഓഫ് മെഡിക്കൽ സയൻസസ്, Thrissur-Kuttipuram road, Lilly Gardens, Puzhakkal, Amala Nagar, Thrissur, Kerala",Amala Nagar,Kerala,680555,8991032790,India,10.5615610,76.1668741,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite including MRI and PET Scan, Dedicated Oncology Department with access to latest treatment modalities, Fast-Track Services for common ailments and minor injuries",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,4476.79,,,,,
അമല ഇന്സ്റ്റിറ്റ്യൂട്ട് ഓഫ് മെഡിക്കൽ സയൻസസ്,"അമല ഇന്സ്റ്റിറ്റ്യൂട്ട് ഓഫ് മെഡിക്കൽ സയൻസസ്, Thrissur-Kuttipuram road, Lilly Gardens, Puzhakkal, Amala Nagar, Thrissur, Kerala",Amala Nagar,Kerala,680555,8991032790,India,10.5615610,76.1668741,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite including MRI and PET Scan, Dedicated Oncology Department with access to latest treatment modalities, Fast-Track Services for common ailments and minor injuries",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,24527.34,,,,,
അമല ഇന്സ്റ്റിറ്റ്യൂട്ട് ഓഫ് മെഡിക്കൽ സയൻസസ്,"അമല ഇന്സ്റ്റിറ്റ്യൂട്ട് ഓഫ് മെഡിക്കൽ സയൻസസ്, Thrissur-Kuttipuram road, Lilly Gardens, Puzhakkal, Amala Nagar, Thrissur, Kerala",Amala Nagar,Kerala,680555,8991032790,India,10.5615610,76.1668741,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite including MRI and PET Scan, Dedicated Oncology Department with access to latest treatment modalities, Fast-Track Services for common ailments and minor injuries",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,24527.34,Aditya Birla Health Insurance,Activ Health Platinum Enhanced,14195.53,True,"Health and wellness rewards program, Personal accident insurance, Pre and post-hospitalization expenses, No room rent limit, Daycare treatment coverage, Automatic restoration of sum insured"
അമല ഇന്സ്റ്റിറ്റ്യൂട്ട് ഓഫ് മെഡിക്കൽ സയൻസസ്,"അമല ഇന്സ്റ്റിറ്റ്യൂട്ട് ഓഫ് മെഡിക്കൽ സയൻസസ്, Thrissur-Kuttipuram road, Lilly Gardens, Puzhakkal, Amala Nagar, Thrissur, Kerala",Amala Nagar,Kerala,680555,8991032790,India,10.5615610,76.1668741,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite including MRI and PET Scan, Dedicated Oncology Department with access to latest treatment modalities, Fast-Track Services for common ailments and minor injuries",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,24527.34,ManipalCigna Health Insurance,ProHealth Insurance,14084.27,True,"Coverage for alternative treatments (AYUSH), Personal accident insurance, Automatic restoration of sum insured, Lifelong renewability, Health and wellness rewards program"
അമല ഇന്സ്റ്റിറ്റ്യൂട്ട് ഓഫ് മെഡിക്കൽ സയൻസസ്,"അമല ഇന്സ്റ്റിറ്റ്യൂട്ട് ഓഫ് മെഡിക്കൽ സയൻസസ്, Thrissur-Kuttipuram road, Lilly Gardens, Puzhakkal, Amala Nagar, Thrissur, Kerala",Amala Nagar,Kerala,680555,8991032790,India,10.5615610,76.1668741,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite including MRI and PET Scan, Dedicated Oncology Department with access to latest treatment modalities, Fast-Track Services for common ailments and minor injuries",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,24527.34,HDFC ERGO General Insurance,Optima Restore Family Floater,18849.20,True,"Critical illness coverage, Health and wellness rewards program, Ambulance cover, Tax benefits under Section 80D, Coverage for alternative treatments (AYUSH), No claim bonus benefits, International emergency coverage"
അമല ഇന്സ്റ്റിറ്റ്യൂട്ട് ഓഫ് മെഡിക്കൽ സയൻസസ്,"അമല ഇന്സ്റ്റിറ്റ്യൂട്ട് ഓഫ് മെഡിക്കൽ സയൻസസ്, Thrissur-Kuttipuram road, Lilly Gardens, Puzhakkal, Amala Nagar, Thrissur, Kerala",Amala Nagar,Kerala,680555,8991032790,India,10.5615610,76.1668741,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite including MRI and PET Scan, Dedicated Oncology Department with access to latest treatment modalities, Fast-Track Services for common ailments and minor injuries",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,24527.34,Raheja QBE General Insurance,Health QuBE Super Top-up Health Insurance,17623.15,True,"Health and wellness rewards program, No room rent limit, Daycare treatment coverage, Personal accident insurance, Ambulance cover, Unlimited teleconsultations, Organ donor expenses covered"
അമല ഇന്സ്റ്റിറ്റ്യൂട്ട് ഓഫ് മെഡിക്കൽ സയൻസസ്,"അമല ഇന്സ്റ്റിറ്റ്യൂട്ട് ഓഫ് മെഡിക്കൽ സയൻസസ്, Thrissur-Kuttipuram road, Lilly Gardens, Puzhakkal, Amala Nagar, Thrissur, Kerala",Amala Nagar,Kerala,680555,8991032790,India,10.5615610,76.1668741,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite including MRI and PET Scan, Dedicated Oncology Department with access to latest treatment modalities, Fast-Track Services for common ailments and minor injuries",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,24527.34,Digit Insurance,Digit Health Insurance,17239.59,True,"No room rent limit, Pre and post-hospitalization expenses, Tax benefits under Section 80D, Second medical opinion service, Coverage for chronic disease management"
അമല ഇന്സ്റ്റിറ്റ്യൂട്ട് ഓഫ് മെഡിക്കൽ സയൻസസ്,"അമല ഇന്സ്റ്റിറ്റ്യൂട്ട് ഓഫ് മെഡിക്കൽ സയൻസസ്, Thrissur-Kuttipuram road, Lilly Gardens, Puzhakkal, Amala Nagar, Thrissur, Kerala",Amala Nagar,Kerala,680555,8991032790,India,10.5615610,76.1668741,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite including MRI and PET Scan, Dedicated Oncology Department with access to latest treatment modalities, Fast-Track Services for common ailments and minor injuries",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,5311.44,,,,,
