Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Crescent Hospital,"Crescent Hospital, Calicut-Malappuram-Palakkad Road, Mannarkkad, Mannarkad, Palakkad, Kerala",Mannarkkad,Kerala,678582,8203841069,India,10.9938284,76.4677415,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Same-Day Appointment Availability for Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,15904.77,,,,,
Crescent Hospital,"Crescent Hospital, Calicut-Malappuram-Palakkad Road, Mannarkkad, Mannarkad, Palakkad, Kerala",Mannarkkad,Kerala,678582,8203841069,India,10.9938284,76.4677415,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Same-Day Appointment Availability for Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,15904.77,ManipalCigna Health Insurance,Prime Senior,7940.01,True,"No room rent limit, Second medical opinion service, Daycare treatment coverage, Pre and post-hospitalization expenses, Critical illness coverage, Tax benefits under Section 80D"
Crescent Hospital,"Crescent Hospital, Calicut-Malappuram-Palakkad Road, Mannarkkad, Mannarkad, Palakkad, Kerala",Mannarkkad,Kerala,678582,8203841069,India,10.9938284,76.4677415,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Same-Day Appointment Availability for Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,15904.77,Future Generali India Insurance,Health Suraksha,18610.72,False,"Annual health check-ups, Health and wellness rewards program, Lifelong renewability, No claim bonus benefits, Coverage for chronic disease management, Critical illness coverage"
Crescent Hospital,"Crescent Hospital, Calicut-Malappuram-Palakkad Road, Mannarkkad, Mannarkad, Palakkad, Kerala",Mannarkkad,Kerala,678582,8203841069,India,10.9938284,76.4677415,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Same-Day Appointment Availability for Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,15904.77,PNB MetLife Insurance,Family Floater Health Plan,7557.38,True,"Unlimited teleconsultations, Tax benefits under Section 80D, Second medical opinion service, International emergency coverage, Lifelong renewability"
Crescent Hospital,"Crescent Hospital, Calicut-Malappuram-Palakkad Road, Mannarkkad, Mannarkad, Palakkad, Kerala",Mannarkkad,Kerala,678582,8203841069,India,10.9938284,76.4677415,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Same-Day Appointment Availability for Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,15904.77,Zuno General Insurance (Edelweiss),Family Floater Plan,8236.79,True,"Organ donor expenses covered, Second medical opinion service, Maternity and newborn cover, Cashless hospitalization across network hospitals, Annual health check-ups"
Crescent Hospital,"Crescent Hospital, Calicut-Malappuram-Palakkad Road, Mannarkkad, Mannarkad, Palakkad, Kerala",Mannarkkad,Kerala,678582,8203841069,India,10.9938284,76.4677415,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Same-Day Appointment Availability for Urgent Care",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,1617.62,,,,,
Crescent Hospital,"Crescent Hospital, Calicut-Malappuram-Palakkad Road, Mannarkkad, Mannarkad, Palakkad, Kerala",Mannarkkad,Kerala,678582,8203841069,India,10.9938284,76.4677415,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Same-Day Appointment Availability for Urgent Care",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,1617.62,Cholamandalam MS General Insurance,Chola Healthline,1151.08,True,"Cashless hospitalization across network hospitals, Daycare treatment coverage, International emergency coverage, Unlimited teleconsultations, Personal accident insurance, Organ donor expenses covered"
Crescent Hospital,"Crescent Hospital, Calicut-Malappuram-Palakkad Road, Mannarkkad, Mannarkad, Palakkad, Kerala",Mannarkkad,Kerala,678582,8203841069,India,10.9938284,76.4677415,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Same-Day Appointment Availability for Urgent Care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,10651.99,,,,,
Crescent Hospital,"Crescent Hospital, Calicut-Malappuram-Palakkad Road, Mannarkkad, Mannarkad, Palakkad, Kerala",Mannarkkad,Kerala,678582,8203841069,India,10.9938284,76.4677415,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Same-Day Appointment Availability for Urgent Care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,10651.99,Cholamandalam MS General Insurance,Chola MS Family Health Insurance,8539.27,True,"Automatic restoration of sum insured, No room rent limit, Cashless hospitalization across network hospitals, Unlimited teleconsultations, Coverage for alternative treatments (AYUSH), Personal accident insurance"
Crescent Hospital,"Crescent Hospital, Calicut-Malappuram-Palakkad Road, Mannarkkad, Mannarkad, Palakkad, Kerala",Mannarkkad,Kerala,678582,8203841069,India,10.9938284,76.4677415,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Same-Day Appointment Availability for Urgent Care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,10651.99,Reliance General Insurance,Corona Kavach Policy,5902.13,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Crescent Hospital,"Crescent Hospital, Calicut-Malappuram-Palakkad Road, Mannarkkad, Mannarkad, Palakkad, Kerala",Mannarkkad,Kerala,678582,8203841069,India,10.9938284,76.4677415,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Same-Day Appointment Availability for Urgent Care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,10651.99,SBI General Insurance,Critical Illness Insurance Policy,7982.57,True,"Daycare treatment coverage, No room rent limit, Critical illness coverage, Health and wellness rewards program, Organ donor expenses covered"
Crescent Hospital,"Crescent Hospital, Calicut-Malappuram-Palakkad Road, Mannarkkad, Mannarkad, Palakkad, Kerala",Mannarkkad,Kerala,678582,8203841069,India,10.9938284,76.4677415,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Same-Day Appointment Availability for Urgent Care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,10651.99,Aditya Birla Health Insurance,Activ Assure Diamond,8997.44,True,"Daycare treatment coverage, Maternity and newborn cover, Automatic restoration of sum insured, International emergency coverage, Tax benefits under Section 80D, Lifelong renewability"
Crescent Hospital,"Crescent Hospital, Calicut-Malappuram-Palakkad Road, Mannarkkad, Mannarkad, Palakkad, Kerala",Mannarkkad,Kerala,678582,8203841069,India,10.9938284,76.4677415,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Same-Day Appointment Availability for Urgent Care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,10651.99,Bharti AXA General Insurance,Smart Critical Illness Insurance Policy,11032.17,False,"International emergency coverage, Personal accident insurance, Second medical opinion service, Automatic restoration of sum insured, Pre and post-hospitalization expenses"
