Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Babu Kuttan Skin Hospital,"Babu Kuttan Skin Hospital, Sasthamangalam Peroorkada Road, Temple Road Residents Welfare Association, Sasthamangalam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,695001,8719606955,India,8.5143303,76.9728688,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17704.90,,,,,
Babu Kuttan Skin Hospital,"Babu Kuttan Skin Hospital, Sasthamangalam Peroorkada Road, Temple Road Residents Welfare Association, Sasthamangalam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,695001,8719606955,India,8.5143303,76.9728688,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17704.90,Bharti AXA General Insurance,Smart Super Health Insurance Policy,13187.41,True,"Annual health check-ups, Personal accident insurance, Automatic restoration of sum insured, International emergency coverage, No room rent limit, Tax benefits under Section 80D, Ambulance cover"
Babu Kuttan Skin Hospital,"Babu Kuttan Skin Hospital, Sasthamangalam Peroorkada Road, Temple Road Residents Welfare Association, Sasthamangalam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,695001,8719606955,India,8.5143303,76.9728688,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17704.90,IFFCO Tokio General Insurance,Critical Illness Benefit Policy,12714.11,True,"International emergency coverage, Cashless hospitalization across network hospitals, Annual health check-ups, No room rent limit, Unlimited teleconsultations"
Babu Kuttan Skin Hospital,"Babu Kuttan Skin Hospital, Sasthamangalam Peroorkada Road, Temple Road Residents Welfare Association, Sasthamangalam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,695001,8719606955,India,8.5143303,76.9728688,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17704.90,Tata AIG General Insurance,Critical Illness Policy,8856.32,True,"Pre and post-hospitalization expenses, Tax benefits under Section 80D, Critical illness coverage, Personal accident insurance, Unlimited teleconsultations, Second medical opinion service"
Babu Kuttan Skin Hospital,"Babu Kuttan Skin Hospital, Sasthamangalam Peroorkada Road, Temple Road Residents Welfare Association, Sasthamangalam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,695001,8719606955,India,8.5143303,76.9728688,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17704.90,Digit Insurance,Arogya Sanjeevani Policy,12842.41,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Babu Kuttan Skin Hospital,"Babu Kuttan Skin Hospital, Sasthamangalam Peroorkada Road, Temple Road Residents Welfare Association, Sasthamangalam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,695001,8719606955,India,8.5143303,76.9728688,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17704.90,Magma HDI General Insurance,Arogya Sanjeevani Policy,11643.08,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Babu Kuttan Skin Hospital,"Babu Kuttan Skin Hospital, Sasthamangalam Peroorkada Road, Temple Road Residents Welfare Association, Sasthamangalam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,695001,8719606955,India,8.5143303,76.9728688,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17704.90,Kotak Mahindra Health Insurance,Critical Illness Cover,13058.77,True,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
Babu Kuttan Skin Hospital,"Babu Kuttan Skin Hospital, Sasthamangalam Peroorkada Road, Temple Road Residents Welfare Association, Sasthamangalam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,695001,8719606955,India,8.5143303,76.9728688,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,8146.77,,,,,
Babu Kuttan Skin Hospital,"Babu Kuttan Skin Hospital, Sasthamangalam Peroorkada Road, Temple Road Residents Welfare Association, Sasthamangalam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,695001,8719606955,India,8.5143303,76.9728688,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,8146.77,Acko General Insurance,ACKO Platinum Super Top-up Health Insurance Policy,5530.80,True,"Maternity and newborn cover, Organ donor expenses covered, Health and wellness rewards program, Cashless hospitalization across network hospitals, No room rent limit"
Babu Kuttan Skin Hospital,"Babu Kuttan Skin Hospital, Sasthamangalam Peroorkada Road, Temple Road Residents Welfare Association, Sasthamangalam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,695001,8719606955,India,8.5143303,76.9728688,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,8146.77,Star Health and Allied Insurance,Family Health Optima,3917.88,True,"Tax benefits under Section 80D, Pre and post-hospitalization expenses, Critical illness coverage, Annual health check-ups, Second medical opinion service, No claim bonus benefits"
Babu Kuttan Skin Hospital,"Babu Kuttan Skin Hospital, Sasthamangalam Peroorkada Road, Temple Road Residents Welfare Association, Sasthamangalam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,695001,8719606955,India,8.5143303,76.9728688,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,8146.77,Zuno General Insurance (Edelweiss),Arogya Sanjeevani Policy,5555.71,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Babu Kuttan Skin Hospital,"Babu Kuttan Skin Hospital, Sasthamangalam Peroorkada Road, Temple Road Residents Welfare Association, Sasthamangalam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,695001,8719606955,India,8.5143303,76.9728688,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,8146.77,Exide Life Insurance,Arogya Sanjeevani Policy,5750.33,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Babu Kuttan Skin Hospital,"Babu Kuttan Skin Hospital, Sasthamangalam Peroorkada Road, Temple Road Residents Welfare Association, Sasthamangalam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,695001,8719606955,India,8.5143303,76.9728688,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,8146.77,HDFC ERGO General Insurance,Critical Illness Insurance,5572.96,True,"Annual health check-ups, Health and wellness rewards program, Automatic restoration of sum insured, Organ donor expenses covered, International emergency coverage, Cashless hospitalization across network hospitals"
Babu Kuttan Skin Hospital,"Babu Kuttan Skin Hospital, Sasthamangalam Peroorkada Road, Temple Road Residents Welfare Association, Sasthamangalam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,695001,8719606955,India,8.5143303,76.9728688,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,8146.77,Reliance General Insurance,Health Infinity,4141.96,True,"No claim bonus benefits, Second medical opinion service, Automatic restoration of sum insured, Unlimited teleconsultations, Annual health check-ups"
Babu Kuttan Skin Hospital,"Babu Kuttan Skin Hospital, Sasthamangalam Peroorkada Road, Temple Road Residents Welfare Association, Sasthamangalam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,695001,8719606955,India,8.5143303,76.9728688,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,8146.77,The New India Assurance,Mediclaim Policy,5783.16,True,"Lifelong renewability, Daycare treatment coverage, Health and wellness rewards program, Second medical opinion service, Coverage for chronic disease management, Pre and post-hospitalization expenses"
Babu Kuttan Skin Hospital,"Babu Kuttan Skin Hospital, Sasthamangalam Peroorkada Road, Temple Road Residents Welfare Association, Sasthamangalam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,695001,8719606955,India,8.5143303,76.9728688,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,12758.90,,,,,
Babu Kuttan Skin Hospital,"Babu Kuttan Skin Hospital, Sasthamangalam Peroorkada Road, Temple Road Residents Welfare Association, Sasthamangalam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,695001,8719606955,India,8.5143303,76.9728688,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,12758.90,Reliance General Insurance,HealthGain,7116.17,True,"Unlimited teleconsultations, Organ donor expenses covered, Cashless hospitalization across network hospitals, Annual health check-ups, Critical illness coverage, Maternity and newborn cover"
Babu Kuttan Skin Hospital,"Babu Kuttan Skin Hospital, Sasthamangalam Peroorkada Road, Temple Road Residents Welfare Association, Sasthamangalam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,695001,8719606955,India,8.5143303,76.9728688,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,7020.51,,,,,
Babu Kuttan Skin Hospital,"Babu Kuttan Skin Hospital, Sasthamangalam Peroorkada Road, Temple Road Residents Welfare Association, Sasthamangalam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,695001,8719606955,India,8.5143303,76.9728688,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,7020.51,Magma HDI General Insurance,Super Top-up Insurance,4444.13,True,"Daycare treatment coverage, Coverage for chronic disease management, International emergency coverage, No room rent limit, Health and wellness rewards program, Personal accident insurance"
Babu Kuttan Skin Hospital,"Babu Kuttan Skin Hospital, Sasthamangalam Peroorkada Road, Temple Road Residents Welfare Association, Sasthamangalam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,695001,8719606955,India,8.5143303,76.9728688,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Executive Health Checkup,GENEXE542,"A comprehensive health assessment for executives, identifying potential risks and promoting proactive wellness.",OUTPATIENT,17232.75,,,,,
Babu Kuttan Skin Hospital,"Babu Kuttan Skin Hospital, Sasthamangalam Peroorkada Road, Temple Road Residents Welfare Association, Sasthamangalam, Thiruvananthapuram, Kerala",Thiruvananthapuram,Kerala,695001,8719606955,India,8.5143303,76.9728688,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Executive Health Checkup,GENEXE542,"A comprehensive health assessment for executives, identifying potential risks and promoting proactive wellness.",OUTPATIENT,17232.75,Bajaj Allianz General Insurance,Family Health Insurance,13395.83,True,"Coverage for alternative treatments (AYUSH), Organ donor expenses covered, Health and wellness rewards program, Cashless hospitalization across network hospitals, No room rent limit, Second medical opinion service, International emergency coverage"
