Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
VPS Lakeshore Medical Centre,"VPS Lakeshore Medical Centre, mootolikandy road, Vellayil, Kozhikode, Kerala",Kozhikode,Kerala,673032,9451917690,India,11.2582672,75.7755560,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,6958.73,,,,,
VPS Lakeshore Medical Centre,"VPS Lakeshore Medical Centre, mootolikandy road, Vellayil, Kozhikode, Kerala",Kozhikode,Kerala,673032,9451917690,India,11.2582672,75.7755560,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,6958.73,Reliance General Insurance,Health Infinity,5739.47,True,"No claim bonus benefits, Second medical opinion service, Automatic restoration of sum insured, Unlimited teleconsultations, Annual health check-ups"
VPS Lakeshore Medical Centre,"VPS Lakeshore Medical Centre, mootolikandy road, Vellayil, Kozhikode, Kerala",Kozhikode,Kerala,673032,9451917690,India,11.2582672,75.7755560,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,6958.73,Aviva Life Insurance,Arogya Sanjeevani Policy,6609.05,False,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
VPS Lakeshore Medical Centre,"VPS Lakeshore Medical Centre, mootolikandy road, Vellayil, Kozhikode, Kerala",Kozhikode,Kerala,673032,9451917690,India,11.2582672,75.7755560,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,6958.73,United India Insurance Company,Super Top-up Medicare Policy,5051.93,True,"Second medical opinion service, Critical illness coverage, Daycare treatment coverage, Coverage for alternative treatments (AYUSH), Unlimited teleconsultations"
VPS Lakeshore Medical Centre,"VPS Lakeshore Medical Centre, mootolikandy road, Vellayil, Kozhikode, Kerala",Kozhikode,Kerala,673032,9451917690,India,11.2582672,75.7755560,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,6958.73,ICICI Lombard General Insurance,Complete Health Insurance,9180.32,False,"Maternity and newborn cover, Pre and post-hospitalization expenses, Health and wellness rewards program, Lifelong renewability, No room rent limit, Critical illness coverage, No claim bonus benefits"
VPS Lakeshore Medical Centre,"VPS Lakeshore Medical Centre, mootolikandy road, Vellayil, Kozhikode, Kerala",Kozhikode,Kerala,673032,9451917690,India,11.2582672,75.7755560,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,6958.73,Universal Sompo General Insurance,Super Healthcare Insurance,4009.60,True,"Critical illness coverage, Health and wellness rewards program, Organ donor expenses covered, Second medical opinion service, Coverage for chronic disease management, Unlimited teleconsultations"
VPS Lakeshore Medical Centre,"VPS Lakeshore Medical Centre, mootolikandy road, Vellayil, Kozhikode, Kerala",Kozhikode,Kerala,673032,9451917690,India,11.2582672,75.7755560,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,6958.73,Tata AIA Life Insurance,Tata AIA Medicare Policy,4112.14,True,"Coverage for alternative treatments (AYUSH), Health and wellness rewards program, No claim bonus benefits, Automatic restoration of sum insured, Critical illness coverage"
VPS Lakeshore Medical Centre,"VPS Lakeshore Medical Centre, mootolikandy road, Vellayil, Kozhikode, Kerala",Kozhikode,Kerala,673032,9451917690,India,11.2582672,75.7755560,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,6958.73,HDFC ERGO General Insurance,Critical Illness Insurance,3616.81,True,"Annual health check-ups, Health and wellness rewards program, Automatic restoration of sum insured, Organ donor expenses covered, International emergency coverage, Cashless hospitalization across network hospitals"
VPS Lakeshore Medical Centre,"VPS Lakeshore Medical Centre, mootolikandy road, Vellayil, Kozhikode, Kerala",Kozhikode,Kerala,673032,9451917690,India,11.2582672,75.7755560,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,6958.73,Shriram General Insurance,Critical Illness Cover,6530.02,False,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
VPS Lakeshore Medical Centre,"VPS Lakeshore Medical Centre, mootolikandy road, Vellayil, Kozhikode, Kerala",Kozhikode,Kerala,673032,9451917690,India,11.2582672,75.7755560,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Free Wi-Fi throughout the facility",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,5369.78,,,,,
