Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Lourdes Hospital,"Lourdes Hospital, Lourdes Hospital Road, Ram Prakash Vihar, Vaduthala, ernakulam, Pachalam, Ernakulam, Kanayannur, Ernakulam, Kerala",Ernakulam,Kerala,682012,9391859294,India,10.0066459,76.2773918,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,12019.57,,,,,
Lourdes Hospital,"Lourdes Hospital, Lourdes Hospital Road, Ram Prakash Vihar, Vaduthala, ernakulam, Pachalam, Ernakulam, Kanayannur, Ernakulam, Kerala",Ernakulam,Kerala,682012,9391859294,India,10.0066459,76.2773918,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,12019.57,Universal Sompo General Insurance,Critical Illness Insurance Policy,9600.57,True,"Daycare treatment coverage, No room rent limit, Critical illness coverage, Health and wellness rewards program, Organ donor expenses covered"
Lourdes Hospital,"Lourdes Hospital, Lourdes Hospital Road, Ram Prakash Vihar, Vaduthala, ernakulam, Pachalam, Ernakulam, Kanayannur, Ernakulam, Kerala",Ernakulam,Kerala,682012,9391859294,India,10.0066459,76.2773918,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Free Wi-Fi throughout the facility",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,11685.20,,,,,
Lourdes Hospital,"Lourdes Hospital, Lourdes Hospital Road, Ram Prakash Vihar, Vaduthala, ernakulam, Pachalam, Ernakulam, Kanayannur, Ernakulam, Kerala",Ernakulam,Kerala,682012,9391859294,India,10.0066459,76.2773918,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Free Wi-Fi throughout the facility",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,10144.32,,,,,
Lourdes Hospital,"Lourdes Hospital, Lourdes Hospital Road, Ram Prakash Vihar, Vaduthala, ernakulam, Pachalam, Ernakulam, Kanayannur, Ernakulam, Kerala",Ernakulam,Kerala,682012,9391859294,India,10.0066459,76.2773918,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Free Wi-Fi throughout the facility",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,10144.32,Reliance General Insurance,Health Infinity,6685.76,True,"No claim bonus benefits, Second medical opinion service, Automatic restoration of sum insured, Unlimited teleconsultations, Annual health check-ups"
Lourdes Hospital,"Lourdes Hospital, Lourdes Hospital Road, Ram Prakash Vihar, Vaduthala, ernakulam, Pachalam, Ernakulam, Kanayannur, Ernakulam, Kerala",Ernakulam,Kerala,682012,9391859294,India,10.0066459,76.2773918,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Free Wi-Fi throughout the facility",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,8938.99,,,,,
Lourdes Hospital,"Lourdes Hospital, Lourdes Hospital Road, Ram Prakash Vihar, Vaduthala, ernakulam, Pachalam, Ernakulam, Kanayannur, Ernakulam, Kerala",Ernakulam,Kerala,682012,9391859294,India,10.0066459,76.2773918,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Free Wi-Fi throughout the facility",General Medicine,CT Scan,GENCT709,A non-invasive imaging technique using X-rays to create detailed cross-sectional images of the body's internal structures.,BOTH,14699.26,,,,,
Lourdes Hospital,"Lourdes Hospital, Lourdes Hospital Road, Ram Prakash Vihar, Vaduthala, ernakulam, Pachalam, Ernakulam, Kanayannur, Ernakulam, Kerala",Ernakulam,Kerala,682012,9391859294,India,10.0066459,76.2773918,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Free Wi-Fi throughout the facility",General Medicine,CT Scan,GENCT709,A non-invasive imaging technique using X-rays to create detailed cross-sectional images of the body's internal structures.,BOTH,14699.26,Tata AIA Life Insurance,Arogya Sanjeevani Policy,12030.46,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Lourdes Hospital,"Lourdes Hospital, Lourdes Hospital Road, Ram Prakash Vihar, Vaduthala, ernakulam, Pachalam, Ernakulam, Kanayannur, Ernakulam, Kerala",Ernakulam,Kerala,682012,9391859294,India,10.0066459,76.2773918,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Free Wi-Fi throughout the facility",General Medicine,CT Scan,GENCT709,A non-invasive imaging technique using X-rays to create detailed cross-sectional images of the body's internal structures.,BOTH,14699.26,Raheja QBE General Insurance,Personal Accident Insurance Policy,11530.00,True,"Coverage for alternative treatments (AYUSH), Tax benefits under Section 80D, Automatic restoration of sum insured, Unlimited teleconsultations, International emergency coverage, Annual health check-ups, Critical illness coverage"
Lourdes Hospital,"Lourdes Hospital, Lourdes Hospital Road, Ram Prakash Vihar, Vaduthala, ernakulam, Pachalam, Ernakulam, Kanayannur, Ernakulam, Kerala",Ernakulam,Kerala,682012,9391859294,India,10.0066459,76.2773918,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Free Wi-Fi throughout the facility",General Medicine,CT Scan,GENCT709,A non-invasive imaging technique using X-rays to create detailed cross-sectional images of the body's internal structures.,BOTH,14699.26,Acko General Insurance,Arogya Sanjeevani by ACKO,18979.65,False,"International emergency coverage, Cashless hospitalization across network hospitals, Coverage for chronic disease management, Annual health check-ups, Maternity and newborn cover, Tax benefits under Section 80D, Coverage for alternative treatments (AYUSH)"
