Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
SUT Medical College Hospital,"SUT Medical College Hospital, Nedumangad Vattappara Road, Netta, Nedumangad, Thiruvananthapuram, Kerala",Nedumangad,Kerala,695028,8692028482,India,8.6008458,76.9702479,General Medicine,"Dedicated cardiac care center with 24/7 interventional cardiology, On-site pharmacy with expedited prescription fulfillment, Comprehensive cancer care program featuring advanced therapies, Telemedicine consultations for convenient remote access to specialists",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,19597.05,,,,,
SUT Medical College Hospital,"SUT Medical College Hospital, Nedumangad Vattappara Road, Netta, Nedumangad, Thiruvananthapuram, Kerala",Nedumangad,Kerala,695028,8692028482,India,8.6008458,76.9702479,General Medicine,"Dedicated cardiac care center with 24/7 interventional cardiology, On-site pharmacy with expedited prescription fulfillment, Comprehensive cancer care program featuring advanced therapies, Telemedicine consultations for convenient remote access to specialists",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,19597.05,IFFCO Tokio General Insurance,Family Health Protector,12551.46,True,"Coverage for alternative treatments (AYUSH), International emergency coverage, Critical illness coverage, Tax benefits under Section 80D, No claim bonus benefits, Personal accident insurance"
SUT Medical College Hospital,"SUT Medical College Hospital, Nedumangad Vattappara Road, Netta, Nedumangad, Thiruvananthapuram, Kerala",Nedumangad,Kerala,695028,8692028482,India,8.6008458,76.9702479,General Medicine,"Dedicated cardiac care center with 24/7 interventional cardiology, On-site pharmacy with expedited prescription fulfillment, Comprehensive cancer care program featuring advanced therapies, Telemedicine consultations for convenient remote access to specialists",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,19597.05,ICICI Lombard General Insurance,Personal Protect,11281.24,True,"Tax benefits under Section 80D, Critical illness coverage, Health and wellness rewards program, Daycare treatment coverage, Pre and post-hospitalization expenses, Cashless hospitalization across network hospitals, Coverage for alternative treatments (AYUSH)"
SUT Medical College Hospital,"SUT Medical College Hospital, Nedumangad Vattappara Road, Netta, Nedumangad, Thiruvananthapuram, Kerala",Nedumangad,Kerala,695028,8692028482,India,8.6008458,76.9702479,General Medicine,"Dedicated cardiac care center with 24/7 interventional cardiology, On-site pharmacy with expedited prescription fulfillment, Comprehensive cancer care program featuring advanced therapies, Telemedicine consultations for convenient remote access to specialists",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,19597.05,PNB MetLife Insurance,Health Shield Plan,22879.64,False,"Health and wellness rewards program, Critical illness coverage, Coverage for chronic disease management, Second medical opinion service, Tax benefits under Section 80D"
SUT Medical College Hospital,"SUT Medical College Hospital, Nedumangad Vattappara Road, Netta, Nedumangad, Thiruvananthapuram, Kerala",Nedumangad,Kerala,695028,8692028482,India,8.6008458,76.9702479,General Medicine,"Dedicated cardiac care center with 24/7 interventional cardiology, On-site pharmacy with expedited prescription fulfillment, Comprehensive cancer care program featuring advanced therapies, Telemedicine consultations for convenient remote access to specialists",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,19597.05,Digit Insurance,Digit Health Insurance,9018.86,True,"No room rent limit, Pre and post-hospitalization expenses, Tax benefits under Section 80D, Second medical opinion service, Coverage for chronic disease management"
SUT Medical College Hospital,"SUT Medical College Hospital, Nedumangad Vattappara Road, Netta, Nedumangad, Thiruvananthapuram, Kerala",Nedumangad,Kerala,695028,8692028482,India,8.6008458,76.9702479,General Medicine,"Dedicated cardiac care center with 24/7 interventional cardiology, On-site pharmacy with expedited prescription fulfillment, Comprehensive cancer care program featuring advanced therapies, Telemedicine consultations for convenient remote access to specialists",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,19597.05,Star Health and Allied Insurance,Family Health Optima,24233.09,False,"Tax benefits under Section 80D, Pre and post-hospitalization expenses, Critical illness coverage, Annual health check-ups, Second medical opinion service, No claim bonus benefits"
SUT Medical College Hospital,"SUT Medical College Hospital, Nedumangad Vattappara Road, Netta, Nedumangad, Thiruvananthapuram, Kerala",Nedumangad,Kerala,695028,8692028482,India,8.6008458,76.9702479,General Medicine,"Dedicated cardiac care center with 24/7 interventional cardiology, On-site pharmacy with expedited prescription fulfillment, Comprehensive cancer care program featuring advanced therapies, Telemedicine consultations for convenient remote access to specialists",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,1953.70,,,,,
SUT Medical College Hospital,"SUT Medical College Hospital, Nedumangad Vattappara Road, Netta, Nedumangad, Thiruvananthapuram, Kerala",Nedumangad,Kerala,695028,8692028482,India,8.6008458,76.9702479,General Medicine,"Dedicated cardiac care center with 24/7 interventional cardiology, On-site pharmacy with expedited prescription fulfillment, Comprehensive cancer care program featuring advanced therapies, Telemedicine consultations for convenient remote access to specialists",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,1953.70,Tata AIG General Insurance,Critical Illness Policy,910.10,True,"Pre and post-hospitalization expenses, Tax benefits under Section 80D, Critical illness coverage, Personal accident insurance, Unlimited teleconsultations, Second medical opinion service"
SUT Medical College Hospital,"SUT Medical College Hospital, Nedumangad Vattappara Road, Netta, Nedumangad, Thiruvananthapuram, Kerala",Nedumangad,Kerala,695028,8692028482,India,8.6008458,76.9702479,General Medicine,"Dedicated cardiac care center with 24/7 interventional cardiology, On-site pharmacy with expedited prescription fulfillment, Comprehensive cancer care program featuring advanced therapies, Telemedicine consultations for convenient remote access to specialists",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,1953.70,United India Insurance Company,Top-up Medicare Policy,1414.38,True,"No room rent limit, Coverage for chronic disease management, International emergency coverage, Cashless hospitalization across network hospitals, No claim bonus benefits, Lifelong renewability, Personal accident insurance"
SUT Medical College Hospital,"SUT Medical College Hospital, Nedumangad Vattappara Road, Netta, Nedumangad, Thiruvananthapuram, Kerala",Nedumangad,Kerala,695028,8692028482,India,8.6008458,76.9702479,General Medicine,"Dedicated cardiac care center with 24/7 interventional cardiology, On-site pharmacy with expedited prescription fulfillment, Comprehensive cancer care program featuring advanced therapies, Telemedicine consultations for convenient remote access to specialists",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,1953.70,ICICI Lombard General Insurance,Personal Protect,1340.29,True,"Tax benefits under Section 80D, Critical illness coverage, Health and wellness rewards program, Daycare treatment coverage, Pre and post-hospitalization expenses, Cashless hospitalization across network hospitals, Coverage for alternative treatments (AYUSH)"
SUT Medical College Hospital,"SUT Medical College Hospital, Nedumangad Vattappara Road, Netta, Nedumangad, Thiruvananthapuram, Kerala",Nedumangad,Kerala,695028,8692028482,India,8.6008458,76.9702479,General Medicine,"Dedicated cardiac care center with 24/7 interventional cardiology, On-site pharmacy with expedited prescription fulfillment, Comprehensive cancer care program featuring advanced therapies, Telemedicine consultations for convenient remote access to specialists",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,1953.70,PNB MetLife Insurance,Mera Mediclaim Plan,2369.35,False,"No room rent limit, Automatic restoration of sum insured, Ambulance cover, Maternity and newborn cover, No claim bonus benefits"
SUT Medical College Hospital,"SUT Medical College Hospital, Nedumangad Vattappara Road, Netta, Nedumangad, Thiruvananthapuram, Kerala",Nedumangad,Kerala,695028,8692028482,India,8.6008458,76.9702479,General Medicine,"Dedicated cardiac care center with 24/7 interventional cardiology, On-site pharmacy with expedited prescription fulfillment, Comprehensive cancer care program featuring advanced therapies, Telemedicine consultations for convenient remote access to specialists",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,3046.07,,,,,
SUT Medical College Hospital,"SUT Medical College Hospital, Nedumangad Vattappara Road, Netta, Nedumangad, Thiruvananthapuram, Kerala",Nedumangad,Kerala,695028,8692028482,India,8.6008458,76.9702479,General Medicine,"Dedicated cardiac care center with 24/7 interventional cardiology, On-site pharmacy with expedited prescription fulfillment, Comprehensive cancer care program featuring advanced therapies, Telemedicine consultations for convenient remote access to specialists",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,3046.07,Cholamandalam MS General Insurance,Chola MS Top-up Healthline,2241.77,True,"Cashless hospitalization across network hospitals, Lifelong renewability, Second medical opinion service, Ambulance cover, Coverage for chronic disease management, Personal accident insurance, Coverage for alternative treatments (AYUSH)"
SUT Medical College Hospital,"SUT Medical College Hospital, Nedumangad Vattappara Road, Netta, Nedumangad, Thiruvananthapuram, Kerala",Nedumangad,Kerala,695028,8692028482,India,8.6008458,76.9702479,General Medicine,"Dedicated cardiac care center with 24/7 interventional cardiology, On-site pharmacy with expedited prescription fulfillment, Comprehensive cancer care program featuring advanced therapies, Telemedicine consultations for convenient remote access to specialists",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,3046.07,Bharti AXA General Insurance,Arogya Sanjeevani Policy,1599.04,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
SUT Medical College Hospital,"SUT Medical College Hospital, Nedumangad Vattappara Road, Netta, Nedumangad, Thiruvananthapuram, Kerala",Nedumangad,Kerala,695028,8692028482,India,8.6008458,76.9702479,General Medicine,"Dedicated cardiac care center with 24/7 interventional cardiology, On-site pharmacy with expedited prescription fulfillment, Comprehensive cancer care program featuring advanced therapies, Telemedicine consultations for convenient remote access to specialists",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,14133.98,,,,,
