Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Varma Hospital,"Varma Hospital, Ettumanoor - Ernakulam Road, Petta, Thrippunithura, Kanayannur, Ernakulam, Kerala",Thrippunithura,Kerala,682301,9218665473,India,9.9538555,76.3423588,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care Clinic",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3305.05,,,,,
Varma Hospital,"Varma Hospital, Ettumanoor - Ernakulam Road, Petta, Thrippunithura, Kanayannur, Ernakulam, Kerala",Thrippunithura,Kerala,682301,9218665473,India,9.9538555,76.3423588,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care Clinic",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3305.05,Cholamandalam MS General Insurance,Chola Healthline,1940.24,True,"Cashless hospitalization across network hospitals, Daycare treatment coverage, International emergency coverage, Unlimited teleconsultations, Personal accident insurance, Organ donor expenses covered"
Varma Hospital,"Varma Hospital, Ettumanoor - Ernakulam Road, Petta, Thrippunithura, Kanayannur, Ernakulam, Kerala",Thrippunithura,Kerala,682301,9218665473,India,9.9538555,76.3423588,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care Clinic",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3305.05,Future Generali India Insurance,Health Elite,2361.08,True,"Annual health check-ups, No claim bonus benefits, Maternity and newborn cover, International emergency coverage, Cashless hospitalization across network hospitals, Second medical opinion service, Personal accident insurance"
Varma Hospital,"Varma Hospital, Ettumanoor - Ernakulam Road, Petta, Thrippunithura, Kanayannur, Ernakulam, Kerala",Thrippunithura,Kerala,682301,9218665473,India,9.9538555,76.3423588,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care Clinic",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,20915.78,,,,,
Varma Hospital,"Varma Hospital, Ettumanoor - Ernakulam Road, Petta, Thrippunithura, Kanayannur, Ernakulam, Kerala",Thrippunithura,Kerala,682301,9218665473,India,9.9538555,76.3423588,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care Clinic",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,20915.78,Magma HDI General Insurance,Critical Illness Insurance,26534.44,False,"Annual health check-ups, Health and wellness rewards program, Automatic restoration of sum insured, Organ donor expenses covered, International emergency coverage, Cashless hospitalization across network hospitals"
Varma Hospital,"Varma Hospital, Ettumanoor - Ernakulam Road, Petta, Thrippunithura, Kanayannur, Ernakulam, Kerala",Thrippunithura,Kerala,682301,9218665473,India,9.9538555,76.3423588,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care Clinic",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,1051.01,,,,,
Varma Hospital,"Varma Hospital, Ettumanoor - Ernakulam Road, Petta, Thrippunithura, Kanayannur, Ernakulam, Kerala",Thrippunithura,Kerala,682301,9218665473,India,9.9538555,76.3423588,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care Clinic",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,1051.01,Acko General Insurance,ACKO Platinum Health Insurance Policy,694.32,True,"Second medical opinion service, Unlimited teleconsultations, Critical illness coverage, Lifelong renewability, No room rent limit"
Varma Hospital,"Varma Hospital, Ettumanoor - Ernakulam Road, Petta, Thrippunithura, Kanayannur, Ernakulam, Kerala",Thrippunithura,Kerala,682301,9218665473,India,9.9538555,76.3423588,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care Clinic",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,1051.01,Star Health and Allied Insurance,Family Health Optima,747.06,True,"Tax benefits under Section 80D, Pre and post-hospitalization expenses, Critical illness coverage, Annual health check-ups, Second medical opinion service, No claim bonus benefits"
Varma Hospital,"Varma Hospital, Ettumanoor - Ernakulam Road, Petta, Thrippunithura, Kanayannur, Ernakulam, Kerala",Thrippunithura,Kerala,682301,9218665473,India,9.9538555,76.3423588,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care Clinic",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,1051.01,Bajaj Allianz General Insurance,Corona Kavach Policy,1298.60,False,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Varma Hospital,"Varma Hospital, Ettumanoor - Ernakulam Road, Petta, Thrippunithura, Kanayannur, Ernakulam, Kerala",Thrippunithura,Kerala,682301,9218665473,India,9.9538555,76.3423588,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care Clinic",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,5333.87,,,,,
Varma Hospital,"Varma Hospital, Ettumanoor - Ernakulam Road, Petta, Thrippunithura, Kanayannur, Ernakulam, Kerala",Thrippunithura,Kerala,682301,9218665473,India,9.9538555,76.3423588,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care Clinic",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,5333.87,Universal Sompo General Insurance,Arogya Sanjeevani Insurance,4002.58,True,"Lifelong renewability, Ambulance cover, Cashless hospitalization across network hospitals, Annual health check-ups, No room rent limit, International emergency coverage, Maternity and newborn cover"
Varma Hospital,"Varma Hospital, Ettumanoor - Ernakulam Road, Petta, Thrippunithura, Kanayannur, Ernakulam, Kerala",Thrippunithura,Kerala,682301,9218665473,India,9.9538555,76.3423588,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care Clinic",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,5333.87,SBI General Insurance,Super Health Insurance,3476.19,True,"Critical illness coverage, Ambulance cover, Annual health check-ups, Daycare treatment coverage, Unlimited teleconsultations, Pre and post-hospitalization expenses, Tax benefits under Section 80D"
Varma Hospital,"Varma Hospital, Ettumanoor - Ernakulam Road, Petta, Thrippunithura, Kanayannur, Ernakulam, Kerala",Thrippunithura,Kerala,682301,9218665473,India,9.9538555,76.3423588,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care Clinic",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,5333.87,Zuno General Insurance (Edelweiss),Critical Illness Cover,5427.67,False,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
Varma Hospital,"Varma Hospital, Ettumanoor - Ernakulam Road, Petta, Thrippunithura, Kanayannur, Ernakulam, Kerala",Thrippunithura,Kerala,682301,9218665473,India,9.9538555,76.3423588,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care Clinic",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,5333.87,HDFC ERGO General Insurance,My:Health Medisure Super Top-up,4491.11,True,"Health and wellness rewards program, Cashless hospitalization across network hospitals, Daycare treatment coverage, Ambulance cover, Maternity and newborn cover"
