Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
AMRI Hospital,"AMRI Hospital, Dhakuria Flyover, Dhakuria, Kolkata, West Bengal",Kolkata,West Bengal,700029,8751134555,India,22.5125412,88.3676076,General Medicine,"State-of-the-art cardiac care center, /7 emergency services with dedicated trauma teams, Advanced diagnostic imaging technology including MRI and PET scans, Dedicated oncology center with access to cutting-edge treatments, Fast-track services for common ailments and minor injuries",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,9277.40,,,,,
AMRI Hospital,"AMRI Hospital, Dhakuria Flyover, Dhakuria, Kolkata, West Bengal",Kolkata,West Bengal,700029,8751134555,India,22.5125412,88.3676076,General Medicine,"State-of-the-art cardiac care center, /7 emergency services with dedicated trauma teams, Advanced diagnostic imaging technology including MRI and PET scans, Dedicated oncology center with access to cutting-edge treatments, Fast-track services for common ailments and minor injuries",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,9277.40,Niva Bupa Health Insurance,MoneySaver,7807.18,True,"Lifelong renewability, Cashless hospitalization across network hospitals, Health and wellness rewards program, Tax benefits under Section 80D, No room rent limit, Second medical opinion service"
AMRI Hospital,"AMRI Hospital, Dhakuria Flyover, Dhakuria, Kolkata, West Bengal",Kolkata,West Bengal,700029,8751134555,India,22.5125412,88.3676076,General Medicine,"State-of-the-art cardiac care center, /7 emergency services with dedicated trauma teams, Advanced diagnostic imaging technology including MRI and PET scans, Dedicated oncology center with access to cutting-edge treatments, Fast-track services for common ailments and minor injuries",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,9277.40,Bharti AXA General Insurance,Corona Kavach Policy,6701.50,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
AMRI Hospital,"AMRI Hospital, Dhakuria Flyover, Dhakuria, Kolkata, West Bengal",Kolkata,West Bengal,700029,8751134555,India,22.5125412,88.3676076,General Medicine,"State-of-the-art cardiac care center, /7 emergency services with dedicated trauma teams, Advanced diagnostic imaging technology including MRI and PET scans, Dedicated oncology center with access to cutting-edge treatments, Fast-track services for common ailments and minor injuries",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,5506.17,,,,,
AMRI Hospital,"AMRI Hospital, Dhakuria Flyover, Dhakuria, Kolkata, West Bengal",Kolkata,West Bengal,700029,8751134555,India,22.5125412,88.3676076,General Medicine,"State-of-the-art cardiac care center, /7 emergency services with dedicated trauma teams, Advanced diagnostic imaging technology including MRI and PET scans, Dedicated oncology center with access to cutting-edge treatments, Fast-track services for common ailments and minor injuries",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,5506.17,Magma HDI General Insurance,Critical Illness Insurance,4220.76,True,"Annual health check-ups, Health and wellness rewards program, Automatic restoration of sum insured, Organ donor expenses covered, International emergency coverage, Cashless hospitalization across network hospitals"
AMRI Hospital,"AMRI Hospital, Dhakuria Flyover, Dhakuria, Kolkata, West Bengal",Kolkata,West Bengal,700029,8751134555,India,22.5125412,88.3676076,General Medicine,"State-of-the-art cardiac care center, /7 emergency services with dedicated trauma teams, Advanced diagnostic imaging technology including MRI and PET scans, Dedicated oncology center with access to cutting-edge treatments, Fast-track services for common ailments and minor injuries",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,18897.89,,,,,
AMRI Hospital,"AMRI Hospital, Dhakuria Flyover, Dhakuria, Kolkata, West Bengal",Kolkata,West Bengal,700029,8751134555,India,22.5125412,88.3676076,General Medicine,"State-of-the-art cardiac care center, /7 emergency services with dedicated trauma teams, Advanced diagnostic imaging technology including MRI and PET scans, Dedicated oncology center with access to cutting-edge treatments, Fast-track services for common ailments and minor injuries",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,18897.89,Zuno General Insurance (Edelweiss),Arogya Sanjeevani Policy,10899.65,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
AMRI Hospital,"AMRI Hospital, Dhakuria Flyover, Dhakuria, Kolkata, West Bengal",Kolkata,West Bengal,700029,8751134555,India,22.5125412,88.3676076,General Medicine,"State-of-the-art cardiac care center, /7 emergency services with dedicated trauma teams, Advanced diagnostic imaging technology including MRI and PET scans, Dedicated oncology center with access to cutting-edge treatments, Fast-track services for common ailments and minor injuries",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,18897.89,Reliance General Insurance,Health Infinity,12562.89,True,"No claim bonus benefits, Second medical opinion service, Automatic restoration of sum insured, Unlimited teleconsultations, Annual health check-ups"
AMRI Hospital,"AMRI Hospital, Dhakuria Flyover, Dhakuria, Kolkata, West Bengal",Kolkata,West Bengal,700029,8751134555,India,22.5125412,88.3676076,General Medicine,"State-of-the-art cardiac care center, /7 emergency services with dedicated trauma teams, Advanced diagnostic imaging technology including MRI and PET scans, Dedicated oncology center with access to cutting-edge treatments, Fast-track services for common ailments and minor injuries",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,18897.89,Liberty General Insurance,Secure Health Connect Policy,16038.40,True,"Coverage for alternative treatments (AYUSH), Personal accident insurance, International emergency coverage, Daycare treatment coverage, Coverage for chronic disease management, Ambulance cover, Critical illness coverage"
AMRI Hospital,"AMRI Hospital, Dhakuria Flyover, Dhakuria, Kolkata, West Bengal",Kolkata,West Bengal,700029,8751134555,India,22.5125412,88.3676076,General Medicine,"State-of-the-art cardiac care center, /7 emergency services with dedicated trauma teams, Advanced diagnostic imaging technology including MRI and PET scans, Dedicated oncology center with access to cutting-edge treatments, Fast-track services for common ailments and minor injuries",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,18897.89,Digit Insurance,Corona Kavach Policy,17733.82,False,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
