Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Apollo Diagnostics,"Apollo Diagnostics, G066, Downtown Mall Block B, Downtown Mall, Action Area III, Kolkata, Bidhannagar, North 24 Parganas, West Bengal",Kolkata,West Bengal,700156,7809387364,India,22.5592170,88.4950666,General Medicine,"State-of-the-art Imaging Center, Dedicated Oncology Department, Personalized Wellness Programs, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,6870.28,,,,,
Apollo Diagnostics,"Apollo Diagnostics, G066, Downtown Mall Block B, Downtown Mall, Action Area III, Kolkata, Bidhannagar, North 24 Parganas, West Bengal",Kolkata,West Bengal,700156,7809387364,India,22.5592170,88.4950666,General Medicine,"State-of-the-art Imaging Center, Dedicated Oncology Department, Personalized Wellness Programs, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,6870.28,Bajaj Allianz General Insurance,Corona Kavach Policy,5452.69,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Apollo Diagnostics,"Apollo Diagnostics, G066, Downtown Mall Block B, Downtown Mall, Action Area III, Kolkata, Bidhannagar, North 24 Parganas, West Bengal",Kolkata,West Bengal,700156,7809387364,India,22.5592170,88.4950666,General Medicine,"State-of-the-art Imaging Center, Dedicated Oncology Department, Personalized Wellness Programs, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,6870.28,Tata AIG General Insurance,Arogya Sanjeevani Policy,4496.27,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Apollo Diagnostics,"Apollo Diagnostics, G066, Downtown Mall Block B, Downtown Mall, Action Area III, Kolkata, Bidhannagar, North 24 Parganas, West Bengal",Kolkata,West Bengal,700156,7809387364,India,22.5592170,88.4950666,General Medicine,"State-of-the-art Imaging Center, Dedicated Oncology Department, Personalized Wellness Programs, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,6870.28,Oriental Insurance Company,Arogya Sanjeevani Policy,3756.23,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Apollo Diagnostics,"Apollo Diagnostics, G066, Downtown Mall Block B, Downtown Mall, Action Area III, Kolkata, Bidhannagar, North 24 Parganas, West Bengal",Kolkata,West Bengal,700156,7809387364,India,22.5592170,88.4950666,General Medicine,"State-of-the-art Imaging Center, Dedicated Oncology Department, Personalized Wellness Programs, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,6870.28,United India Insurance Company,Individual Health Insurance Policy,8778.96,False,"Organ donor expenses covered, Personal accident insurance, No claim bonus benefits, Coverage for chronic disease management, Health and wellness rewards program, No room rent limit, Coverage for alternative treatments (AYUSH)"
Apollo Diagnostics,"Apollo Diagnostics, G066, Downtown Mall Block B, Downtown Mall, Action Area III, Kolkata, Bidhannagar, North 24 Parganas, West Bengal",Kolkata,West Bengal,700156,7809387364,India,22.5592170,88.4950666,General Medicine,"State-of-the-art Imaging Center, Dedicated Oncology Department, Personalized Wellness Programs, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,6870.28,Cholamandalam MS General Insurance,Chola MS Critical Healthline,4337.72,True,"Critical illness coverage, Personal accident insurance, No room rent limit, Organ donor expenses covered, Maternity and newborn cover"
Apollo Diagnostics,"Apollo Diagnostics, G066, Downtown Mall Block B, Downtown Mall, Action Area III, Kolkata, Bidhannagar, North 24 Parganas, West Bengal",Kolkata,West Bengal,700156,7809387364,India,22.5592170,88.4950666,General Medicine,"State-of-the-art Imaging Center, Dedicated Oncology Department, Personalized Wellness Programs, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,6870.28,Tata AIA Life Insurance,Cancer Care Plan,3216.35,True,"Ambulance cover, Personal accident insurance, International emergency coverage, Daycare treatment coverage, Maternity and newborn cover, Automatic restoration of sum insured"
Apollo Diagnostics,"Apollo Diagnostics, G066, Downtown Mall Block B, Downtown Mall, Action Area III, Kolkata, Bidhannagar, North 24 Parganas, West Bengal",Kolkata,West Bengal,700156,7809387364,India,22.5592170,88.4950666,General Medicine,"State-of-the-art Imaging Center, Dedicated Oncology Department, Personalized Wellness Programs, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,6870.28,Raheja QBE General Insurance,Arogya Sanjeevani Policy,5442.60,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Apollo Diagnostics,"Apollo Diagnostics, G066, Downtown Mall Block B, Downtown Mall, Action Area III, Kolkata, Bidhannagar, North 24 Parganas, West Bengal",Kolkata,West Bengal,700156,7809387364,India,22.5592170,88.4950666,General Medicine,"State-of-the-art Imaging Center, Dedicated Oncology Department, Personalized Wellness Programs, Telemedicine Consultations",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,7205.16,,,,,
Apollo Diagnostics,"Apollo Diagnostics, G066, Downtown Mall Block B, Downtown Mall, Action Area III, Kolkata, Bidhannagar, North 24 Parganas, West Bengal",Kolkata,West Bengal,700156,7809387364,India,22.5592170,88.4950666,General Medicine,"State-of-the-art Imaging Center, Dedicated Oncology Department, Personalized Wellness Programs, Telemedicine Consultations",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,7205.16,Future Generali India Insurance,Health Elite,4416.42,True,"Annual health check-ups, No claim bonus benefits, Maternity and newborn cover, International emergency coverage, Cashless hospitalization across network hospitals, Second medical opinion service, Personal accident insurance"
Apollo Diagnostics,"Apollo Diagnostics, G066, Downtown Mall Block B, Downtown Mall, Action Area III, Kolkata, Bidhannagar, North 24 Parganas, West Bengal",Kolkata,West Bengal,700156,7809387364,India,22.5592170,88.4950666,General Medicine,"State-of-the-art Imaging Center, Dedicated Oncology Department, Personalized Wellness Programs, Telemedicine Consultations",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,7205.16,Shriram General Insurance,Corona Kavach Policy,9455.76,False,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Apollo Diagnostics,"Apollo Diagnostics, G066, Downtown Mall Block B, Downtown Mall, Action Area III, Kolkata, Bidhannagar, North 24 Parganas, West Bengal",Kolkata,West Bengal,700156,7809387364,India,22.5592170,88.4950666,General Medicine,"State-of-the-art Imaging Center, Dedicated Oncology Department, Personalized Wellness Programs, Telemedicine Consultations",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,7205.16,SBI General Insurance,Super Health Insurance,3600.61,True,"Critical illness coverage, Ambulance cover, Annual health check-ups, Daycare treatment coverage, Unlimited teleconsultations, Pre and post-hospitalization expenses, Tax benefits under Section 80D"
Apollo Diagnostics,"Apollo Diagnostics, G066, Downtown Mall Block B, Downtown Mall, Action Area III, Kolkata, Bidhannagar, North 24 Parganas, West Bengal",Kolkata,West Bengal,700156,7809387364,India,22.5592170,88.4950666,General Medicine,"State-of-the-art Imaging Center, Dedicated Oncology Department, Personalized Wellness Programs, Telemedicine Consultations",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,7205.16,The New India Assurance,Top-up Mediclaim Policy,3474.45,True,"Annual health check-ups, Critical illness coverage, Maternity and newborn cover, Health and wellness rewards program, Cashless hospitalization across network hospitals, Coverage for chronic disease management, Personal accident insurance"
Apollo Diagnostics,"Apollo Diagnostics, G066, Downtown Mall Block B, Downtown Mall, Action Area III, Kolkata, Bidhannagar, North 24 Parganas, West Bengal",Kolkata,West Bengal,700156,7809387364,India,22.5592170,88.4950666,General Medicine,"State-of-the-art Imaging Center, Dedicated Oncology Department, Personalized Wellness Programs, Telemedicine Consultations",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,7205.16,IFFCO Tokio General Insurance,Individual Medishield Policy,4030.11,True,"Critical illness coverage, Organ donor expenses covered, Unlimited teleconsultations, Daycare treatment coverage, Ambulance cover, Cashless hospitalization across network hospitals, No room rent limit"
Apollo Diagnostics,"Apollo Diagnostics, G066, Downtown Mall Block B, Downtown Mall, Action Area III, Kolkata, Bidhannagar, North 24 Parganas, West Bengal",Kolkata,West Bengal,700156,7809387364,India,22.5592170,88.4950666,General Medicine,"State-of-the-art Imaging Center, Dedicated Oncology Department, Personalized Wellness Programs, Telemedicine Consultations",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,23311.92,,,,,
Apollo Diagnostics,"Apollo Diagnostics, G066, Downtown Mall Block B, Downtown Mall, Action Area III, Kolkata, Bidhannagar, North 24 Parganas, West Bengal",Kolkata,West Bengal,700156,7809387364,India,22.5592170,88.4950666,General Medicine,"State-of-the-art Imaging Center, Dedicated Oncology Department, Personalized Wellness Programs, Telemedicine Consultations",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,23311.92,ManipalCigna Health Insurance,ProHealth Prime,13149.55,True,"Ambulance cover, No claim bonus benefits, Health and wellness rewards program, Coverage for chronic disease management, Maternity and newborn cover, Cashless hospitalization across network hospitals, Tax benefits under Section 80D"
Apollo Diagnostics,"Apollo Diagnostics, G066, Downtown Mall Block B, Downtown Mall, Action Area III, Kolkata, Bidhannagar, North 24 Parganas, West Bengal",Kolkata,West Bengal,700156,7809387364,India,22.5592170,88.4950666,General Medicine,"State-of-the-art Imaging Center, Dedicated Oncology Department, Personalized Wellness Programs, Telemedicine Consultations",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,23311.92,The New India Assurance,Mediclaim Policy,16977.54,True,"Lifelong renewability, Daycare treatment coverage, Health and wellness rewards program, Second medical opinion service, Coverage for chronic disease management, Pre and post-hospitalization expenses"
Apollo Diagnostics,"Apollo Diagnostics, G066, Downtown Mall Block B, Downtown Mall, Action Area III, Kolkata, Bidhannagar, North 24 Parganas, West Bengal",Kolkata,West Bengal,700156,7809387364,India,22.5592170,88.4950666,General Medicine,"State-of-the-art Imaging Center, Dedicated Oncology Department, Personalized Wellness Programs, Telemedicine Consultations",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,19124.08,,,,,
Apollo Diagnostics,"Apollo Diagnostics, G066, Downtown Mall Block B, Downtown Mall, Action Area III, Kolkata, Bidhannagar, North 24 Parganas, West Bengal",Kolkata,West Bengal,700156,7809387364,India,22.5592170,88.4950666,General Medicine,"State-of-the-art Imaging Center, Dedicated Oncology Department, Personalized Wellness Programs, Telemedicine Consultations",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,19124.08,Liberty General Insurance,Corona Kavach Policy,20804.23,False,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Apollo Diagnostics,"Apollo Diagnostics, G066, Downtown Mall Block B, Downtown Mall, Action Area III, Kolkata, Bidhannagar, North 24 Parganas, West Bengal",Kolkata,West Bengal,700156,7809387364,India,22.5592170,88.4950666,General Medicine,"State-of-the-art Imaging Center, Dedicated Oncology Department, Personalized Wellness Programs, Telemedicine Consultations",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,19124.08,Oriental Insurance Company,PNB-Oriental Royal Mediclaim Policy,15225.75,True,"Unlimited teleconsultations, Coverage for chronic disease management, Cashless hospitalization across network hospitals, Second medical opinion service, Daycare treatment coverage, No claim bonus benefits, Tax benefits under Section 80D"
Apollo Diagnostics,"Apollo Diagnostics, G066, Downtown Mall Block B, Downtown Mall, Action Area III, Kolkata, Bidhannagar, North 24 Parganas, West Bengal",Kolkata,West Bengal,700156,7809387364,India,22.5592170,88.4950666,General Medicine,"State-of-the-art Imaging Center, Dedicated Oncology Department, Personalized Wellness Programs, Telemedicine Consultations",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,19124.08,Acko General Insurance,Arogya Sanjeevani by ACKO,13895.30,True,"International emergency coverage, Cashless hospitalization across network hospitals, Coverage for chronic disease management, Annual health check-ups, Maternity and newborn cover, Tax benefits under Section 80D, Coverage for alternative treatments (AYUSH)"
Apollo Diagnostics,"Apollo Diagnostics, G066, Downtown Mall Block B, Downtown Mall, Action Area III, Kolkata, Bidhannagar, North 24 Parganas, West Bengal",Kolkata,West Bengal,700156,7809387364,India,22.5592170,88.4950666,General Medicine,"State-of-the-art Imaging Center, Dedicated Oncology Department, Personalized Wellness Programs, Telemedicine Consultations",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,19124.08,Bharti AXA General Insurance,Smart Super Health Insurance Policy,12860.33,True,"Annual health check-ups, Personal accident insurance, Automatic restoration of sum insured, International emergency coverage, No room rent limit, Tax benefits under Section 80D, Ambulance cover"
Apollo Diagnostics,"Apollo Diagnostics, G066, Downtown Mall Block B, Downtown Mall, Action Area III, Kolkata, Bidhannagar, North 24 Parganas, West Bengal",Kolkata,West Bengal,700156,7809387364,India,22.5592170,88.4950666,General Medicine,"State-of-the-art Imaging Center, Dedicated Oncology Department, Personalized Wellness Programs, Telemedicine Consultations",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,19124.08,IFFCO Tokio General Insurance,Arogya Sanjeevani Policy,14239.42,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Apollo Diagnostics,"Apollo Diagnostics, G066, Downtown Mall Block B, Downtown Mall, Action Area III, Kolkata, Bidhannagar, North 24 Parganas, West Bengal",Kolkata,West Bengal,700156,7809387364,India,22.5592170,88.4950666,General Medicine,"State-of-the-art Imaging Center, Dedicated Oncology Department, Personalized Wellness Programs, Telemedicine Consultations",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,19124.08,Reliance General Insurance,Corona Kavach Policy,10134.77,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
