Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
B R Singh Hospital,"B R Singh Hospital, Bepin Behari Ganguly Street, Sealdah, Kolkata, West Bengal",Kolkata,West Bengal,700009,9719250857,India,22.5656943,88.3708629,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Diagnostic Services, Patient Portal for Online Appointment Scheduling and Medical Records Access",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,5863.79,,,,,
B R Singh Hospital,"B R Singh Hospital, Bepin Behari Ganguly Street, Sealdah, Kolkata, West Bengal",Kolkata,West Bengal,700009,9719250857,India,22.5656943,88.3708629,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Diagnostic Services, Patient Portal for Online Appointment Scheduling and Medical Records Access",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,5863.79,Tata AIG General Insurance,Medicare Premier,2701.69,True,"Second medical opinion service, Health and wellness rewards program, Annual health check-ups, Pre and post-hospitalization expenses, Personal accident insurance, Organ donor expenses covered, Coverage for alternative treatments (AYUSH)"
B R Singh Hospital,"B R Singh Hospital, Bepin Behari Ganguly Street, Sealdah, Kolkata, West Bengal",Kolkata,West Bengal,700009,9719250857,India,22.5656943,88.3708629,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Diagnostic Services, Patient Portal for Online Appointment Scheduling and Medical Records Access",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,5863.79,IFFCO Tokio General Insurance,Individual Medishield Policy,4838.60,True,"Critical illness coverage, Organ donor expenses covered, Unlimited teleconsultations, Daycare treatment coverage, Ambulance cover, Cashless hospitalization across network hospitals, No room rent limit"
B R Singh Hospital,"B R Singh Hospital, Bepin Behari Ganguly Street, Sealdah, Kolkata, West Bengal",Kolkata,West Bengal,700009,9719250857,India,22.5656943,88.3708629,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Diagnostic Services, Patient Portal for Online Appointment Scheduling and Medical Records Access",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,5863.79,Raheja QBE General Insurance,Health QuBE Comprehensive Health Insurance,3784.95,True,"Lifelong renewability, No room rent limit, Critical illness coverage, International emergency coverage, Tax benefits under Section 80D"
B R Singh Hospital,"B R Singh Hospital, Bepin Behari Ganguly Street, Sealdah, Kolkata, West Bengal",Kolkata,West Bengal,700009,9719250857,India,22.5656943,88.3708629,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Diagnostic Services, Patient Portal for Online Appointment Scheduling and Medical Records Access",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,5863.79,The New India Assurance,Premier Mediclaim Policy,3829.97,True,"Pre and post-hospitalization expenses, Annual health check-ups, Unlimited teleconsultations, Health and wellness rewards program, Coverage for alternative treatments (AYUSH)"
B R Singh Hospital,"B R Singh Hospital, Bepin Behari Ganguly Street, Sealdah, Kolkata, West Bengal",Kolkata,West Bengal,700009,9719250857,India,22.5656943,88.3708629,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Diagnostic Services, Patient Portal for Online Appointment Scheduling and Medical Records Access",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,5863.79,Liberty General Insurance,Health Connect Policy,2746.04,True,"Tax benefits under Section 80D, Coverage for chronic disease management, Pre and post-hospitalization expenses, Coverage for alternative treatments (AYUSH), International emergency coverage, Automatic restoration of sum insured, No room rent limit"
B R Singh Hospital,"B R Singh Hospital, Bepin Behari Ganguly Street, Sealdah, Kolkata, West Bengal",Kolkata,West Bengal,700009,9719250857,India,22.5656943,88.3708629,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Diagnostic Services, Patient Portal for Online Appointment Scheduling and Medical Records Access",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,10350.99,,,,,
B R Singh Hospital,"B R Singh Hospital, Bepin Behari Ganguly Street, Sealdah, Kolkata, West Bengal",Kolkata,West Bengal,700009,9719250857,India,22.5656943,88.3708629,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Diagnostic Services, Patient Portal for Online Appointment Scheduling and Medical Records Access",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,11569.41,,,,,
B R Singh Hospital,"B R Singh Hospital, Bepin Behari Ganguly Street, Sealdah, Kolkata, West Bengal",Kolkata,West Bengal,700009,9719250857,India,22.5656943,88.3708629,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Diagnostic Services, Patient Portal for Online Appointment Scheduling and Medical Records Access",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,11569.41,Bajaj Allianz General Insurance,Family Health Insurance,8294.43,True,"Coverage for alternative treatments (AYUSH), Organ donor expenses covered, Health and wellness rewards program, Cashless hospitalization across network hospitals, No room rent limit, Second medical opinion service, International emergency coverage"
B R Singh Hospital,"B R Singh Hospital, Bepin Behari Ganguly Street, Sealdah, Kolkata, West Bengal",Kolkata,West Bengal,700009,9719250857,India,22.5656943,88.3708629,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Diagnostic Services, Patient Portal for Online Appointment Scheduling and Medical Records Access",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,11569.41,ManipalCigna Health Insurance,ProHealth Prime,8134.78,True,"Ambulance cover, No claim bonus benefits, Health and wellness rewards program, Coverage for chronic disease management, Maternity and newborn cover, Cashless hospitalization across network hospitals, Tax benefits under Section 80D"
