Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Belle Vue Clinic,"Belle Vue Clinic, Loudon Street, Mallick Bazaar, Ripon Street, Kolkata, West Bengal",Kolkata,West Bengal,700017,7146924041,India,22.5425211,88.3550580,General Medicine,"State-of-the-art Cardiac Care Unit, On-site Pharmacy and Lab Services, Dedicated Pediatric Wing, Same-Day Appointment Availability for Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,9676.40,,,,,
Belle Vue Clinic,"Belle Vue Clinic, Loudon Street, Mallick Bazaar, Ripon Street, Kolkata, West Bengal",Kolkata,West Bengal,700017,7146924041,India,22.5425211,88.3550580,General Medicine,"State-of-the-art Cardiac Care Unit, On-site Pharmacy and Lab Services, Dedicated Pediatric Wing, Same-Day Appointment Availability for Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,9676.40,Digit Insurance,Critical Illness Cover,6692.49,True,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
Belle Vue Clinic,"Belle Vue Clinic, Loudon Street, Mallick Bazaar, Ripon Street, Kolkata, West Bengal",Kolkata,West Bengal,700017,7146924041,India,22.5425211,88.3550580,General Medicine,"State-of-the-art Cardiac Care Unit, On-site Pharmacy and Lab Services, Dedicated Pediatric Wing, Same-Day Appointment Availability for Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,9676.40,Bajaj Allianz General Insurance,Health Infinity Plan,5136.27,True,"Annual health check-ups, Maternity and newborn cover, Cashless hospitalization across network hospitals, Coverage for chronic disease management, No room rent limit"
Belle Vue Clinic,"Belle Vue Clinic, Loudon Street, Mallick Bazaar, Ripon Street, Kolkata, West Bengal",Kolkata,West Bengal,700017,7146924041,India,22.5425211,88.3550580,General Medicine,"State-of-the-art Cardiac Care Unit, On-site Pharmacy and Lab Services, Dedicated Pediatric Wing, Same-Day Appointment Availability for Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,9676.40,Universal Sompo General Insurance,Super Healthcare Insurance,5038.95,True,"Critical illness coverage, Health and wellness rewards program, Organ donor expenses covered, Second medical opinion service, Coverage for chronic disease management, Unlimited teleconsultations"
Belle Vue Clinic,"Belle Vue Clinic, Loudon Street, Mallick Bazaar, Ripon Street, Kolkata, West Bengal",Kolkata,West Bengal,700017,7146924041,India,22.5425211,88.3550580,General Medicine,"State-of-the-art Cardiac Care Unit, On-site Pharmacy and Lab Services, Dedicated Pediatric Wing, Same-Day Appointment Availability for Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,9676.40,Shriram General Insurance,Corona Kavach Policy,4764.26,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Belle Vue Clinic,"Belle Vue Clinic, Loudon Street, Mallick Bazaar, Ripon Street, Kolkata, West Bengal",Kolkata,West Bengal,700017,7146924041,India,22.5425211,88.3550580,General Medicine,"State-of-the-art Cardiac Care Unit, On-site Pharmacy and Lab Services, Dedicated Pediatric Wing, Same-Day Appointment Availability for Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,9676.40,Kotak Mahindra Health Insurance,Critical Illness Cover,9290.75,False,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
Belle Vue Clinic,"Belle Vue Clinic, Loudon Street, Mallick Bazaar, Ripon Street, Kolkata, West Bengal",Kolkata,West Bengal,700017,7146924041,India,22.5425211,88.3550580,General Medicine,"State-of-the-art Cardiac Care Unit, On-site Pharmacy and Lab Services, Dedicated Pediatric Wing, Same-Day Appointment Availability for Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,9676.40,Liberty General Insurance,Health Connect Policy,4427.55,True,"Tax benefits under Section 80D, Coverage for chronic disease management, Pre and post-hospitalization expenses, Coverage for alternative treatments (AYUSH), International emergency coverage, Automatic restoration of sum insured, No room rent limit"
Belle Vue Clinic,"Belle Vue Clinic, Loudon Street, Mallick Bazaar, Ripon Street, Kolkata, West Bengal",Kolkata,West Bengal,700017,7146924041,India,22.5425211,88.3550580,General Medicine,"State-of-the-art Cardiac Care Unit, On-site Pharmacy and Lab Services, Dedicated Pediatric Wing, Same-Day Appointment Availability for Urgent Care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,4264.19,,,,,
Belle Vue Clinic,"Belle Vue Clinic, Loudon Street, Mallick Bazaar, Ripon Street, Kolkata, West Bengal",Kolkata,West Bengal,700017,7146924041,India,22.5425211,88.3550580,General Medicine,"State-of-the-art Cardiac Care Unit, On-site Pharmacy and Lab Services, Dedicated Pediatric Wing, Same-Day Appointment Availability for Urgent Care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,4264.19,Future Generali India Insurance,Health Absolute,2303.28,True,"Annual health check-ups, Ambulance cover, Pre and post-hospitalization expenses, No claim bonus benefits, Tax benefits under Section 80D, Automatic restoration of sum insured, Second medical opinion service"
Belle Vue Clinic,"Belle Vue Clinic, Loudon Street, Mallick Bazaar, Ripon Street, Kolkata, West Bengal",Kolkata,West Bengal,700017,7146924041,India,22.5425211,88.3550580,General Medicine,"State-of-the-art Cardiac Care Unit, On-site Pharmacy and Lab Services, Dedicated Pediatric Wing, Same-Day Appointment Availability for Urgent Care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,4264.19,IFFCO Tokio General Insurance,Critical Illness Benefit Policy,3111.55,True,"International emergency coverage, Cashless hospitalization across network hospitals, Annual health check-ups, No room rent limit, Unlimited teleconsultations"
