Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
R.G. Kar Medical College & Hospital,"R.G. Kar Medical College & Hospital, 1, Pran Krishna Mukhurjee Rd, Chitpur North, Kolkata, West Bengal",Kolkata,West Bengal,700004,7997131359,India,22.6044756,88.3784067,General Medicine,"State-of-the-art diagnostic facilities, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized outpatient clinics for chronic disease management, Experienced faculty providing both treatment and teaching",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,20685.26,,,,,
R.G. Kar Medical College & Hospital,"R.G. Kar Medical College & Hospital, 1, Pran Krishna Mukhurjee Rd, Chitpur North, Kolkata, West Bengal",Kolkata,West Bengal,700004,7997131359,India,22.6044756,88.3784067,General Medicine,"State-of-the-art diagnostic facilities, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized outpatient clinics for chronic disease management, Experienced faculty providing both treatment and teaching",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,20685.26,SBI General Insurance,Critical Illness Insurance Policy,27546.85,False,"Daycare treatment coverage, No room rent limit, Critical illness coverage, Health and wellness rewards program, Organ donor expenses covered"
R.G. Kar Medical College & Hospital,"R.G. Kar Medical College & Hospital, 1, Pran Krishna Mukhurjee Rd, Chitpur North, Kolkata, West Bengal",Kolkata,West Bengal,700004,7997131359,India,22.6044756,88.3784067,General Medicine,"State-of-the-art diagnostic facilities, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized outpatient clinics for chronic disease management, Experienced faculty providing both treatment and teaching",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,20685.26,Reliance General Insurance,Corona Kavach Policy,11528.28,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
R.G. Kar Medical College & Hospital,"R.G. Kar Medical College & Hospital, 1, Pran Krishna Mukhurjee Rd, Chitpur North, Kolkata, West Bengal",Kolkata,West Bengal,700004,7997131359,India,22.6044756,88.3784067,General Medicine,"State-of-the-art diagnostic facilities, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized outpatient clinics for chronic disease management, Experienced faculty providing both treatment and teaching",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,20685.26,Kotak Mahindra Health Insurance,Arogya Sanjeevani Policy,14967.69,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
R.G. Kar Medical College & Hospital,"R.G. Kar Medical College & Hospital, 1, Pran Krishna Mukhurjee Rd, Chitpur North, Kolkata, West Bengal",Kolkata,West Bengal,700004,7997131359,India,22.6044756,88.3784067,General Medicine,"State-of-the-art diagnostic facilities, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized outpatient clinics for chronic disease management, Experienced faculty providing both treatment and teaching",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,14285.59,,,,,
R.G. Kar Medical College & Hospital,"R.G. Kar Medical College & Hospital, 1, Pran Krishna Mukhurjee Rd, Chitpur North, Kolkata, West Bengal",Kolkata,West Bengal,700004,7997131359,India,22.6044756,88.3784067,General Medicine,"State-of-the-art diagnostic facilities, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized outpatient clinics for chronic disease management, Experienced faculty providing both treatment and teaching",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,14285.59,Bajaj Allianz General Insurance,Health Infinity Plan,8223.98,True,"Annual health check-ups, Maternity and newborn cover, Cashless hospitalization across network hospitals, Coverage for chronic disease management, No room rent limit"
R.G. Kar Medical College & Hospital,"R.G. Kar Medical College & Hospital, 1, Pran Krishna Mukhurjee Rd, Chitpur North, Kolkata, West Bengal",Kolkata,West Bengal,700004,7997131359,India,22.6044756,88.3784067,General Medicine,"State-of-the-art diagnostic facilities, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized outpatient clinics for chronic disease management, Experienced faculty providing both treatment and teaching",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,14285.59,Kotak Mahindra Health Insurance,Critical Illness Cover,7925.79,True,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
R.G. Kar Medical College & Hospital,"R.G. Kar Medical College & Hospital, 1, Pran Krishna Mukhurjee Rd, Chitpur North, Kolkata, West Bengal",Kolkata,West Bengal,700004,7997131359,India,22.6044756,88.3784067,General Medicine,"State-of-the-art diagnostic facilities, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized outpatient clinics for chronic disease management, Experienced faculty providing both treatment and teaching",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,14285.59,Star Health and Allied Insurance,Medi Classic Insurance Policy,11059.58,True,"International emergency coverage, Lifelong renewability, No room rent limit, Ambulance cover, Unlimited teleconsultations, Daycare treatment coverage"
R.G. Kar Medical College & Hospital,"R.G. Kar Medical College & Hospital, 1, Pran Krishna Mukhurjee Rd, Chitpur North, Kolkata, West Bengal",Kolkata,West Bengal,700004,7997131359,India,22.6044756,88.3784067,General Medicine,"State-of-the-art diagnostic facilities, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized outpatient clinics for chronic disease management, Experienced faculty providing both treatment and teaching",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,14285.59,Bharti AXA General Insurance,Smart Health Insurance Policy,11845.15,True,"Pre and post-hospitalization expenses, No claim bonus benefits, Critical illness coverage, Ambulance cover, Cashless hospitalization across network hospitals"
R.G. Kar Medical College & Hospital,"R.G. Kar Medical College & Hospital, 1, Pran Krishna Mukhurjee Rd, Chitpur North, Kolkata, West Bengal",Kolkata,West Bengal,700004,7997131359,India,22.6044756,88.3784067,General Medicine,"State-of-the-art diagnostic facilities, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Specialized outpatient clinics for chronic disease management, Experienced faculty providing both treatment and teaching",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,14285.59,Niva Bupa Health Insurance,GoActive,14026.25,False,"Lifelong renewability, No room rent limit, Pre and post-hospitalization expenses, Automatic restoration of sum insured, Coverage for alternative treatments (AYUSH), Unlimited teleconsultations, Second medical opinion service"
