Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
SSKM College and Hospital,"SSKM College and Hospital, Harish Mukherjee Road, Bhowanipore, Kolkata, West Bengal",Kolkata,West Bengal,700020,7985355618,India,22.5399981,88.3417631,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, Multilingual Staff",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3467.06,,,,,
SSKM College and Hospital,"SSKM College and Hospital, Harish Mukherjee Road, Bhowanipore, Kolkata, West Bengal",Kolkata,West Bengal,700020,7985355618,India,22.5399981,88.3417631,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, Multilingual Staff",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3467.06,HDFC ERGO General Insurance,Optima Restore Family Floater,2642.91,True,"Critical illness coverage, Health and wellness rewards program, Ambulance cover, Tax benefits under Section 80D, Coverage for alternative treatments (AYUSH), No claim bonus benefits, International emergency coverage"
SSKM College and Hospital,"SSKM College and Hospital, Harish Mukherjee Road, Bhowanipore, Kolkata, West Bengal",Kolkata,West Bengal,700020,7985355618,India,22.5399981,88.3417631,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, Multilingual Staff",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3467.06,IFFCO Tokio General Insurance,Swasthya Kavach Policy,2650.43,True,"Daycare treatment coverage, International emergency coverage, Annual health check-ups, Coverage for chronic disease management, Critical illness coverage, Automatic restoration of sum insured, Ambulance cover"
SSKM College and Hospital,"SSKM College and Hospital, Harish Mukherjee Road, Bhowanipore, Kolkata, West Bengal",Kolkata,West Bengal,700020,7985355618,India,22.5399981,88.3417631,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, Multilingual Staff",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3467.06,Cholamandalam MS General Insurance,Chola Healthline,4333.07,False,"Cashless hospitalization across network hospitals, Daycare treatment coverage, International emergency coverage, Unlimited teleconsultations, Personal accident insurance, Organ donor expenses covered"
SSKM College and Hospital,"SSKM College and Hospital, Harish Mukherjee Road, Bhowanipore, Kolkata, West Bengal",Kolkata,West Bengal,700020,7985355618,India,22.5399981,88.3417631,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, Multilingual Staff",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,11267.13,,,,,
SSKM College and Hospital,"SSKM College and Hospital, Harish Mukherjee Road, Bhowanipore, Kolkata, West Bengal",Kolkata,West Bengal,700020,7985355618,India,22.5399981,88.3417631,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, Multilingual Staff",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,11267.13,PNB MetLife Insurance,Family Floater Health Plan,7400.20,True,"Unlimited teleconsultations, Tax benefits under Section 80D, Second medical opinion service, International emergency coverage, Lifelong renewability"
SSKM College and Hospital,"SSKM College and Hospital, Harish Mukherjee Road, Bhowanipore, Kolkata, West Bengal",Kolkata,West Bengal,700020,7985355618,India,22.5399981,88.3417631,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, Multilingual Staff",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,11267.13,HDFC ERGO General Insurance,Optima Restore Family Floater,5995.44,True,"Critical illness coverage, Health and wellness rewards program, Ambulance cover, Tax benefits under Section 80D, Coverage for alternative treatments (AYUSH), No claim bonus benefits, International emergency coverage"
SSKM College and Hospital,"SSKM College and Hospital, Harish Mukherjee Road, Bhowanipore, Kolkata, West Bengal",Kolkata,West Bengal,700020,7985355618,India,22.5399981,88.3417631,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, Multilingual Staff",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,11267.13,Cholamandalam MS General Insurance,Chola Healthline,7414.06,True,"Cashless hospitalization across network hospitals, Daycare treatment coverage, International emergency coverage, Unlimited teleconsultations, Personal accident insurance, Organ donor expenses covered"
SSKM College and Hospital,"SSKM College and Hospital, Harish Mukherjee Road, Bhowanipore, Kolkata, West Bengal",Kolkata,West Bengal,700020,7985355618,India,22.5399981,88.3417631,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, Multilingual Staff",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,11267.13,SBI General Insurance,Hospital Daily Cash Insurance Policy,8345.61,True,"Daycare treatment coverage, Critical illness coverage, Tax benefits under Section 80D, Health and wellness rewards program, Annual health check-ups"
SSKM College and Hospital,"SSKM College and Hospital, Harish Mukherjee Road, Bhowanipore, Kolkata, West Bengal",Kolkata,West Bengal,700020,7985355618,India,22.5399981,88.3417631,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, Multilingual Staff",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,11267.13,Niva Bupa Health Insurance,Health Companion,8995.71,True,"Pre and post-hospitalization expenses, International emergency coverage, No room rent limit, Personal accident insurance, Organ donor expenses covered, Cashless hospitalization across network hospitals"
SSKM College and Hospital,"SSKM College and Hospital, Harish Mukherjee Road, Bhowanipore, Kolkata, West Bengal",Kolkata,West Bengal,700020,7985355618,India,22.5399981,88.3417631,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, Multilingual Staff",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,11267.13,Kotak Mahindra Health Insurance,Arogya Sanjeevani Policy,7147.77,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
