Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Vidyasagar State General Hospital,"Vidyasagar State General Hospital, Brahmo Samaj Road, Behala, Kolkata, South 24 Parganas, West Bengal",Kolkata,West Bengal,700034,7425100233,India,22.4987178,88.3163322,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Dedicated Women's Health Center offering comprehensive prenatal and postnatal care, Fast-Track Services for common ailments and minor injuries, Multilingual Staff for enhanced patient communication",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,9402.75,,,,,
Vidyasagar State General Hospital,"Vidyasagar State General Hospital, Brahmo Samaj Road, Behala, Kolkata, South 24 Parganas, West Bengal",Kolkata,West Bengal,700034,7425100233,India,22.4987178,88.3163322,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Dedicated Women's Health Center offering comprehensive prenatal and postnatal care, Fast-Track Services for common ailments and minor injuries, Multilingual Staff for enhanced patient communication",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,9402.75,Exide Life Insurance,Critical Illness Rider,9214.52,False,"Organ donor expenses covered, Unlimited teleconsultations, No room rent limit, No claim bonus benefits, Cashless hospitalization across network hospitals, Coverage for alternative treatments (AYUSH), Tax benefits under Section 80D"
Vidyasagar State General Hospital,"Vidyasagar State General Hospital, Brahmo Samaj Road, Behala, Kolkata, South 24 Parganas, West Bengal",Kolkata,West Bengal,700034,7425100233,India,22.4987178,88.3163322,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Dedicated Women's Health Center offering comprehensive prenatal and postnatal care, Fast-Track Services for common ailments and minor injuries, Multilingual Staff for enhanced patient communication",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,9402.75,Bajaj Allianz General Insurance,Health Infinity Plan,7761.91,True,"Annual health check-ups, Maternity and newborn cover, Cashless hospitalization across network hospitals, Coverage for chronic disease management, No room rent limit"
Vidyasagar State General Hospital,"Vidyasagar State General Hospital, Brahmo Samaj Road, Behala, Kolkata, South 24 Parganas, West Bengal",Kolkata,West Bengal,700034,7425100233,India,22.4987178,88.3163322,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Dedicated Women's Health Center offering comprehensive prenatal and postnatal care, Fast-Track Services for common ailments and minor injuries, Multilingual Staff for enhanced patient communication",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,9402.75,Tata AIG General Insurance,Medicare Premier,6551.40,True,"Second medical opinion service, Health and wellness rewards program, Annual health check-ups, Pre and post-hospitalization expenses, Personal accident insurance, Organ donor expenses covered, Coverage for alternative treatments (AYUSH)"
Vidyasagar State General Hospital,"Vidyasagar State General Hospital, Brahmo Samaj Road, Behala, Kolkata, South 24 Parganas, West Bengal",Kolkata,West Bengal,700034,7425100233,India,22.4987178,88.3163322,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Dedicated Women's Health Center offering comprehensive prenatal and postnatal care, Fast-Track Services for common ailments and minor injuries, Multilingual Staff for enhanced patient communication",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,15869.95,,,,,
Vidyasagar State General Hospital,"Vidyasagar State General Hospital, Brahmo Samaj Road, Behala, Kolkata, South 24 Parganas, West Bengal",Kolkata,West Bengal,700034,7425100233,India,22.4987178,88.3163322,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Dedicated Women's Health Center offering comprehensive prenatal and postnatal care, Fast-Track Services for common ailments and minor injuries, Multilingual Staff for enhanced patient communication",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,15869.95,Acko General Insurance,ACKO Platinum Super Top-up Health Insurance Policy,11943.10,True,"Maternity and newborn cover, Organ donor expenses covered, Health and wellness rewards program, Cashless hospitalization across network hospitals, No room rent limit"
Vidyasagar State General Hospital,"Vidyasagar State General Hospital, Brahmo Samaj Road, Behala, Kolkata, South 24 Parganas, West Bengal",Kolkata,West Bengal,700034,7425100233,India,22.4987178,88.3163322,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Dedicated Women's Health Center offering comprehensive prenatal and postnatal care, Fast-Track Services for common ailments and minor injuries, Multilingual Staff for enhanced patient communication",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,22379.52,,,,,
Vidyasagar State General Hospital,"Vidyasagar State General Hospital, Brahmo Samaj Road, Behala, Kolkata, South 24 Parganas, West Bengal",Kolkata,West Bengal,700034,7425100233,India,22.4987178,88.3163322,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Dedicated Women's Health Center offering comprehensive prenatal and postnatal care, Fast-Track Services for common ailments and minor injuries, Multilingual Staff for enhanced patient communication",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,16217.83,,,,,
Vidyasagar State General Hospital,"Vidyasagar State General Hospital, Brahmo Samaj Road, Behala, Kolkata, South 24 Parganas, West Bengal",Kolkata,West Bengal,700034,7425100233,India,22.4987178,88.3163322,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Dedicated Women's Health Center offering comprehensive prenatal and postnatal care, Fast-Track Services for common ailments and minor injuries, Multilingual Staff for enhanced patient communication",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,16217.83,Reliance General Insurance,HealthGain,18694.83,False,"Unlimited teleconsultations, Organ donor expenses covered, Cashless hospitalization across network hospitals, Annual health check-ups, Critical illness coverage, Maternity and newborn cover"
Vidyasagar State General Hospital,"Vidyasagar State General Hospital, Brahmo Samaj Road, Behala, Kolkata, South 24 Parganas, West Bengal",Kolkata,West Bengal,700034,7425100233,India,22.4987178,88.3163322,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Dedicated Women's Health Center offering comprehensive prenatal and postnatal care, Fast-Track Services for common ailments and minor injuries, Multilingual Staff for enhanced patient communication",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,16217.83,Tata AIG General Insurance,Arogya Sanjeevani Policy,10756.18,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Vidyasagar State General Hospital,"Vidyasagar State General Hospital, Brahmo Samaj Road, Behala, Kolkata, South 24 Parganas, West Bengal",Kolkata,West Bengal,700034,7425100233,India,22.4987178,88.3163322,Maternity Care,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Dedicated Women's Health Center offering comprehensive prenatal and postnatal care, Fast-Track Services for common ailments and minor injuries, Multilingual Staff for enhanced patient communication",Maternity Care,Pregnancy Checkup,MATPRE574,Comprehensive prenatal care appointments to monitor your health and your baby's development throughout pregnancy.,BOTH,8960.27,,,,,
Vidyasagar State General Hospital,"Vidyasagar State General Hospital, Brahmo Samaj Road, Behala, Kolkata, South 24 Parganas, West Bengal",Kolkata,West Bengal,700034,7425100233,India,22.4987178,88.3163322,Maternity Care,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Dedicated Women's Health Center offering comprehensive prenatal and postnatal care, Fast-Track Services for common ailments and minor injuries, Multilingual Staff for enhanced patient communication",Maternity Care,Pregnancy Checkup,MATPRE574,Comprehensive prenatal care appointments to monitor your health and your baby's development throughout pregnancy.,BOTH,8960.27,Exide Life Insurance,Critical Illness Rider,6047.73,True,"Organ donor expenses covered, Unlimited teleconsultations, No room rent limit, No claim bonus benefits, Cashless hospitalization across network hospitals, Coverage for alternative treatments (AYUSH), Tax benefits under Section 80D"
Vidyasagar State General Hospital,"Vidyasagar State General Hospital, Brahmo Samaj Road, Behala, Kolkata, South 24 Parganas, West Bengal",Kolkata,West Bengal,700034,7425100233,India,22.4987178,88.3163322,Maternity Care,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Dedicated Women's Health Center offering comprehensive prenatal and postnatal care, Fast-Track Services for common ailments and minor injuries, Multilingual Staff for enhanced patient communication",Maternity Care,Ultrasound - Pregnancy,MATULT555,"Ultrasound imaging to monitor fetal development, assess pregnancy health, and guide prenatal care.",OUTPATIENT,14025.39,,,,,
Vidyasagar State General Hospital,"Vidyasagar State General Hospital, Brahmo Samaj Road, Behala, Kolkata, South 24 Parganas, West Bengal",Kolkata,West Bengal,700034,7425100233,India,22.4987178,88.3163322,Maternity Care,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Dedicated Women's Health Center offering comprehensive prenatal and postnatal care, Fast-Track Services for common ailments and minor injuries, Multilingual Staff for enhanced patient communication",Maternity Care,Ultrasound - Pregnancy,MATULT555,"Ultrasound imaging to monitor fetal development, assess pregnancy health, and guide prenatal care.",OUTPATIENT,14025.39,Raheja QBE General Insurance,Corona Kavach Policy,7734.62,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Vidyasagar State General Hospital,"Vidyasagar State General Hospital, Brahmo Samaj Road, Behala, Kolkata, South 24 Parganas, West Bengal",Kolkata,West Bengal,700034,7425100233,India,22.4987178,88.3163322,Maternity Care,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Dedicated Women's Health Center offering comprehensive prenatal and postnatal care, Fast-Track Services for common ailments and minor injuries, Multilingual Staff for enhanced patient communication",Maternity Care,Ultrasound - Pregnancy,MATULT555,"Ultrasound imaging to monitor fetal development, assess pregnancy health, and guide prenatal care.",OUTPATIENT,14025.39,Universal Sompo General Insurance,Complete Healthcare Insurance,13830.76,False,"No claim bonus benefits, Maternity and newborn cover, Coverage for chronic disease management, Automatic restoration of sum insured, Lifelong renewability, Pre and post-hospitalization expenses"
Vidyasagar State General Hospital,"Vidyasagar State General Hospital, Brahmo Samaj Road, Behala, Kolkata, South 24 Parganas, West Bengal",Kolkata,West Bengal,700034,7425100233,India,22.4987178,88.3163322,Maternity Care,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Dedicated Women's Health Center offering comprehensive prenatal and postnatal care, Fast-Track Services for common ailments and minor injuries, Multilingual Staff for enhanced patient communication",Maternity Care,Ultrasound - Pregnancy,MATULT555,"Ultrasound imaging to monitor fetal development, assess pregnancy health, and guide prenatal care.",OUTPATIENT,14025.39,Exide Life Insurance,Critical Illness Rider,9257.78,True,"Organ donor expenses covered, Unlimited teleconsultations, No room rent limit, No claim bonus benefits, Cashless hospitalization across network hospitals, Coverage for alternative treatments (AYUSH), Tax benefits under Section 80D"
Vidyasagar State General Hospital,"Vidyasagar State General Hospital, Brahmo Samaj Road, Behala, Kolkata, South 24 Parganas, West Bengal",Kolkata,West Bengal,700034,7425100233,India,22.4987178,88.3163322,Maternity Care,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Dedicated Women's Health Center offering comprehensive prenatal and postnatal care, Fast-Track Services for common ailments and minor injuries, Multilingual Staff for enhanced patient communication",Maternity Care,Ultrasound - Pregnancy,MATULT555,"Ultrasound imaging to monitor fetal development, assess pregnancy health, and guide prenatal care.",OUTPATIENT,14025.39,Acko General Insurance,ACKO Platinum Super Top-up Health Insurance Policy,7793.74,True,"Maternity and newborn cover, Organ donor expenses covered, Health and wellness rewards program, Cashless hospitalization across network hospitals, No room rent limit"
Vidyasagar State General Hospital,"Vidyasagar State General Hospital, Brahmo Samaj Road, Behala, Kolkata, South 24 Parganas, West Bengal",Kolkata,West Bengal,700034,7425100233,India,22.4987178,88.3163322,Maternity Care,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Dedicated Women's Health Center offering comprehensive prenatal and postnatal care, Fast-Track Services for common ailments and minor injuries, Multilingual Staff for enhanced patient communication",Maternity Care,Ultrasound - Pregnancy,MATULT555,"Ultrasound imaging to monitor fetal development, assess pregnancy health, and guide prenatal care.",OUTPATIENT,14025.39,IFFCO Tokio General Insurance,Arogya Sanjeevani Policy,19546.82,False,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
