Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Kokilaben Dhirubhai Ambani Hospital,"Kokilaben Dhirubhai Ambani Hospital, Achutrao Pawardhan Marg, Four Bungalows, K/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,402205,7480036160,India,19.1312460,72.8245590,General Medicine,"State-of-the-art medical technology and equipment, Multi-disciplinary team of renowned specialists, /7 emergency and critical care services, Dedicated cardiac and neurosciences centers, Personalized patient care and concierge services",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,11011.61,,,,,
Kokilaben Dhirubhai Ambani Hospital,"Kokilaben Dhirubhai Ambani Hospital, Achutrao Pawardhan Marg, Four Bungalows, K/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,402205,7480036160,India,19.1312460,72.8245590,General Medicine,"State-of-the-art medical technology and equipment, Multi-disciplinary team of renowned specialists, /7 emergency and critical care services, Dedicated cardiac and neurosciences centers, Personalized patient care and concierge services",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,11011.61,ICICI Lombard General Insurance,Health Booster,7817.95,True,"Maternity and newborn cover, Second medical opinion service, International emergency coverage, Tax benefits under Section 80D, Lifelong renewability, Health and wellness rewards program, Coverage for chronic disease management"
Kokilaben Dhirubhai Ambani Hospital,"Kokilaben Dhirubhai Ambani Hospital, Achutrao Pawardhan Marg, Four Bungalows, K/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,402205,7480036160,India,19.1312460,72.8245590,General Medicine,"State-of-the-art medical technology and equipment, Multi-disciplinary team of renowned specialists, /7 emergency and critical care services, Dedicated cardiac and neurosciences centers, Personalized patient care and concierge services",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,11011.61,Niva Bupa Health Insurance,Health Companion,10362.05,False,"Pre and post-hospitalization expenses, International emergency coverage, No room rent limit, Personal accident insurance, Organ donor expenses covered, Cashless hospitalization across network hospitals"
Kokilaben Dhirubhai Ambani Hospital,"Kokilaben Dhirubhai Ambani Hospital, Achutrao Pawardhan Marg, Four Bungalows, K/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,402205,7480036160,India,19.1312460,72.8245590,General Medicine,"State-of-the-art medical technology and equipment, Multi-disciplinary team of renowned specialists, /7 emergency and critical care services, Dedicated cardiac and neurosciences centers, Personalized patient care and concierge services",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,11011.61,SBI General Insurance,Arogya Supreme Policy,9041.62,True,"No claim bonus benefits, Unlimited teleconsultations, Pre and post-hospitalization expenses, Personal accident insurance, Tax benefits under Section 80D, Critical illness coverage, Cashless hospitalization across network hospitals"
Kokilaben Dhirubhai Ambani Hospital,"Kokilaben Dhirubhai Ambani Hospital, Achutrao Pawardhan Marg, Four Bungalows, K/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,402205,7480036160,India,19.1312460,72.8245590,General Medicine,"State-of-the-art medical technology and equipment, Multi-disciplinary team of renowned specialists, /7 emergency and critical care services, Dedicated cardiac and neurosciences centers, Personalized patient care and concierge services",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,5953.81,,,,,
Kokilaben Dhirubhai Ambani Hospital,"Kokilaben Dhirubhai Ambani Hospital, Achutrao Pawardhan Marg, Four Bungalows, K/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,402205,7480036160,India,19.1312460,72.8245590,General Medicine,"State-of-the-art medical technology and equipment, Multi-disciplinary team of renowned specialists, /7 emergency and critical care services, Dedicated cardiac and neurosciences centers, Personalized patient care and concierge services",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,5953.81,Zuno General Insurance (Edelweiss),Health Insurance,5605.63,False,"Coverage for alternative treatments (AYUSH), Organ donor expenses covered, Coverage for chronic disease management, Maternity and newborn cover, Unlimited teleconsultations, Tax benefits under Section 80D"
Kokilaben Dhirubhai Ambani Hospital,"Kokilaben Dhirubhai Ambani Hospital, Achutrao Pawardhan Marg, Four Bungalows, K/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,402205,7480036160,India,19.1312460,72.8245590,General Medicine,"State-of-the-art medical technology and equipment, Multi-disciplinary team of renowned specialists, /7 emergency and critical care services, Dedicated cardiac and neurosciences centers, Personalized patient care and concierge services",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,21261.28,,,,,
Kokilaben Dhirubhai Ambani Hospital,"Kokilaben Dhirubhai Ambani Hospital, Achutrao Pawardhan Marg, Four Bungalows, K/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,402205,7480036160,India,19.1312460,72.8245590,General Medicine,"State-of-the-art medical technology and equipment, Multi-disciplinary team of renowned specialists, /7 emergency and critical care services, Dedicated cardiac and neurosciences centers, Personalized patient care and concierge services",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,21261.28,PNB MetLife Insurance,Critical Illness Rider,10572.29,True,"Organ donor expenses covered, Unlimited teleconsultations, No room rent limit, No claim bonus benefits, Cashless hospitalization across network hospitals, Coverage for alternative treatments (AYUSH), Tax benefits under Section 80D"
Kokilaben Dhirubhai Ambani Hospital,"Kokilaben Dhirubhai Ambani Hospital, Achutrao Pawardhan Marg, Four Bungalows, K/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,402205,7480036160,India,19.1312460,72.8245590,General Medicine,"State-of-the-art medical technology and equipment, Multi-disciplinary team of renowned specialists, /7 emergency and critical care services, Dedicated cardiac and neurosciences centers, Personalized patient care and concierge services",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,21261.28,IFFCO Tokio General Insurance,Individual Medishield Policy,28586.19,False,"Critical illness coverage, Organ donor expenses covered, Unlimited teleconsultations, Daycare treatment coverage, Ambulance cover, Cashless hospitalization across network hospitals, No room rent limit"
Kokilaben Dhirubhai Ambani Hospital,"Kokilaben Dhirubhai Ambani Hospital, Achutrao Pawardhan Marg, Four Bungalows, K/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,402205,7480036160,India,19.1312460,72.8245590,General Medicine,"State-of-the-art medical technology and equipment, Multi-disciplinary team of renowned specialists, /7 emergency and critical care services, Dedicated cardiac and neurosciences centers, Personalized patient care and concierge services",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,21261.28,Liberty General Insurance,Health Connect Policy,10009.24,True,"Tax benefits under Section 80D, Coverage for chronic disease management, Pre and post-hospitalization expenses, Coverage for alternative treatments (AYUSH), International emergency coverage, Automatic restoration of sum insured, No room rent limit"
Kokilaben Dhirubhai Ambani Hospital,"Kokilaben Dhirubhai Ambani Hospital, Achutrao Pawardhan Marg, Four Bungalows, K/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,402205,7480036160,India,19.1312460,72.8245590,General Medicine,"State-of-the-art medical technology and equipment, Multi-disciplinary team of renowned specialists, /7 emergency and critical care services, Dedicated cardiac and neurosciences centers, Personalized patient care and concierge services",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,21261.28,Shriram General Insurance,Corona Kavach Policy,13292.75,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Kokilaben Dhirubhai Ambani Hospital,"Kokilaben Dhirubhai Ambani Hospital, Achutrao Pawardhan Marg, Four Bungalows, K/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,402205,7480036160,India,19.1312460,72.8245590,General Medicine,"State-of-the-art medical technology and equipment, Multi-disciplinary team of renowned specialists, /7 emergency and critical care services, Dedicated cardiac and neurosciences centers, Personalized patient care and concierge services",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,4709.09,,,,,
