Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Aryan Hospital and Iccu - Kurla-Mumbai,"Aryan Hospital and Iccu - Kurla-Mumbai, S.G. Barve Marg, Kurla East, L Ward, Zone 5, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400024,7555170363,India,19.0630077,72.8823915,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,7660.73,,,,,
Aryan Hospital and Iccu - Kurla-Mumbai,"Aryan Hospital and Iccu - Kurla-Mumbai, S.G. Barve Marg, Kurla East, L Ward, Zone 5, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400024,7555170363,India,19.0630077,72.8823915,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,7660.73,Bharti AXA General Insurance,Smart Super Health Insurance Policy,5073.85,True,"Annual health check-ups, Personal accident insurance, Automatic restoration of sum insured, International emergency coverage, No room rent limit, Tax benefits under Section 80D, Ambulance cover"
Aryan Hospital and Iccu - Kurla-Mumbai,"Aryan Hospital and Iccu - Kurla-Mumbai, S.G. Barve Marg, Kurla East, L Ward, Zone 5, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400024,7555170363,India,19.0630077,72.8823915,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,7660.73,Universal Sompo General Insurance,Super Healthcare Insurance,9258.37,False,"Critical illness coverage, Health and wellness rewards program, Organ donor expenses covered, Second medical opinion service, Coverage for chronic disease management, Unlimited teleconsultations"
Aryan Hospital and Iccu - Kurla-Mumbai,"Aryan Hospital and Iccu - Kurla-Mumbai, S.G. Barve Marg, Kurla East, L Ward, Zone 5, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400024,7555170363,India,19.0630077,72.8823915,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,15339.30,,,,,
Aryan Hospital and Iccu - Kurla-Mumbai,"Aryan Hospital and Iccu - Kurla-Mumbai, S.G. Barve Marg, Kurla East, L Ward, Zone 5, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400024,7555170363,India,19.0630077,72.8823915,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,15339.30,ManipalCigna Health Insurance,ProHealth Prime,10945.21,True,"Ambulance cover, No claim bonus benefits, Health and wellness rewards program, Coverage for chronic disease management, Maternity and newborn cover, Cashless hospitalization across network hospitals, Tax benefits under Section 80D"
Aryan Hospital and Iccu - Kurla-Mumbai,"Aryan Hospital and Iccu - Kurla-Mumbai, S.G. Barve Marg, Kurla East, L Ward, Zone 5, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400024,7555170363,India,19.0630077,72.8823915,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,10402.76,,,,,
Aryan Hospital and Iccu - Kurla-Mumbai,"Aryan Hospital and Iccu - Kurla-Mumbai, S.G. Barve Marg, Kurla East, L Ward, Zone 5, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400024,7555170363,India,19.0630077,72.8823915,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,10402.76,The New India Assurance,Premier Mediclaim Policy,11087.21,False,"Pre and post-hospitalization expenses, Annual health check-ups, Unlimited teleconsultations, Health and wellness rewards program, Coverage for alternative treatments (AYUSH)"
Aryan Hospital and Iccu - Kurla-Mumbai,"Aryan Hospital and Iccu - Kurla-Mumbai, S.G. Barve Marg, Kurla East, L Ward, Zone 5, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400024,7555170363,India,19.0630077,72.8823915,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,10402.76,PNB MetLife Insurance,Family Floater Health Plan,8208.24,True,"Unlimited teleconsultations, Tax benefits under Section 80D, Second medical opinion service, International emergency coverage, Lifelong renewability"
Aryan Hospital and Iccu - Kurla-Mumbai,"Aryan Hospital and Iccu - Kurla-Mumbai, S.G. Barve Marg, Kurla East, L Ward, Zone 5, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400024,7555170363,India,19.0630077,72.8823915,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,10402.76,Care Health Insurance,Health Insurance Plan for Individuals,7381.98,True,"Health and wellness rewards program, Ambulance cover, Unlimited teleconsultations, Personal accident insurance, Critical illness coverage, Coverage for chronic disease management, Organ donor expenses covered"
Aryan Hospital and Iccu - Kurla-Mumbai,"Aryan Hospital and Iccu - Kurla-Mumbai, S.G. Barve Marg, Kurla East, L Ward, Zone 5, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400024,7555170363,India,19.0630077,72.8823915,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,10402.76,HDFC ERGO General Insurance,Optima Restore Family Floater,5561.13,True,"Critical illness coverage, Health and wellness rewards program, Ambulance cover, Tax benefits under Section 80D, Coverage for alternative treatments (AYUSH), No claim bonus benefits, International emergency coverage"
Aryan Hospital and Iccu - Kurla-Mumbai,"Aryan Hospital and Iccu - Kurla-Mumbai, S.G. Barve Marg, Kurla East, L Ward, Zone 5, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400024,7555170363,India,19.0630077,72.8823915,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,10402.76,Bharti AXA General Insurance,Smart Super Health Insurance Policy,10338.26,False,"Annual health check-ups, Personal accident insurance, Automatic restoration of sum insured, International emergency coverage, No room rent limit, Tax benefits under Section 80D, Ambulance cover"
Aryan Hospital and Iccu - Kurla-Mumbai,"Aryan Hospital and Iccu - Kurla-Mumbai, S.G. Barve Marg, Kurla East, L Ward, Zone 5, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400024,7555170363,India,19.0630077,72.8823915,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,13957.64,,,,,
Aryan Hospital and Iccu - Kurla-Mumbai,"Aryan Hospital and Iccu - Kurla-Mumbai, S.G. Barve Marg, Kurla East, L Ward, Zone 5, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400024,7555170363,India,19.0630077,72.8823915,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,13957.64,Digit Insurance,Digit Super Top-up Health Insurance,7905.94,True,"International emergency coverage, No claim bonus benefits, Annual health check-ups, Health and wellness rewards program, Automatic restoration of sum insured"
Aryan Hospital and Iccu - Kurla-Mumbai,"Aryan Hospital and Iccu - Kurla-Mumbai, S.G. Barve Marg, Kurla East, L Ward, Zone 5, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400024,7555170363,India,19.0630077,72.8823915,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,13957.64,Aditya Birla Health Insurance,Activ Health Platinum Enhanced,8038.15,True,"Health and wellness rewards program, Personal accident insurance, Pre and post-hospitalization expenses, No room rent limit, Daycare treatment coverage, Automatic restoration of sum insured"
Aryan Hospital and Iccu - Kurla-Mumbai,"Aryan Hospital and Iccu - Kurla-Mumbai, S.G. Barve Marg, Kurla East, L Ward, Zone 5, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400024,7555170363,India,19.0630077,72.8823915,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,13957.64,Bharti AXA General Insurance,Smart Super Health Insurance Policy,12926.86,False,"Annual health check-ups, Personal accident insurance, Automatic restoration of sum insured, International emergency coverage, No room rent limit, Tax benefits under Section 80D, Ambulance cover"
Aryan Hospital and Iccu - Kurla-Mumbai,"Aryan Hospital and Iccu - Kurla-Mumbai, S.G. Barve Marg, Kurla East, L Ward, Zone 5, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400024,7555170363,India,19.0630077,72.8823915,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,13957.64,PNB MetLife Insurance,Guaranteed Savings Plan with Health Cover,9317.16,True,"Pre and post-hospitalization expenses, Organ donor expenses covered, Health and wellness rewards program, Ambulance cover, Personal accident insurance"
Aryan Hospital and Iccu - Kurla-Mumbai,"Aryan Hospital and Iccu - Kurla-Mumbai, S.G. Barve Marg, Kurla East, L Ward, Zone 5, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400024,7555170363,India,19.0630077,72.8823915,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,13957.64,United India Insurance Company,Top-up Medicare Policy,9852.16,True,"No room rent limit, Coverage for chronic disease management, International emergency coverage, Cashless hospitalization across network hospitals, No claim bonus benefits, Lifelong renewability, Personal accident insurance"
Aryan Hospital and Iccu - Kurla-Mumbai,"Aryan Hospital and Iccu - Kurla-Mumbai, S.G. Barve Marg, Kurla East, L Ward, Zone 5, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400024,7555170363,India,19.0630077,72.8823915,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,CT Scan,GENCT709,A non-invasive imaging technique using X-rays to create detailed cross-sectional images of the body's internal structures.,BOTH,1935.74,,,,,
Aryan Hospital and Iccu - Kurla-Mumbai,"Aryan Hospital and Iccu - Kurla-Mumbai, S.G. Barve Marg, Kurla East, L Ward, Zone 5, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400024,7555170363,India,19.0630077,72.8823915,Maternity Care,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",Maternity Care,Pregnancy Checkup,MATPRE574,Comprehensive prenatal care appointments to monitor your health and your baby's development throughout pregnancy.,BOTH,8957.46,,,,,
Aryan Hospital and Iccu - Kurla-Mumbai,"Aryan Hospital and Iccu - Kurla-Mumbai, S.G. Barve Marg, Kurla East, L Ward, Zone 5, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400024,7555170363,India,19.0630077,72.8823915,Maternity Care,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",Maternity Care,Pregnancy Checkup,MATPRE574,Comprehensive prenatal care appointments to monitor your health and your baby's development throughout pregnancy.,BOTH,8957.46,ICICI Lombard General Insurance,Corona Kavach Policy,12475.72,False,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Aryan Hospital and Iccu - Kurla-Mumbai,"Aryan Hospital and Iccu - Kurla-Mumbai, S.G. Barve Marg, Kurla East, L Ward, Zone 5, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400024,7555170363,India,19.0630077,72.8823915,Maternity Care,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",Maternity Care,Pregnancy Checkup,MATPRE574,Comprehensive prenatal care appointments to monitor your health and your baby's development throughout pregnancy.,BOTH,8957.46,Magma HDI General Insurance,Critical Illness Insurance,6229.30,True,"Annual health check-ups, Health and wellness rewards program, Automatic restoration of sum insured, Organ donor expenses covered, International emergency coverage, Cashless hospitalization across network hospitals"
