Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Lilavati Hospital and Research Centre,"Lilavati Hospital and Research Centre, KC Marg, Vaidya Nagar, H/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400050,8229709377,India,19.0509356,72.8291665,General Medicine,"Comprehensive cancer care center, /7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology, Dedicated fast-track services for common ailments",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,18296.39,,,,,
Lilavati Hospital and Research Centre,"Lilavati Hospital and Research Centre, KC Marg, Vaidya Nagar, H/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400050,8229709377,India,19.0509356,72.8291665,General Medicine,"Comprehensive cancer care center, /7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology, Dedicated fast-track services for common ailments",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,18296.39,Zuno General Insurance (Edelweiss),Health Insurance,9309.86,True,"Coverage for alternative treatments (AYUSH), Organ donor expenses covered, Coverage for chronic disease management, Maternity and newborn cover, Unlimited teleconsultations, Tax benefits under Section 80D"
Lilavati Hospital and Research Centre,"Lilavati Hospital and Research Centre, KC Marg, Vaidya Nagar, H/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400050,8229709377,India,19.0509356,72.8291665,General Medicine,"Comprehensive cancer care center, /7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology, Dedicated fast-track services for common ailments",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,18296.39,Star Health and Allied Insurance,Medi Classic Insurance Policy,11942.54,True,"International emergency coverage, Lifelong renewability, No room rent limit, Ambulance cover, Unlimited teleconsultations, Daycare treatment coverage"
Lilavati Hospital and Research Centre,"Lilavati Hospital and Research Centre, KC Marg, Vaidya Nagar, H/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400050,8229709377,India,19.0509356,72.8291665,General Medicine,"Comprehensive cancer care center, /7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology, Dedicated fast-track services for common ailments",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,6608.15,,,,,
Lilavati Hospital and Research Centre,"Lilavati Hospital and Research Centre, KC Marg, Vaidya Nagar, H/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400050,8229709377,India,19.0509356,72.8291665,General Medicine,"Comprehensive cancer care center, /7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology, Dedicated fast-track services for common ailments",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,20942.02,,,,,
Lilavati Hospital and Research Centre,"Lilavati Hospital and Research Centre, KC Marg, Vaidya Nagar, H/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400050,8229709377,India,19.0509356,72.8291665,General Medicine,"Comprehensive cancer care center, /7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology, Dedicated fast-track services for common ailments",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,20942.02,Future Generali India Insurance,Health Absolute,27745.59,False,"Annual health check-ups, Ambulance cover, Pre and post-hospitalization expenses, No claim bonus benefits, Tax benefits under Section 80D, Automatic restoration of sum insured, Second medical opinion service"
Lilavati Hospital and Research Centre,"Lilavati Hospital and Research Centre, KC Marg, Vaidya Nagar, H/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400050,8229709377,India,19.0509356,72.8291665,General Medicine,"Comprehensive cancer care center, /7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology, Dedicated fast-track services for common ailments",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,20942.02,Star Health and Allied Insurance,Young Star Insurance Policy,14612.76,True,"Annual health check-ups, International emergency coverage, Unlimited teleconsultations, No room rent limit, Automatic restoration of sum insured, No claim bonus benefits"
Lilavati Hospital and Research Centre,"Lilavati Hospital and Research Centre, KC Marg, Vaidya Nagar, H/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400050,8229709377,India,19.0509356,72.8291665,General Medicine,"Comprehensive cancer care center, /7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology, Dedicated fast-track services for common ailments",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,20942.02,IFFCO Tokio General Insurance,Family Health Protector,27411.96,False,"Coverage for alternative treatments (AYUSH), International emergency coverage, Critical illness coverage, Tax benefits under Section 80D, No claim bonus benefits, Personal accident insurance"
Lilavati Hospital and Research Centre,"Lilavati Hospital and Research Centre, KC Marg, Vaidya Nagar, H/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400050,8229709377,India,19.0509356,72.8291665,General Medicine,"Comprehensive cancer care center, /7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology, Dedicated fast-track services for common ailments",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,20942.02,Universal Sompo General Insurance,Complete Healthcare Insurance,20481.41,False,"No claim bonus benefits, Maternity and newborn cover, Coverage for chronic disease management, Automatic restoration of sum insured, Lifelong renewability, Pre and post-hospitalization expenses"
Lilavati Hospital and Research Centre,"Lilavati Hospital and Research Centre, KC Marg, Vaidya Nagar, H/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400050,8229709377,India,19.0509356,72.8291665,General Medicine,"Comprehensive cancer care center, /7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology, Dedicated fast-track services for common ailments",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,20942.02,Tata AIA Life Insurance,Cancer Care Plan,26942.45,False,"Ambulance cover, Personal accident insurance, International emergency coverage, Daycare treatment coverage, Maternity and newborn cover, Automatic restoration of sum insured"
Lilavati Hospital and Research Centre,"Lilavati Hospital and Research Centre, KC Marg, Vaidya Nagar, H/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400050,8229709377,India,19.0509356,72.8291665,General Medicine,"Comprehensive cancer care center, /7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology, Dedicated fast-track services for common ailments",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,9181.15,,,,,
Lilavati Hospital and Research Centre,"Lilavati Hospital and Research Centre, KC Marg, Vaidya Nagar, H/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400050,8229709377,India,19.0509356,72.8291665,General Medicine,"Comprehensive cancer care center, /7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology, Dedicated fast-track services for common ailments",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,9181.15,Kotak Mahindra Health Insurance,Critical Illness Cover,6582.95,True,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
Lilavati Hospital and Research Centre,"Lilavati Hospital and Research Centre, KC Marg, Vaidya Nagar, H/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400050,8229709377,India,19.0509356,72.8291665,General Medicine,"Comprehensive cancer care center, /7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology, Dedicated fast-track services for common ailments",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,9181.15,Aviva Life Insurance,Health Secure Plan,4306.60,True,"No room rent limit, Tax benefits under Section 80D, Organ donor expenses covered, Annual health check-ups, No claim bonus benefits"
