Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
"Patel Nursing Home, Mumbai","Patel Nursing Home, Mumbai, Swami Vivekanand Road, Sumer Nagar, R/C Ward, Zone 4, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400092,7660103108,India,19.2269461,72.8549309,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,2831.95,,,,,
"Patel Nursing Home, Mumbai","Patel Nursing Home, Mumbai, Swami Vivekanand Road, Sumer Nagar, R/C Ward, Zone 4, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400092,7660103108,India,19.2269461,72.8549309,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,2831.95,Oriental Insurance Company,Happy Family Floater Policy,1428.25,True,"Second medical opinion service, Critical illness coverage, Cashless hospitalization across network hospitals, Personal accident insurance, No claim bonus benefits, Coverage for chronic disease management"
"Patel Nursing Home, Mumbai","Patel Nursing Home, Mumbai, Swami Vivekanand Road, Sumer Nagar, R/C Ward, Zone 4, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400092,7660103108,India,19.2269461,72.8549309,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,2831.95,Liberty General Insurance,Secure Health Connect Policy,1746.90,True,"Coverage for alternative treatments (AYUSH), Personal accident insurance, International emergency coverage, Daycare treatment coverage, Coverage for chronic disease management, Ambulance cover, Critical illness coverage"
"Patel Nursing Home, Mumbai","Patel Nursing Home, Mumbai, Swami Vivekanand Road, Sumer Nagar, R/C Ward, Zone 4, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400092,7660103108,India,19.2269461,72.8549309,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,2831.95,SBI General Insurance,Critical Illness Insurance Policy,3352.27,False,"Daycare treatment coverage, No room rent limit, Critical illness coverage, Health and wellness rewards program, Organ donor expenses covered"
"Patel Nursing Home, Mumbai","Patel Nursing Home, Mumbai, Swami Vivekanand Road, Sumer Nagar, R/C Ward, Zone 4, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400092,7660103108,India,19.2269461,72.8549309,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,2831.95,Magma HDI General Insurance,Arogya Sanjeevani Policy,2238.98,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
"Patel Nursing Home, Mumbai","Patel Nursing Home, Mumbai, Swami Vivekanand Road, Sumer Nagar, R/C Ward, Zone 4, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400092,7660103108,India,19.2269461,72.8549309,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,1206.94,,,,,
"Patel Nursing Home, Mumbai","Patel Nursing Home, Mumbai, Swami Vivekanand Road, Sumer Nagar, R/C Ward, Zone 4, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400092,7660103108,India,19.2269461,72.8549309,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,1206.94,Cholamandalam MS General Insurance,Chola MS Top-up Healthline,709.29,True,"Cashless hospitalization across network hospitals, Lifelong renewability, Second medical opinion service, Ambulance cover, Coverage for chronic disease management, Personal accident insurance, Coverage for alternative treatments (AYUSH)"
"Patel Nursing Home, Mumbai","Patel Nursing Home, Mumbai, Swami Vivekanand Road, Sumer Nagar, R/C Ward, Zone 4, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400092,7660103108,India,19.2269461,72.8549309,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,1206.94,Liberty General Insurance,Corona Kavach Policy,898.28,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
"Patel Nursing Home, Mumbai","Patel Nursing Home, Mumbai, Swami Vivekanand Road, Sumer Nagar, R/C Ward, Zone 4, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400092,7660103108,India,19.2269461,72.8549309,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,1206.94,Care Health Insurance,Health Insurance Plan for Individuals,1326.93,False,"Health and wellness rewards program, Ambulance cover, Unlimited teleconsultations, Personal accident insurance, Critical illness coverage, Coverage for chronic disease management, Organ donor expenses covered"
"Patel Nursing Home, Mumbai","Patel Nursing Home, Mumbai, Swami Vivekanand Road, Sumer Nagar, R/C Ward, Zone 4, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400092,7660103108,India,19.2269461,72.8549309,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,7705.17,,,,,
"Patel Nursing Home, Mumbai","Patel Nursing Home, Mumbai, Swami Vivekanand Road, Sumer Nagar, R/C Ward, Zone 4, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400092,7660103108,India,19.2269461,72.8549309,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,7705.17,Aditya Birla Health Insurance,Activ Care Classic,3552.96,True,"Personal accident insurance, Cashless hospitalization across network hospitals, Tax benefits under Section 80D, Coverage for chronic disease management, Automatic restoration of sum insured, No claim bonus benefits, Maternity and newborn cover"
