Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Be well Hospital Puducherry,"Be well Hospital Puducherry, 15, East Coast Road, Saram, Karuvadikuppam, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605008,9832104857,India,11.9508246,79.8153256,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Fast-Track Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,10428.56,,,,,
Be well Hospital Puducherry,"Be well Hospital Puducherry, 15, East Coast Road, Saram, Karuvadikuppam, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605008,9832104857,India,11.9508246,79.8153256,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Fast-Track Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,10428.56,Niva Bupa Health Insurance,GoActive,4781.19,True,"Lifelong renewability, No room rent limit, Pre and post-hospitalization expenses, Automatic restoration of sum insured, Coverage for alternative treatments (AYUSH), Unlimited teleconsultations, Second medical opinion service"
Be well Hospital Puducherry,"Be well Hospital Puducherry, 15, East Coast Road, Saram, Karuvadikuppam, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605008,9832104857,India,11.9508246,79.8153256,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Fast-Track Urgent Care",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,8267.12,,,,,
Be well Hospital Puducherry,"Be well Hospital Puducherry, 15, East Coast Road, Saram, Karuvadikuppam, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605008,9832104857,India,11.9508246,79.8153256,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Fast-Track Urgent Care",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,8267.12,SBI General Insurance,Hospital Daily Cash Insurance Policy,4072.63,True,"Daycare treatment coverage, Critical illness coverage, Tax benefits under Section 80D, Health and wellness rewards program, Annual health check-ups"
Be well Hospital Puducherry,"Be well Hospital Puducherry, 15, East Coast Road, Saram, Karuvadikuppam, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605008,9832104857,India,11.9508246,79.8153256,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Fast-Track Urgent Care",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,8267.12,Care Health Insurance,Maternity Health Insurance,6314.79,True,"Cashless hospitalization across network hospitals, Tax benefits under Section 80D, Coverage for chronic disease management, Maternity and newborn cover, Pre and post-hospitalization expenses, Second medical opinion service, Daycare treatment coverage"
Be well Hospital Puducherry,"Be well Hospital Puducherry, 15, East Coast Road, Saram, Karuvadikuppam, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605008,9832104857,India,11.9508246,79.8153256,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Fast-Track Urgent Care",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,8267.12,Reliance General Insurance,HealthGain,5311.58,True,"Unlimited teleconsultations, Organ donor expenses covered, Cashless hospitalization across network hospitals, Annual health check-ups, Critical illness coverage, Maternity and newborn cover"
Be well Hospital Puducherry,"Be well Hospital Puducherry, 15, East Coast Road, Saram, Karuvadikuppam, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605008,9832104857,India,11.9508246,79.8153256,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Fast-Track Urgent Care",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,8267.12,Exide Life Insurance,Cancer Protection Plan,5752.92,True,"No room rent limit, Critical illness coverage, International emergency coverage, Tax benefits under Section 80D, Pre and post-hospitalization expenses, Maternity and newborn cover, Unlimited teleconsultations"
Be well Hospital Puducherry,"Be well Hospital Puducherry, 15, East Coast Road, Saram, Karuvadikuppam, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605008,9832104857,India,11.9508246,79.8153256,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Fast-Track Urgent Care",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,8267.12,Star Health and Allied Insurance,Senior Citizens Red Carpet Health Insurance,6944.03,True,"Personal accident insurance, Daycare treatment coverage, Unlimited teleconsultations, Health and wellness rewards program, Second medical opinion service, Critical illness coverage"
Be well Hospital Puducherry,"Be well Hospital Puducherry, 15, East Coast Road, Saram, Karuvadikuppam, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605008,9832104857,India,11.9508246,79.8153256,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Fast-Track Urgent Care",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,8267.12,Shriram General Insurance,Critical Illness Cover,6751.40,True,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
Be well Hospital Puducherry,"Be well Hospital Puducherry, 15, East Coast Road, Saram, Karuvadikuppam, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605008,9832104857,India,11.9508246,79.8153256,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Fast-Track Urgent Care",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,8267.12,Kotak Mahindra Health Insurance,Arogya Sanjeevani Policy,3992.44,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
