Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
East Coast Hospitals,"East Coast Hospitals, Saniyasikuppam Road, Moolakulam, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605010,7690154540,India,11.9299638,79.7794327,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Same-Day Appointment Availability for Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,12517.83,,,,,
East Coast Hospitals,"East Coast Hospitals, Saniyasikuppam Road, Moolakulam, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605010,7690154540,India,11.9299638,79.7794327,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Same-Day Appointment Availability for Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,12517.83,IFFCO Tokio General Insurance,Critical Illness Benefit Policy,7060.73,True,"International emergency coverage, Cashless hospitalization across network hospitals, Annual health check-ups, No room rent limit, Unlimited teleconsultations"
East Coast Hospitals,"East Coast Hospitals, Saniyasikuppam Road, Moolakulam, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605010,7690154540,India,11.9299638,79.7794327,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Same-Day Appointment Availability for Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,12517.83,Future Generali India Insurance,Health Suraksha,8009.49,True,"Annual health check-ups, Health and wellness rewards program, Lifelong renewability, No claim bonus benefits, Coverage for chronic disease management, Critical illness coverage"
East Coast Hospitals,"East Coast Hospitals, Saniyasikuppam Road, Moolakulam, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605010,7690154540,India,11.9299638,79.7794327,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Same-Day Appointment Availability for Urgent Care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,9471.64,,,,,
East Coast Hospitals,"East Coast Hospitals, Saniyasikuppam Road, Moolakulam, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605010,7690154540,India,11.9299638,79.7794327,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Same-Day Appointment Availability for Urgent Care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,9471.64,Magma HDI General Insurance,Super Top-up Insurance,5547.19,True,"Daycare treatment coverage, Coverage for chronic disease management, International emergency coverage, No room rent limit, Health and wellness rewards program, Personal accident insurance"
East Coast Hospitals,"East Coast Hospitals, Saniyasikuppam Road, Moolakulam, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605010,7690154540,India,11.9299638,79.7794327,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Same-Day Appointment Availability for Urgent Care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,9471.64,Aditya Birla Health Insurance,Activ Health Platinum Essential,10633.01,False,"Lifelong renewability, Coverage for alternative treatments (AYUSH), Ambulance cover, Daycare treatment coverage, Tax benefits under Section 80D, Maternity and newborn cover, Personal accident insurance"
East Coast Hospitals,"East Coast Hospitals, Saniyasikuppam Road, Moolakulam, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605010,7690154540,India,11.9299638,79.7794327,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Same-Day Appointment Availability for Urgent Care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,9471.64,The New India Assurance,Mediclaim Policy,6920.58,True,"Lifelong renewability, Daycare treatment coverage, Health and wellness rewards program, Second medical opinion service, Coverage for chronic disease management, Pre and post-hospitalization expenses"
East Coast Hospitals,"East Coast Hospitals, Saniyasikuppam Road, Moolakulam, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605010,7690154540,India,11.9299638,79.7794327,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Same-Day Appointment Availability for Urgent Care",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,1713.55,,,,,
East Coast Hospitals,"East Coast Hospitals, Saniyasikuppam Road, Moolakulam, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605010,7690154540,India,11.9299638,79.7794327,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Same-Day Appointment Availability for Urgent Care",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,1713.55,Bharti AXA General Insurance,Smart Super Health Insurance Policy,1439.03,True,"Annual health check-ups, Personal accident insurance, Automatic restoration of sum insured, International emergency coverage, No room rent limit, Tax benefits under Section 80D, Ambulance cover"
East Coast Hospitals,"East Coast Hospitals, Saniyasikuppam Road, Moolakulam, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605010,7690154540,India,11.9299638,79.7794327,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Same-Day Appointment Availability for Urgent Care",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,9028.14,,,,,
East Coast Hospitals,"East Coast Hospitals, Saniyasikuppam Road, Moolakulam, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605010,7690154540,India,11.9299638,79.7794327,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Same-Day Appointment Availability for Urgent Care",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,9028.14,ICICI Lombard General Insurance,Complete Health Insurance,4450.74,True,"Maternity and newborn cover, Pre and post-hospitalization expenses, Health and wellness rewards program, Lifelong renewability, No room rent limit, Critical illness coverage, No claim bonus benefits"
East Coast Hospitals,"East Coast Hospitals, Saniyasikuppam Road, Moolakulam, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605010,7690154540,India,11.9299638,79.7794327,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Same-Day Appointment Availability for Urgent Care",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,9028.14,Exide Life Insurance,Critical Illness Rider,7246.55,True,"Organ donor expenses covered, Unlimited teleconsultations, No room rent limit, No claim bonus benefits, Cashless hospitalization across network hospitals, Coverage for alternative treatments (AYUSH), Tax benefits under Section 80D"
East Coast Hospitals,"East Coast Hospitals, Saniyasikuppam Road, Moolakulam, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605010,7690154540,India,11.9299638,79.7794327,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Same-Day Appointment Availability for Urgent Care",General Medicine,CT Scan,GENCT709,A non-invasive imaging technique using X-rays to create detailed cross-sectional images of the body's internal structures.,BOTH,2028.47,,,,,
East Coast Hospitals,"East Coast Hospitals, Saniyasikuppam Road, Moolakulam, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605010,7690154540,India,11.9299638,79.7794327,General Medicine,"Advanced Cardiac Care Center, On-site Pharmacy, Dedicated Pediatric Unit, Same-Day Appointment Availability for Urgent Care",General Medicine,CT Scan,GENCT709,A non-invasive imaging technique using X-rays to create detailed cross-sectional images of the body's internal structures.,BOTH,2028.47,Magma HDI General Insurance,Super Top-up Insurance,1324.51,True,"Daycare treatment coverage, Coverage for chronic disease management, International emergency coverage, No room rent limit, Health and wellness rewards program, Personal accident insurance"
