Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Mahatma Gandhi Medical College and Research Institute,"Mahatma Gandhi Medical College and Research Institute, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607402,8355454743,India,11.8120785,79.7783375,General Medicine,"State-of-the-art diagnostic imaging center with advanced technology., Comprehensive cardiology department with specialized cardiac surgeons and interventional cardiologists., /7 emergency services with dedicated trauma care unit., Dedicated oncology center offering advanced cancer treatment options., Fast-track services for common ailments and minor injuries.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,1715.87,,,,,
Mahatma Gandhi Medical College and Research Institute,"Mahatma Gandhi Medical College and Research Institute, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607402,8355454743,India,11.8120785,79.7783375,General Medicine,"State-of-the-art diagnostic imaging center with advanced technology., Comprehensive cardiology department with specialized cardiac surgeons and interventional cardiologists., /7 emergency services with dedicated trauma care unit., Dedicated oncology center offering advanced cancer treatment options., Fast-track services for common ailments and minor injuries.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,1715.87,Liberty General Insurance,Secure Health Connect Policy,930.94,True,"Coverage for alternative treatments (AYUSH), Personal accident insurance, International emergency coverage, Daycare treatment coverage, Coverage for chronic disease management, Ambulance cover, Critical illness coverage"
Mahatma Gandhi Medical College and Research Institute,"Mahatma Gandhi Medical College and Research Institute, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607402,8355454743,India,11.8120785,79.7783375,General Medicine,"State-of-the-art diagnostic imaging center with advanced technology., Comprehensive cardiology department with specialized cardiac surgeons and interventional cardiologists., /7 emergency services with dedicated trauma care unit., Dedicated oncology center offering advanced cancer treatment options., Fast-track services for common ailments and minor injuries.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,1715.87,Star Health and Allied Insurance,Comprehensive Insurance Policy,848.81,True,"Pre and post-hospitalization expenses, Critical illness coverage, Second medical opinion service, Personal accident insurance, Health and wellness rewards program, No room rent limit, Organ donor expenses covered"
Mahatma Gandhi Medical College and Research Institute,"Mahatma Gandhi Medical College and Research Institute, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607402,8355454743,India,11.8120785,79.7783375,General Medicine,"State-of-the-art diagnostic imaging center with advanced technology., Comprehensive cardiology department with specialized cardiac surgeons and interventional cardiologists., /7 emergency services with dedicated trauma care unit., Dedicated oncology center offering advanced cancer treatment options., Fast-track services for common ailments and minor injuries.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,1715.87,United India Insurance Company,Top-up Medicare Policy,1444.08,True,"No room rent limit, Coverage for chronic disease management, International emergency coverage, Cashless hospitalization across network hospitals, No claim bonus benefits, Lifelong renewability, Personal accident insurance"
Mahatma Gandhi Medical College and Research Institute,"Mahatma Gandhi Medical College and Research Institute, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607402,8355454743,India,11.8120785,79.7783375,General Medicine,"State-of-the-art diagnostic imaging center with advanced technology., Comprehensive cardiology department with specialized cardiac surgeons and interventional cardiologists., /7 emergency services with dedicated trauma care unit., Dedicated oncology center offering advanced cancer treatment options., Fast-track services for common ailments and minor injuries.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,1715.87,Acko General Insurance,Arogya Sanjeevani by ACKO,1065.99,True,"International emergency coverage, Cashless hospitalization across network hospitals, Coverage for chronic disease management, Annual health check-ups, Maternity and newborn cover, Tax benefits under Section 80D, Coverage for alternative treatments (AYUSH)"
Mahatma Gandhi Medical College and Research Institute,"Mahatma Gandhi Medical College and Research Institute, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607402,8355454743,India,11.8120785,79.7783375,General Medicine,"State-of-the-art diagnostic imaging center with advanced technology., Comprehensive cardiology department with specialized cardiac surgeons and interventional cardiologists., /7 emergency services with dedicated trauma care unit., Dedicated oncology center offering advanced cancer treatment options., Fast-track services for common ailments and minor injuries.",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,14270.64,,,,,
Mahatma Gandhi Medical College and Research Institute,"Mahatma Gandhi Medical College and Research Institute, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607402,8355454743,India,11.8120785,79.7783375,General Medicine,"State-of-the-art diagnostic imaging center with advanced technology., Comprehensive cardiology department with specialized cardiac surgeons and interventional cardiologists., /7 emergency services with dedicated trauma care unit., Dedicated oncology center offering advanced cancer treatment options., Fast-track services for common ailments and minor injuries.",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,14270.64,Zuno General Insurance (Edelweiss),Health Insurance,8922.68,True,"Coverage for alternative treatments (AYUSH), Organ donor expenses covered, Coverage for chronic disease management, Maternity and newborn cover, Unlimited teleconsultations, Tax benefits under Section 80D"
Mahatma Gandhi Medical College and Research Institute,"Mahatma Gandhi Medical College and Research Institute, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607402,8355454743,India,11.8120785,79.7783375,General Medicine,"State-of-the-art diagnostic imaging center with advanced technology., Comprehensive cardiology department with specialized cardiac surgeons and interventional cardiologists., /7 emergency services with dedicated trauma care unit., Dedicated oncology center offering advanced cancer treatment options., Fast-track services for common ailments and minor injuries.",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,14270.64,Exide Life Insurance,Critical Illness Rider,7321.45,True,"Organ donor expenses covered, Unlimited teleconsultations, No room rent limit, No claim bonus benefits, Cashless hospitalization across network hospitals, Coverage for alternative treatments (AYUSH), Tax benefits under Section 80D"
Mahatma Gandhi Medical College and Research Institute,"Mahatma Gandhi Medical College and Research Institute, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607402,8355454743,India,11.8120785,79.7783375,General Medicine,"State-of-the-art diagnostic imaging center with advanced technology., Comprehensive cardiology department with specialized cardiac surgeons and interventional cardiologists., /7 emergency services with dedicated trauma care unit., Dedicated oncology center offering advanced cancer treatment options., Fast-track services for common ailments and minor injuries.",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,14270.64,ICICI Lombard General Insurance,Corona Kavach Policy,8302.33,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Mahatma Gandhi Medical College and Research Institute,"Mahatma Gandhi Medical College and Research Institute, NH32, Pillayarkuppam, Bahour Taluk, Puducherry",Pillayarkuppam,Puducherry,607402,8355454743,India,11.8120785,79.7783375,General Medicine,"State-of-the-art diagnostic imaging center with advanced technology., Comprehensive cardiology department with specialized cardiac surgeons and interventional cardiologists., /7 emergency services with dedicated trauma care unit., Dedicated oncology center offering advanced cancer treatment options., Fast-track services for common ailments and minor injuries.",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,14270.64,SBI General Insurance,Arogya Supreme Policy,7765.38,True,"No claim bonus benefits, Unlimited teleconsultations, Pre and post-hospitalization expenses, Personal accident insurance, Tax benefits under Section 80D, Critical illness coverage, Cashless hospitalization across network hospitals"
