Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
New Medical Centre,"New Medical Centre, Route Mahatma Gandhi, Bharathipuram, Odiansalai, Puducherry, Puducherry Taluk, Puducherry",Puducherry,Puducherry,605001,7640795902,India,11.9298443,79.8280270,General Medicine,"State-of-the-art Surgical Suites, Dedicated Oncology Department, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,15399.74,,,,,
New Medical Centre,"New Medical Centre, Route Mahatma Gandhi, Bharathipuram, Odiansalai, Puducherry, Puducherry Taluk, Puducherry",Puducherry,Puducherry,605001,7640795902,India,11.9298443,79.8280270,General Medicine,"State-of-the-art Surgical Suites, Dedicated Oncology Department, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,15399.74,Care Health Insurance,Super Top-up Health Insurance,11906.38,True,"Maternity and newborn cover, Personal accident insurance, Annual health check-ups, Tax benefits under Section 80D, Pre and post-hospitalization expenses"
New Medical Centre,"New Medical Centre, Route Mahatma Gandhi, Bharathipuram, Odiansalai, Puducherry, Puducherry Taluk, Puducherry",Puducherry,Puducherry,605001,7640795902,India,11.9298443,79.8280270,General Medicine,"State-of-the-art Surgical Suites, Dedicated Oncology Department, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,15399.74,IFFCO Tokio General Insurance,Arogya Sanjeevani Policy,11826.46,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
New Medical Centre,"New Medical Centre, Route Mahatma Gandhi, Bharathipuram, Odiansalai, Puducherry, Puducherry Taluk, Puducherry",Puducherry,Puducherry,605001,7640795902,India,11.9298443,79.8280270,General Medicine,"State-of-the-art Surgical Suites, Dedicated Oncology Department, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,15399.74,Magma HDI General Insurance,OneHealth Insurance Policy,12939.60,True,"Tax benefits under Section 80D, International emergency coverage, Ambulance cover, No claim bonus benefits, Daycare treatment coverage, Second medical opinion service"
New Medical Centre,"New Medical Centre, Route Mahatma Gandhi, Bharathipuram, Odiansalai, Puducherry, Puducherry Taluk, Puducherry",Puducherry,Puducherry,605001,7640795902,India,11.9298443,79.8280270,General Medicine,"State-of-the-art Surgical Suites, Dedicated Oncology Department, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,15399.74,Oriental Insurance Company,Critical Illness Policy,20199.76,False,"Pre and post-hospitalization expenses, Tax benefits under Section 80D, Critical illness coverage, Personal accident insurance, Unlimited teleconsultations, Second medical opinion service"
New Medical Centre,"New Medical Centre, Route Mahatma Gandhi, Bharathipuram, Odiansalai, Puducherry, Puducherry Taluk, Puducherry",Puducherry,Puducherry,605001,7640795902,India,11.9298443,79.8280270,General Medicine,"State-of-the-art Surgical Suites, Dedicated Oncology Department, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,15399.74,Aditya Birla Health Insurance,Activ Health Platinum Premiere,10629.52,True,"Unlimited teleconsultations, Coverage for alternative treatments (AYUSH), No claim bonus benefits, Organ donor expenses covered, No room rent limit, Personal accident insurance, Health and wellness rewards program"
New Medical Centre,"New Medical Centre, Route Mahatma Gandhi, Bharathipuram, Odiansalai, Puducherry, Puducherry Taluk, Puducherry",Puducherry,Puducherry,605001,7640795902,India,11.9298443,79.8280270,General Medicine,"State-of-the-art Surgical Suites, Dedicated Oncology Department, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,15399.74,Acko General Insurance,Corona Kavach by ACKO,11904.57,True,"International emergency coverage, Second medical opinion service, Daycare treatment coverage, Unlimited teleconsultations, Maternity and newborn cover, Coverage for chronic disease management"
New Medical Centre,"New Medical Centre, Route Mahatma Gandhi, Bharathipuram, Odiansalai, Puducherry, Puducherry Taluk, Puducherry",Puducherry,Puducherry,605001,7640795902,India,11.9298443,79.8280270,General Medicine,"State-of-the-art Surgical Suites, Dedicated Oncology Department, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,15399.74,HDFC ERGO General Insurance,Health Suraksha,8106.83,True,"Annual health check-ups, Health and wellness rewards program, Lifelong renewability, No claim bonus benefits, Coverage for chronic disease management, Critical illness coverage"
New Medical Centre,"New Medical Centre, Route Mahatma Gandhi, Bharathipuram, Odiansalai, Puducherry, Puducherry Taluk, Puducherry",Puducherry,Puducherry,605001,7640795902,India,11.9298443,79.8280270,General Medicine,"State-of-the-art Surgical Suites, Dedicated Oncology Department, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,3212.46,,,,,
New Medical Centre,"New Medical Centre, Route Mahatma Gandhi, Bharathipuram, Odiansalai, Puducherry, Puducherry Taluk, Puducherry",Puducherry,Puducherry,605001,7640795902,India,11.9298443,79.8280270,General Medicine,"State-of-the-art Surgical Suites, Dedicated Oncology Department, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,3212.46,Star Health and Allied Insurance,Comprehensive Insurance Policy,2382.68,True,"Pre and post-hospitalization expenses, Critical illness coverage, Second medical opinion service, Personal accident insurance, Health and wellness rewards program, No room rent limit, Organ donor expenses covered"
New Medical Centre,"New Medical Centre, Route Mahatma Gandhi, Bharathipuram, Odiansalai, Puducherry, Puducherry Taluk, Puducherry",Puducherry,Puducherry,605001,7640795902,India,11.9298443,79.8280270,General Medicine,"State-of-the-art Surgical Suites, Dedicated Oncology Department, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,3212.46,Magma HDI General Insurance,Super Top-up Insurance,1536.75,True,"Daycare treatment coverage, Coverage for chronic disease management, International emergency coverage, No room rent limit, Health and wellness rewards program, Personal accident insurance"
New Medical Centre,"New Medical Centre, Route Mahatma Gandhi, Bharathipuram, Odiansalai, Puducherry, Puducherry Taluk, Puducherry",Puducherry,Puducherry,605001,7640795902,India,11.9298443,79.8280270,General Medicine,"State-of-the-art Surgical Suites, Dedicated Oncology Department, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,16073.94,,,,,
New Medical Centre,"New Medical Centre, Route Mahatma Gandhi, Bharathipuram, Odiansalai, Puducherry, Puducherry Taluk, Puducherry",Puducherry,Puducherry,605001,7640795902,India,11.9298443,79.8280270,General Medicine,"State-of-the-art Surgical Suites, Dedicated Oncology Department, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,16073.94,Digit Insurance,Digit Health Insurance,17482.83,False,"No room rent limit, Pre and post-hospitalization expenses, Tax benefits under Section 80D, Second medical opinion service, Coverage for chronic disease management"
New Medical Centre,"New Medical Centre, Route Mahatma Gandhi, Bharathipuram, Odiansalai, Puducherry, Puducherry Taluk, Puducherry",Puducherry,Puducherry,605001,7640795902,India,11.9298443,79.8280270,General Medicine,"State-of-the-art Surgical Suites, Dedicated Oncology Department, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,16073.94,Future Generali India Insurance,Health Elite,16104.51,False,"Annual health check-ups, No claim bonus benefits, Maternity and newborn cover, International emergency coverage, Cashless hospitalization across network hospitals, Second medical opinion service, Personal accident insurance"
New Medical Centre,"New Medical Centre, Route Mahatma Gandhi, Bharathipuram, Odiansalai, Puducherry, Puducherry Taluk, Puducherry",Puducherry,Puducherry,605001,7640795902,India,11.9298443,79.8280270,General Medicine,"State-of-the-art Surgical Suites, Dedicated Oncology Department, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,16073.94,Care Health Insurance,Family Health Insurance Plan,16011.67,False,"Organ donor expenses covered, Personal accident insurance, Daycare treatment coverage, Cashless hospitalization across network hospitals, Health and wellness rewards program, Tax benefits under Section 80D"
New Medical Centre,"New Medical Centre, Route Mahatma Gandhi, Bharathipuram, Odiansalai, Puducherry, Puducherry Taluk, Puducherry",Puducherry,Puducherry,605001,7640795902,India,11.9298443,79.8280270,General Medicine,"State-of-the-art Surgical Suites, Dedicated Oncology Department, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,17335.38,,,,,
New Medical Centre,"New Medical Centre, Route Mahatma Gandhi, Bharathipuram, Odiansalai, Puducherry, Puducherry Taluk, Puducherry",Puducherry,Puducherry,605001,7640795902,India,11.9298443,79.8280270,General Medicine,"State-of-the-art Surgical Suites, Dedicated Oncology Department, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,17335.38,Aditya Birla Health Insurance,Activ Health Platinum Enhanced,22961.06,False,"Health and wellness rewards program, Personal accident insurance, Pre and post-hospitalization expenses, No room rent limit, Daycare treatment coverage, Automatic restoration of sum insured"
