Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Sri Manakula Vinayagar Medical College Hospital Blood Bank,"Sri Manakula Vinayagar Medical College Hospital Blood Bank, Villupuram - Puducherry Saalai, Kalitheerthalkuppam, Villianur Taluk, Puducherry",Kalitheerthalkuppam,Puducherry,605107,7450792445,India,11.9215860,79.6281968,General Medicine,"State-of-the-art diagnostic imaging center, /7 emergency services with dedicated trauma care, Comprehensive cardiology department with advanced interventional procedures, Specialized pediatric care unit with experienced neonatologists, Multilingual staff to cater to diverse patient populations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,11133.74,,,,,
Sri Manakula Vinayagar Medical College Hospital Blood Bank,"Sri Manakula Vinayagar Medical College Hospital Blood Bank, Villupuram - Puducherry Saalai, Kalitheerthalkuppam, Villianur Taluk, Puducherry",Kalitheerthalkuppam,Puducherry,605107,7450792445,India,11.9215860,79.6281968,General Medicine,"State-of-the-art diagnostic imaging center, /7 emergency services with dedicated trauma care, Comprehensive cardiology department with advanced interventional procedures, Specialized pediatric care unit with experienced neonatologists, Multilingual staff to cater to diverse patient populations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,11133.74,Acko General Insurance,Arogya Sanjeevani by ACKO,9168.89,True,"International emergency coverage, Cashless hospitalization across network hospitals, Coverage for chronic disease management, Annual health check-ups, Maternity and newborn cover, Tax benefits under Section 80D, Coverage for alternative treatments (AYUSH)"
Sri Manakula Vinayagar Medical College Hospital Blood Bank,"Sri Manakula Vinayagar Medical College Hospital Blood Bank, Villupuram - Puducherry Saalai, Kalitheerthalkuppam, Villianur Taluk, Puducherry",Kalitheerthalkuppam,Puducherry,605107,7450792445,India,11.9215860,79.6281968,General Medicine,"State-of-the-art diagnostic imaging center, /7 emergency services with dedicated trauma care, Comprehensive cardiology department with advanced interventional procedures, Specialized pediatric care unit with experienced neonatologists, Multilingual staff to cater to diverse patient populations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,11133.74,Star Health and Allied Insurance,Medi Classic Insurance Policy,10337.35,False,"International emergency coverage, Lifelong renewability, No room rent limit, Ambulance cover, Unlimited teleconsultations, Daycare treatment coverage"
Sri Manakula Vinayagar Medical College Hospital Blood Bank,"Sri Manakula Vinayagar Medical College Hospital Blood Bank, Villupuram - Puducherry Saalai, Kalitheerthalkuppam, Villianur Taluk, Puducherry",Kalitheerthalkuppam,Puducherry,605107,7450792445,India,11.9215860,79.6281968,General Medicine,"State-of-the-art diagnostic imaging center, /7 emergency services with dedicated trauma care, Comprehensive cardiology department with advanced interventional procedures, Specialized pediatric care unit with experienced neonatologists, Multilingual staff to cater to diverse patient populations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,11133.74,Bharti AXA General Insurance,Arogya Sanjeevani Policy,5908.93,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Sri Manakula Vinayagar Medical College Hospital Blood Bank,"Sri Manakula Vinayagar Medical College Hospital Blood Bank, Villupuram - Puducherry Saalai, Kalitheerthalkuppam, Villianur Taluk, Puducherry",Kalitheerthalkuppam,Puducherry,605107,7450792445,India,11.9215860,79.6281968,General Medicine,"State-of-the-art diagnostic imaging center, /7 emergency services with dedicated trauma care, Comprehensive cardiology department with advanced interventional procedures, Specialized pediatric care unit with experienced neonatologists, Multilingual staff to cater to diverse patient populations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,11133.74,Magma HDI General Insurance,Arogya Sanjeevani Policy,8992.44,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Sri Manakula Vinayagar Medical College Hospital Blood Bank,"Sri Manakula Vinayagar Medical College Hospital Blood Bank, Villupuram - Puducherry Saalai, Kalitheerthalkuppam, Villianur Taluk, Puducherry",Kalitheerthalkuppam,Puducherry,605107,7450792445,India,11.9215860,79.6281968,General Medicine,"State-of-the-art diagnostic imaging center, /7 emergency services with dedicated trauma care, Comprehensive cardiology department with advanced interventional procedures, Specialized pediatric care unit with experienced neonatologists, Multilingual staff to cater to diverse patient populations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,11133.74,Universal Sompo General Insurance,Complete Healthcare Insurance,5443.25,True,"No claim bonus benefits, Maternity and newborn cover, Coverage for chronic disease management, Automatic restoration of sum insured, Lifelong renewability, Pre and post-hospitalization expenses"
Sri Manakula Vinayagar Medical College Hospital Blood Bank,"Sri Manakula Vinayagar Medical College Hospital Blood Bank, Villupuram - Puducherry Saalai, Kalitheerthalkuppam, Villianur Taluk, Puducherry",Kalitheerthalkuppam,Puducherry,605107,7450792445,India,11.9215860,79.6281968,General Medicine,"State-of-the-art diagnostic imaging center, /7 emergency services with dedicated trauma care, Comprehensive cardiology department with advanced interventional procedures, Specialized pediatric care unit with experienced neonatologists, Multilingual staff to cater to diverse patient populations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,11133.74,Tata AIA Life Insurance,Cancer Care Plan,6416.58,True,"Ambulance cover, Personal accident insurance, International emergency coverage, Daycare treatment coverage, Maternity and newborn cover, Automatic restoration of sum insured"
Sri Manakula Vinayagar Medical College Hospital Blood Bank,"Sri Manakula Vinayagar Medical College Hospital Blood Bank, Villupuram - Puducherry Saalai, Kalitheerthalkuppam, Villianur Taluk, Puducherry",Kalitheerthalkuppam,Puducherry,605107,7450792445,India,11.9215860,79.6281968,General Medicine,"State-of-the-art diagnostic imaging center, /7 emergency services with dedicated trauma care, Comprehensive cardiology department with advanced interventional procedures, Specialized pediatric care unit with experienced neonatologists, Multilingual staff to cater to diverse patient populations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,11133.74,Oriental Insurance Company,Arogya Sanjeevani Policy,11460.17,False,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Sri Manakula Vinayagar Medical College Hospital Blood Bank,"Sri Manakula Vinayagar Medical College Hospital Blood Bank, Villupuram - Puducherry Saalai, Kalitheerthalkuppam, Villianur Taluk, Puducherry",Kalitheerthalkuppam,Puducherry,605107,7450792445,India,11.9215860,79.6281968,General Medicine,"State-of-the-art diagnostic imaging center, /7 emergency services with dedicated trauma care, Comprehensive cardiology department with advanced interventional procedures, Specialized pediatric care unit with experienced neonatologists, Multilingual staff to cater to diverse patient populations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,11133.74,Aviva Life Insurance,Cancer Care Plan,6530.40,True,"Ambulance cover, Personal accident insurance, International emergency coverage, Daycare treatment coverage, Maternity and newborn cover, Automatic restoration of sum insured"
Sri Manakula Vinayagar Medical College Hospital Blood Bank,"Sri Manakula Vinayagar Medical College Hospital Blood Bank, Villupuram - Puducherry Saalai, Kalitheerthalkuppam, Villianur Taluk, Puducherry",Kalitheerthalkuppam,Puducherry,605107,7450792445,India,11.9215860,79.6281968,General Medicine,"State-of-the-art diagnostic imaging center, /7 emergency services with dedicated trauma care, Comprehensive cardiology department with advanced interventional procedures, Specialized pediatric care unit with experienced neonatologists, Multilingual staff to cater to diverse patient populations",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,21475.57,,,,,
