Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Jawaharlal Institute of Post Graduate Medical Education and Research,"Jawaharlal Institute of Post Graduate Medical Education and Research, 2nd Cross Road, Thattanchavady Industrial Estate, Dhanvantari Nagar, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605006,7365226558,India,11.9510632,79.8005260,General Medicine,"State-of-the-art medical technology and equipment, Comprehensive range of specialties, including cardiology, oncology, and neurology, /7 emergency services with dedicated trauma care, Dedicated research and development initiatives, Patient-centric approach with emphasis on personalized care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,23982.59,,,,,
Jawaharlal Institute of Post Graduate Medical Education and Research,"Jawaharlal Institute of Post Graduate Medical Education and Research, 2nd Cross Road, Thattanchavady Industrial Estate, Dhanvantari Nagar, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605006,7365226558,India,11.9510632,79.8005260,General Medicine,"State-of-the-art medical technology and equipment, Comprehensive range of specialties, including cardiology, oncology, and neurology, /7 emergency services with dedicated trauma care, Dedicated research and development initiatives, Patient-centric approach with emphasis on personalized care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,23982.59,Niva Bupa Health Insurance,Health Premia,18189.62,True,"Organ donor expenses covered, Daycare treatment coverage, Coverage for chronic disease management, No claim bonus benefits, Health and wellness rewards program, Automatic restoration of sum insured"
Jawaharlal Institute of Post Graduate Medical Education and Research,"Jawaharlal Institute of Post Graduate Medical Education and Research, 2nd Cross Road, Thattanchavady Industrial Estate, Dhanvantari Nagar, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605006,7365226558,India,11.9510632,79.8005260,General Medicine,"State-of-the-art medical technology and equipment, Comprehensive range of specialties, including cardiology, oncology, and neurology, /7 emergency services with dedicated trauma care, Dedicated research and development initiatives, Patient-centric approach with emphasis on personalized care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,23982.59,United India Insurance Company,Arogya Sanjeevani Policy,22485.16,False,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Jawaharlal Institute of Post Graduate Medical Education and Research,"Jawaharlal Institute of Post Graduate Medical Education and Research, 2nd Cross Road, Thattanchavady Industrial Estate, Dhanvantari Nagar, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605006,7365226558,India,11.9510632,79.8005260,General Medicine,"State-of-the-art medical technology and equipment, Comprehensive range of specialties, including cardiology, oncology, and neurology, /7 emergency services with dedicated trauma care, Dedicated research and development initiatives, Patient-centric approach with emphasis on personalized care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,23982.59,Magma HDI General Insurance,Arogya Sanjeevani Policy,16168.96,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Jawaharlal Institute of Post Graduate Medical Education and Research,"Jawaharlal Institute of Post Graduate Medical Education and Research, 2nd Cross Road, Thattanchavady Industrial Estate, Dhanvantari Nagar, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605006,7365226558,India,11.9510632,79.8005260,General Medicine,"State-of-the-art medical technology and equipment, Comprehensive range of specialties, including cardiology, oncology, and neurology, /7 emergency services with dedicated trauma care, Dedicated research and development initiatives, Patient-centric approach with emphasis on personalized care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,23982.59,The New India Assurance,Premier Mediclaim Policy,17351.16,True,"Pre and post-hospitalization expenses, Annual health check-ups, Unlimited teleconsultations, Health and wellness rewards program, Coverage for alternative treatments (AYUSH)"
Jawaharlal Institute of Post Graduate Medical Education and Research,"Jawaharlal Institute of Post Graduate Medical Education and Research, 2nd Cross Road, Thattanchavady Industrial Estate, Dhanvantari Nagar, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605006,7365226558,India,11.9510632,79.8005260,General Medicine,"State-of-the-art medical technology and equipment, Comprehensive range of specialties, including cardiology, oncology, and neurology, /7 emergency services with dedicated trauma care, Dedicated research and development initiatives, Patient-centric approach with emphasis on personalized care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,23982.59,Exide Life Insurance,Health Savings Plan,12790.01,True,"Annual health check-ups, Ambulance cover, Daycare treatment coverage, Unlimited teleconsultations, No room rent limit"
Jawaharlal Institute of Post Graduate Medical Education and Research,"Jawaharlal Institute of Post Graduate Medical Education and Research, 2nd Cross Road, Thattanchavady Industrial Estate, Dhanvantari Nagar, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605006,7365226558,India,11.9510632,79.8005260,General Medicine,"State-of-the-art medical technology and equipment, Comprehensive range of specialties, including cardiology, oncology, and neurology, /7 emergency services with dedicated trauma care, Dedicated research and development initiatives, Patient-centric approach with emphasis on personalized care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,23982.59,IFFCO Tokio General Insurance,Critical Illness Benefit Policy,13676.42,True,"International emergency coverage, Cashless hospitalization across network hospitals, Annual health check-ups, No room rent limit, Unlimited teleconsultations"
Jawaharlal Institute of Post Graduate Medical Education and Research,"Jawaharlal Institute of Post Graduate Medical Education and Research, 2nd Cross Road, Thattanchavady Industrial Estate, Dhanvantari Nagar, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605006,7365226558,India,11.9510632,79.8005260,General Medicine,"State-of-the-art medical technology and equipment, Comprehensive range of specialties, including cardiology, oncology, and neurology, /7 emergency services with dedicated trauma care, Dedicated research and development initiatives, Patient-centric approach with emphasis on personalized care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,23982.59,Tata AIG General Insurance,Critical Illness Policy,13326.04,True,"Pre and post-hospitalization expenses, Tax benefits under Section 80D, Critical illness coverage, Personal accident insurance, Unlimited teleconsultations, Second medical opinion service"
Jawaharlal Institute of Post Graduate Medical Education and Research,"Jawaharlal Institute of Post Graduate Medical Education and Research, 2nd Cross Road, Thattanchavady Industrial Estate, Dhanvantari Nagar, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605006,7365226558,India,11.9510632,79.8005260,General Medicine,"State-of-the-art medical technology and equipment, Comprehensive range of specialties, including cardiology, oncology, and neurology, /7 emergency services with dedicated trauma care, Dedicated research and development initiatives, Patient-centric approach with emphasis on personalized care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,13322.72,,,,,
Jawaharlal Institute of Post Graduate Medical Education and Research,"Jawaharlal Institute of Post Graduate Medical Education and Research, 2nd Cross Road, Thattanchavady Industrial Estate, Dhanvantari Nagar, Ozhukarai, Ozhukarai Taluk, Puducherry",Ozhukarai,Puducherry,605006,7365226558,India,11.9510632,79.8005260,General Medicine,"State-of-the-art medical technology and equipment, Comprehensive range of specialties, including cardiology, oncology, and neurology, /7 emergency services with dedicated trauma care, Dedicated research and development initiatives, Patient-centric approach with emphasis on personalized care",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,22457.27,,,,,
