Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Gandhi Hospital,"Gandhi Hospital, NH163, Bollepalle, Govindaraopet, Govindaraopet mandal, Mulugu, Telangana",Govindaraopet,Telangana,506344,8680690127,India,18.1961280,80.1295300,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Diagnostic Services, Multilingual Staff",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,19044.11,,,,,
Gandhi Hospital,"Gandhi Hospital, NH163, Bollepalle, Govindaraopet, Govindaraopet mandal, Mulugu, Telangana",Govindaraopet,Telangana,506344,8680690127,India,18.1961280,80.1295300,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Diagnostic Services, Multilingual Staff",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,19044.11,Cholamandalam MS General Insurance,Chola MS Top-up Healthline,11041.95,True,"Cashless hospitalization across network hospitals, Lifelong renewability, Second medical opinion service, Ambulance cover, Coverage for chronic disease management, Personal accident insurance, Coverage for alternative treatments (AYUSH)"
Gandhi Hospital,"Gandhi Hospital, NH163, Bollepalle, Govindaraopet, Govindaraopet mandal, Mulugu, Telangana",Govindaraopet,Telangana,506344,8680690127,India,18.1961280,80.1295300,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Diagnostic Services, Multilingual Staff",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,19044.11,Exide Life Insurance,Health Savings Plan,15277.77,True,"Annual health check-ups, Ambulance cover, Daycare treatment coverage, Unlimited teleconsultations, No room rent limit"
Gandhi Hospital,"Gandhi Hospital, NH163, Bollepalle, Govindaraopet, Govindaraopet mandal, Mulugu, Telangana",Govindaraopet,Telangana,506344,8680690127,India,18.1961280,80.1295300,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Diagnostic Services, Multilingual Staff",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,19044.11,Magma HDI General Insurance,Critical Illness Insurance,10185.11,True,"Annual health check-ups, Health and wellness rewards program, Automatic restoration of sum insured, Organ donor expenses covered, International emergency coverage, Cashless hospitalization across network hospitals"
Gandhi Hospital,"Gandhi Hospital, NH163, Bollepalle, Govindaraopet, Govindaraopet mandal, Mulugu, Telangana",Govindaraopet,Telangana,506344,8680690127,India,18.1961280,80.1295300,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Diagnostic Services, Multilingual Staff",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,19044.11,United India Insurance Company,Family Medicare Policy,10150.57,True,"Critical illness coverage, Maternity and newborn cover, Tax benefits under Section 80D, Pre and post-hospitalization expenses, Annual health check-ups, No claim bonus benefits, No room rent limit"
Gandhi Hospital,"Gandhi Hospital, NH163, Bollepalle, Govindaraopet, Govindaraopet mandal, Mulugu, Telangana",Govindaraopet,Telangana,506344,8680690127,India,18.1961280,80.1295300,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Diagnostic Services, Multilingual Staff",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,19044.11,Raheja QBE General Insurance,Health QuBE Comprehensive Health Insurance,15805.32,True,"Lifelong renewability, No room rent limit, Critical illness coverage, International emergency coverage, Tax benefits under Section 80D"
Gandhi Hospital,"Gandhi Hospital, NH163, Bollepalle, Govindaraopet, Govindaraopet mandal, Mulugu, Telangana",Govindaraopet,Telangana,506344,8680690127,India,18.1961280,80.1295300,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Diagnostic Services, Multilingual Staff",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,14142.93,,,,,
Gandhi Hospital,"Gandhi Hospital, NH163, Bollepalle, Govindaraopet, Govindaraopet mandal, Mulugu, Telangana",Govindaraopet,Telangana,506344,8680690127,India,18.1961280,80.1295300,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Diagnostic Services, Multilingual Staff",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,6202.11,,,,,
Gandhi Hospital,"Gandhi Hospital, NH163, Bollepalle, Govindaraopet, Govindaraopet mandal, Mulugu, Telangana",Govindaraopet,Telangana,506344,8680690127,India,18.1961280,80.1295300,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Diagnostic Services, Multilingual Staff",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,6202.11,Zuno General Insurance (Edelweiss),Health Insurance,2890.78,True,"Coverage for alternative treatments (AYUSH), Organ donor expenses covered, Coverage for chronic disease management, Maternity and newborn cover, Unlimited teleconsultations, Tax benefits under Section 80D"
Gandhi Hospital,"Gandhi Hospital, NH163, Bollepalle, Govindaraopet, Govindaraopet mandal, Mulugu, Telangana",Govindaraopet,Telangana,506344,8680690127,India,18.1961280,80.1295300,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Department, On-site Pharmacy and Diagnostic Services, Multilingual Staff",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,10349.61,,,,,
