Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Malla Reddy Narayana Multispeciality Hospital's Blood Bank,"Malla Reddy Narayana Multispeciality Hospital's Blood Bank, Jeedimetla Main Road, Colony Name, Ward 129 Suraram, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Quthbullapur mandal, Medchal–Malkajgiri, Telangana",Hyderabad,Telangana,500055,8566065112,India,17.5441225,78.4331265,General Medicine,"Comprehensive Cancer Care Program, /7 Emergency Services, Minimally Invasive Surgical Techniques, Dedicated International Patient Services",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,21312.91,,,,,
Malla Reddy Narayana Multispeciality Hospital's Blood Bank,"Malla Reddy Narayana Multispeciality Hospital's Blood Bank, Jeedimetla Main Road, Colony Name, Ward 129 Suraram, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Quthbullapur mandal, Medchal–Malkajgiri, Telangana",Hyderabad,Telangana,500055,8566065112,India,17.5441225,78.4331265,General Medicine,"Comprehensive Cancer Care Program, /7 Emergency Services, Minimally Invasive Surgical Techniques, Dedicated International Patient Services",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,21312.91,Bajaj Allianz General Insurance,Health Infinity Plan,13211.59,True,"Annual health check-ups, Maternity and newborn cover, Cashless hospitalization across network hospitals, Coverage for chronic disease management, No room rent limit"
Malla Reddy Narayana Multispeciality Hospital's Blood Bank,"Malla Reddy Narayana Multispeciality Hospital's Blood Bank, Jeedimetla Main Road, Colony Name, Ward 129 Suraram, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Quthbullapur mandal, Medchal–Malkajgiri, Telangana",Hyderabad,Telangana,500055,8566065112,India,17.5441225,78.4331265,General Medicine,"Comprehensive Cancer Care Program, /7 Emergency Services, Minimally Invasive Surgical Techniques, Dedicated International Patient Services",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,21312.91,PNB MetLife Insurance,Mera Mediclaim Plan,10414.05,True,"No room rent limit, Automatic restoration of sum insured, Ambulance cover, Maternity and newborn cover, No claim bonus benefits"
Malla Reddy Narayana Multispeciality Hospital's Blood Bank,"Malla Reddy Narayana Multispeciality Hospital's Blood Bank, Jeedimetla Main Road, Colony Name, Ward 129 Suraram, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Quthbullapur mandal, Medchal–Malkajgiri, Telangana",Hyderabad,Telangana,500055,8566065112,India,17.5441225,78.4331265,General Medicine,"Comprehensive Cancer Care Program, /7 Emergency Services, Minimally Invasive Surgical Techniques, Dedicated International Patient Services",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,21312.91,Aditya Birla Health Insurance,Activ Care Classic,15624.40,True,"Personal accident insurance, Cashless hospitalization across network hospitals, Tax benefits under Section 80D, Coverage for chronic disease management, Automatic restoration of sum insured, No claim bonus benefits, Maternity and newborn cover"
Malla Reddy Narayana Multispeciality Hospital's Blood Bank,"Malla Reddy Narayana Multispeciality Hospital's Blood Bank, Jeedimetla Main Road, Colony Name, Ward 129 Suraram, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Quthbullapur mandal, Medchal–Malkajgiri, Telangana",Hyderabad,Telangana,500055,8566065112,India,17.5441225,78.4331265,General Medicine,"Comprehensive Cancer Care Program, /7 Emergency Services, Minimally Invasive Surgical Techniques, Dedicated International Patient Services",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,21312.91,Oriental Insurance Company,Critical Illness Policy,11305.46,True,"Pre and post-hospitalization expenses, Tax benefits under Section 80D, Critical illness coverage, Personal accident insurance, Unlimited teleconsultations, Second medical opinion service"
Malla Reddy Narayana Multispeciality Hospital's Blood Bank,"Malla Reddy Narayana Multispeciality Hospital's Blood Bank, Jeedimetla Main Road, Colony Name, Ward 129 Suraram, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Quthbullapur mandal, Medchal–Malkajgiri, Telangana",Hyderabad,Telangana,500055,8566065112,India,17.5441225,78.4331265,General Medicine,"Comprehensive Cancer Care Program, /7 Emergency Services, Minimally Invasive Surgical Techniques, Dedicated International Patient Services",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,21312.91,United India Insurance Company,Top-up Medicare Policy,16029.19,True,"No room rent limit, Coverage for chronic disease management, International emergency coverage, Cashless hospitalization across network hospitals, No claim bonus benefits, Lifelong renewability, Personal accident insurance"
Malla Reddy Narayana Multispeciality Hospital's Blood Bank,"Malla Reddy Narayana Multispeciality Hospital's Blood Bank, Jeedimetla Main Road, Colony Name, Ward 129 Suraram, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Quthbullapur mandal, Medchal–Malkajgiri, Telangana",Hyderabad,Telangana,500055,8566065112,India,17.5441225,78.4331265,General Medicine,"Comprehensive Cancer Care Program, /7 Emergency Services, Minimally Invasive Surgical Techniques, Dedicated International Patient Services",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,23125.83,,,,,
Malla Reddy Narayana Multispeciality Hospital's Blood Bank,"Malla Reddy Narayana Multispeciality Hospital's Blood Bank, Jeedimetla Main Road, Colony Name, Ward 129 Suraram, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Quthbullapur mandal, Medchal–Malkajgiri, Telangana",Hyderabad,Telangana,500055,8566065112,India,17.5441225,78.4331265,General Medicine,"Comprehensive Cancer Care Program, /7 Emergency Services, Minimally Invasive Surgical Techniques, Dedicated International Patient Services",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,23125.83,Oriental Insurance Company,Arogya Sanjeevani Policy,28565.60,False,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Malla Reddy Narayana Multispeciality Hospital's Blood Bank,"Malla Reddy Narayana Multispeciality Hospital's Blood Bank, Jeedimetla Main Road, Colony Name, Ward 129 Suraram, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Quthbullapur mandal, Medchal–Malkajgiri, Telangana",Hyderabad,Telangana,500055,8566065112,India,17.5441225,78.4331265,General Medicine,"Comprehensive Cancer Care Program, /7 Emergency Services, Minimally Invasive Surgical Techniques, Dedicated International Patient Services",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,23125.83,The New India Assurance,Cancer Guard Policy,18731.40,True,"Daycare treatment coverage, Pre and post-hospitalization expenses, Health and wellness rewards program, Lifelong renewability, Annual health check-ups"
Malla Reddy Narayana Multispeciality Hospital's Blood Bank,"Malla Reddy Narayana Multispeciality Hospital's Blood Bank, Jeedimetla Main Road, Colony Name, Ward 129 Suraram, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Quthbullapur mandal, Medchal–Malkajgiri, Telangana",Hyderabad,Telangana,500055,8566065112,India,17.5441225,78.4331265,General Medicine,"Comprehensive Cancer Care Program, /7 Emergency Services, Minimally Invasive Surgical Techniques, Dedicated International Patient Services",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,23125.83,ICICI Lombard General Insurance,Personal Protect,13866.88,True,"Tax benefits under Section 80D, Critical illness coverage, Health and wellness rewards program, Daycare treatment coverage, Pre and post-hospitalization expenses, Cashless hospitalization across network hospitals, Coverage for alternative treatments (AYUSH)"
