Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Dr. Santosh Singh Hospital,"Dr. Santosh Singh Hospital, NH363, Bellampalli, Bellampalle mandal, Kumuram Bheem Asifabad, Telangana",Bellampalli,Telangana,504251,7260225066,India,19.0768553,79.4866292,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, On-site Pharmacy and Diagnostic Services, Fast-Track Clinic for Non-Emergency Cases",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,13357.61,,,,,
Dr. Santosh Singh Hospital,"Dr. Santosh Singh Hospital, NH363, Bellampalli, Bellampalle mandal, Kumuram Bheem Asifabad, Telangana",Bellampalli,Telangana,504251,7260225066,India,19.0768553,79.4866292,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, On-site Pharmacy and Diagnostic Services, Fast-Track Clinic for Non-Emergency Cases",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,13357.61,Niva Bupa Health Insurance,GoActive,12231.32,False,"Lifelong renewability, No room rent limit, Pre and post-hospitalization expenses, Automatic restoration of sum insured, Coverage for alternative treatments (AYUSH), Unlimited teleconsultations, Second medical opinion service"
Dr. Santosh Singh Hospital,"Dr. Santosh Singh Hospital, NH363, Bellampalli, Bellampalle mandal, Kumuram Bheem Asifabad, Telangana",Bellampalli,Telangana,504251,7260225066,India,19.0768553,79.4866292,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, On-site Pharmacy and Diagnostic Services, Fast-Track Clinic for Non-Emergency Cases",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,11832.49,,,,,
Dr. Santosh Singh Hospital,"Dr. Santosh Singh Hospital, NH363, Bellampalli, Bellampalle mandal, Kumuram Bheem Asifabad, Telangana",Bellampalli,Telangana,504251,7260225066,India,19.0768553,79.4866292,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, On-site Pharmacy and Diagnostic Services, Fast-Track Clinic for Non-Emergency Cases",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,11832.49,Kotak Mahindra Health Insurance,Kotak Health Care Plan,10830.93,False,"Cashless hospitalization across network hospitals, Second medical opinion service, Coverage for chronic disease management, Coverage for alternative treatments (AYUSH), Personal accident insurance, Annual health check-ups"
Dr. Santosh Singh Hospital,"Dr. Santosh Singh Hospital, NH363, Bellampalli, Bellampalle mandal, Kumuram Bheem Asifabad, Telangana",Bellampalli,Telangana,504251,7260225066,India,19.0768553,79.4866292,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, On-site Pharmacy and Diagnostic Services, Fast-Track Clinic for Non-Emergency Cases",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,11832.49,Raheja QBE General Insurance,Corona Kavach Policy,7960.93,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Dr. Santosh Singh Hospital,"Dr. Santosh Singh Hospital, NH363, Bellampalli, Bellampalle mandal, Kumuram Bheem Asifabad, Telangana",Bellampalli,Telangana,504251,7260225066,India,19.0768553,79.4866292,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, On-site Pharmacy and Diagnostic Services, Fast-Track Clinic for Non-Emergency Cases",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,11832.49,SBI General Insurance,Super Health Insurance,9132.93,True,"Critical illness coverage, Ambulance cover, Annual health check-ups, Daycare treatment coverage, Unlimited teleconsultations, Pre and post-hospitalization expenses, Tax benefits under Section 80D"
Dr. Santosh Singh Hospital,"Dr. Santosh Singh Hospital, NH363, Bellampalli, Bellampalle mandal, Kumuram Bheem Asifabad, Telangana",Bellampalli,Telangana,504251,7260225066,India,19.0768553,79.4866292,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, On-site Pharmacy and Diagnostic Services, Fast-Track Clinic for Non-Emergency Cases",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,20368.98,,,,,
Dr. Santosh Singh Hospital,"Dr. Santosh Singh Hospital, NH363, Bellampalli, Bellampalle mandal, Kumuram Bheem Asifabad, Telangana",Bellampalli,Telangana,504251,7260225066,India,19.0768553,79.4866292,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, On-site Pharmacy and Diagnostic Services, Fast-Track Clinic for Non-Emergency Cases",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,17980.68,,,,,
Dr. Santosh Singh Hospital,"Dr. Santosh Singh Hospital, NH363, Bellampalli, Bellampalle mandal, Kumuram Bheem Asifabad, Telangana",Bellampalli,Telangana,504251,7260225066,India,19.0768553,79.4866292,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, On-site Pharmacy and Diagnostic Services, Fast-Track Clinic for Non-Emergency Cases",General Medicine,Executive Health Checkup,GENEXE542,"A comprehensive health assessment for executives, identifying potential risks and promoting proactive wellness.",OUTPATIENT,403.83,,,,,
Dr. Santosh Singh Hospital,"Dr. Santosh Singh Hospital, NH363, Bellampalli, Bellampalle mandal, Kumuram Bheem Asifabad, Telangana",Bellampalli,Telangana,504251,7260225066,India,19.0768553,79.4866292,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, On-site Pharmacy and Diagnostic Services, Fast-Track Clinic for Non-Emergency Cases",General Medicine,Executive Health Checkup,GENEXE542,"A comprehensive health assessment for executives, identifying potential risks and promoting proactive wellness.",OUTPATIENT,403.83,Zuno General Insurance (Edelweiss),Top-up Insurance,215.22,True,"Automatic restoration of sum insured, Coverage for alternative treatments (AYUSH), Unlimited teleconsultations, No room rent limit, Annual health check-ups"
