Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Cloudnine Hospital,"Cloudnine Hospital, Basbusabpalaya Service Road, Nanjappa Garden, Horamavu, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560043,8565911632,India,13.0200840,77.6540530,General Medicine,"Dedicated maternity suites with private rooms and personalized care, /7 access to experienced pediatricians and neonatologists, Comprehensive range of fertility treatments and assisted reproductive technologies, Fast-track labor and delivery services for low-risk pregnancies",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,16817.02,,,,,
Cloudnine Hospital,"Cloudnine Hospital, Basbusabpalaya Service Road, Nanjappa Garden, Horamavu, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560043,8565911632,India,13.0200840,77.6540530,General Medicine,"Dedicated maternity suites with private rooms and personalized care, /7 access to experienced pediatricians and neonatologists, Comprehensive range of fertility treatments and assisted reproductive technologies, Fast-track labor and delivery services for low-risk pregnancies",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,16817.02,Raheja QBE General Insurance,Personal Accident Insurance Policy,14035.47,True,"Coverage for alternative treatments (AYUSH), Tax benefits under Section 80D, Automatic restoration of sum insured, Unlimited teleconsultations, International emergency coverage, Annual health check-ups, Critical illness coverage"
Cloudnine Hospital,"Cloudnine Hospital, Basbusabpalaya Service Road, Nanjappa Garden, Horamavu, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560043,8565911632,India,13.0200840,77.6540530,General Medicine,"Dedicated maternity suites with private rooms and personalized care, /7 access to experienced pediatricians and neonatologists, Comprehensive range of fertility treatments and assisted reproductive technologies, Fast-track labor and delivery services for low-risk pregnancies",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,16817.02,SBI General Insurance,Arogya Sanjeevani Policy,12420.36,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Cloudnine Hospital,"Cloudnine Hospital, Basbusabpalaya Service Road, Nanjappa Garden, Horamavu, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560043,8565911632,India,13.0200840,77.6540530,General Medicine,"Dedicated maternity suites with private rooms and personalized care, /7 access to experienced pediatricians and neonatologists, Comprehensive range of fertility treatments and assisted reproductive technologies, Fast-track labor and delivery services for low-risk pregnancies",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,16817.02,Tata AIA Life Insurance,Arogya Sanjeevani Policy,10883.97,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Cloudnine Hospital,"Cloudnine Hospital, Basbusabpalaya Service Road, Nanjappa Garden, Horamavu, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560043,8565911632,India,13.0200840,77.6540530,General Medicine,"Dedicated maternity suites with private rooms and personalized care, /7 access to experienced pediatricians and neonatologists, Comprehensive range of fertility treatments and assisted reproductive technologies, Fast-track labor and delivery services for low-risk pregnancies",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,16817.02,Niva Bupa Health Insurance,Health Companion,10597.90,True,"Pre and post-hospitalization expenses, International emergency coverage, No room rent limit, Personal accident insurance, Organ donor expenses covered, Cashless hospitalization across network hospitals"
Cloudnine Hospital,"Cloudnine Hospital, Basbusabpalaya Service Road, Nanjappa Garden, Horamavu, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560043,8565911632,India,13.0200840,77.6540530,General Medicine,"Dedicated maternity suites with private rooms and personalized care, /7 access to experienced pediatricians and neonatologists, Comprehensive range of fertility treatments and assisted reproductive technologies, Fast-track labor and delivery services for low-risk pregnancies",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,11617.45,,,,,
Cloudnine Hospital,"Cloudnine Hospital, Basbusabpalaya Service Road, Nanjappa Garden, Horamavu, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560043,8565911632,India,13.0200840,77.6540530,General Medicine,"Dedicated maternity suites with private rooms and personalized care, /7 access to experienced pediatricians and neonatologists, Comprehensive range of fertility treatments and assisted reproductive technologies, Fast-track labor and delivery services for low-risk pregnancies",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,11617.45,HDFC ERGO General Insurance,Health Suraksha,14437.71,False,"Annual health check-ups, Health and wellness rewards program, Lifelong renewability, No claim bonus benefits, Coverage for chronic disease management, Critical illness coverage"
Cloudnine Hospital,"Cloudnine Hospital, Basbusabpalaya Service Road, Nanjappa Garden, Horamavu, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560043,8565911632,India,13.0200840,77.6540530,General Medicine,"Dedicated maternity suites with private rooms and personalized care, /7 access to experienced pediatricians and neonatologists, Comprehensive range of fertility treatments and assisted reproductive technologies, Fast-track labor and delivery services for low-risk pregnancies",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,11617.45,Exide Life Insurance,Cancer Protection Plan,8087.86,True,"No room rent limit, Critical illness coverage, International emergency coverage, Tax benefits under Section 80D, Pre and post-hospitalization expenses, Maternity and newborn cover, Unlimited teleconsultations"
Cloudnine Hospital,"Cloudnine Hospital, Basbusabpalaya Service Road, Nanjappa Garden, Horamavu, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560043,8565911632,India,13.0200840,77.6540530,General Medicine,"Dedicated maternity suites with private rooms and personalized care, /7 access to experienced pediatricians and neonatologists, Comprehensive range of fertility treatments and assisted reproductive technologies, Fast-track labor and delivery services for low-risk pregnancies",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,11617.45,SBI General Insurance,Arogya Supreme Policy,8927.01,True,"No claim bonus benefits, Unlimited teleconsultations, Pre and post-hospitalization expenses, Personal accident insurance, Tax benefits under Section 80D, Critical illness coverage, Cashless hospitalization across network hospitals"
Cloudnine Hospital,"Cloudnine Hospital, Basbusabpalaya Service Road, Nanjappa Garden, Horamavu, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560043,8565911632,India,13.0200840,77.6540530,General Medicine,"Dedicated maternity suites with private rooms and personalized care, /7 access to experienced pediatricians and neonatologists, Comprehensive range of fertility treatments and assisted reproductive technologies, Fast-track labor and delivery services for low-risk pregnancies",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,11617.45,ICICI Lombard General Insurance,Health Booster,8162.07,True,"Maternity and newborn cover, Second medical opinion service, International emergency coverage, Tax benefits under Section 80D, Lifelong renewability, Health and wellness rewards program, Coverage for chronic disease management"
