Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Fortis Hospital,"Fortis Hospital, 111, 46th A Cross Road, Rajajinagar 4th Block, Rajajinagar, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560010,7734085711,India,12.9881648,77.5548179,General Medicine,"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,12312.00,,,,,
Fortis Hospital,"Fortis Hospital, 111, 46th A Cross Road, Rajajinagar 4th Block, Rajajinagar, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560010,7734085711,India,12.9881648,77.5548179,General Medicine,"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,12312.00,Shriram General Insurance,Corona Kavach Policy,9730.03,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Fortis Hospital,"Fortis Hospital, 111, 46th A Cross Road, Rajajinagar 4th Block, Rajajinagar, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560010,7734085711,India,12.9881648,77.5548179,General Medicine,"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,12312.00,Kotak Mahindra Health Insurance,Arogya Sanjeevani Policy,6468.75,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Fortis Hospital,"Fortis Hospital, 111, 46th A Cross Road, Rajajinagar 4th Block, Rajajinagar, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560010,7734085711,India,12.9881648,77.5548179,General Medicine,"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,12312.00,Exide Life Insurance,Health Savings Plan,12843.50,False,"Annual health check-ups, Ambulance cover, Daycare treatment coverage, Unlimited teleconsultations, No room rent limit"
Fortis Hospital,"Fortis Hospital, 111, 46th A Cross Road, Rajajinagar 4th Block, Rajajinagar, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560010,7734085711,India,12.9881648,77.5548179,General Medicine,"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,23069.32,,,,,
Fortis Hospital,"Fortis Hospital, 111, 46th A Cross Road, Rajajinagar 4th Block, Rajajinagar, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560010,7734085711,India,12.9881648,77.5548179,General Medicine,"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,23069.32,Reliance General Insurance,Health Infinity,11264.50,True,"No claim bonus benefits, Second medical opinion service, Automatic restoration of sum insured, Unlimited teleconsultations, Annual health check-ups"
Fortis Hospital,"Fortis Hospital, 111, 46th A Cross Road, Rajajinagar 4th Block, Rajajinagar, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560010,7734085711,India,12.9881648,77.5548179,General Medicine,"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,23069.32,Niva Bupa Health Insurance,Health Premia,30057.06,False,"Organ donor expenses covered, Daycare treatment coverage, Coverage for chronic disease management, No claim bonus benefits, Health and wellness rewards program, Automatic restoration of sum insured"
Fortis Hospital,"Fortis Hospital, 111, 46th A Cross Road, Rajajinagar 4th Block, Rajajinagar, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560010,7734085711,India,12.9881648,77.5548179,General Medicine,"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,23069.32,Shriram General Insurance,Corona Kavach Policy,19055.31,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Fortis Hospital,"Fortis Hospital, 111, 46th A Cross Road, Rajajinagar 4th Block, Rajajinagar, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560010,7734085711,India,12.9881648,77.5548179,General Medicine,"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,23069.32,PNB MetLife Insurance,Family Floater Health Plan,31858.89,False,"Unlimited teleconsultations, Tax benefits under Section 80D, Second medical opinion service, International emergency coverage, Lifelong renewability"
Fortis Hospital,"Fortis Hospital, 111, 46th A Cross Road, Rajajinagar 4th Block, Rajajinagar, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560010,7734085711,India,12.9881648,77.5548179,General Medicine,"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,23893.37,,,,,
