Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
National Institute of Mental Health and Neuro Sciences,"National Institute of Mental Health and Neuro Sciences, 1st Cross Road, Someshwaranagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560029,8152207146,India,12.9400669,77.5931597,General Medicine,"State-of-the-art neuroimaging facilities, Comprehensive mental health services, Dedicated research and innovation programs, Multidisciplinary approach to patient care, Specialized rehabilitation services",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,21075.03,,,,,
National Institute of Mental Health and Neuro Sciences,"National Institute of Mental Health and Neuro Sciences, 1st Cross Road, Someshwaranagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560029,8152207146,India,12.9400669,77.5931597,General Medicine,"State-of-the-art neuroimaging facilities, Comprehensive mental health services, Dedicated research and innovation programs, Multidisciplinary approach to patient care, Specialized rehabilitation services",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,21075.03,Kotak Mahindra Health Insurance,Kotak Health Care Plan,14103.19,True,"Cashless hospitalization across network hospitals, Second medical opinion service, Coverage for chronic disease management, Coverage for alternative treatments (AYUSH), Personal accident insurance, Annual health check-ups"
National Institute of Mental Health and Neuro Sciences,"National Institute of Mental Health and Neuro Sciences, 1st Cross Road, Someshwaranagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560029,8152207146,India,12.9400669,77.5931597,General Medicine,"State-of-the-art neuroimaging facilities, Comprehensive mental health services, Dedicated research and innovation programs, Multidisciplinary approach to patient care, Specialized rehabilitation services",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,21075.03,Tata AIA Life Insurance,Arogya Sanjeevani Policy,25388.11,False,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
National Institute of Mental Health and Neuro Sciences,"National Institute of Mental Health and Neuro Sciences, 1st Cross Road, Someshwaranagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560029,8152207146,India,12.9400669,77.5931597,General Medicine,"State-of-the-art neuroimaging facilities, Comprehensive mental health services, Dedicated research and innovation programs, Multidisciplinary approach to patient care, Specialized rehabilitation services",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,21075.03,Aditya Birla Health Insurance,Activ Health Platinum Essential,24187.25,False,"Lifelong renewability, Coverage for alternative treatments (AYUSH), Ambulance cover, Daycare treatment coverage, Tax benefits under Section 80D, Maternity and newborn cover, Personal accident insurance"
National Institute of Mental Health and Neuro Sciences,"National Institute of Mental Health and Neuro Sciences, 1st Cross Road, Someshwaranagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560029,8152207146,India,12.9400669,77.5931597,General Medicine,"State-of-the-art neuroimaging facilities, Comprehensive mental health services, Dedicated research and innovation programs, Multidisciplinary approach to patient care, Specialized rehabilitation services",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,21075.03,Care Health Insurance,Super Top-up Health Insurance,16641.23,True,"Maternity and newborn cover, Personal accident insurance, Annual health check-ups, Tax benefits under Section 80D, Pre and post-hospitalization expenses"
National Institute of Mental Health and Neuro Sciences,"National Institute of Mental Health and Neuro Sciences, 1st Cross Road, Someshwaranagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560029,8152207146,India,12.9400669,77.5931597,General Medicine,"State-of-the-art neuroimaging facilities, Comprehensive mental health services, Dedicated research and innovation programs, Multidisciplinary approach to patient care, Specialized rehabilitation services",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,21075.03,ICICI Lombard General Insurance,Complete Health Insurance,14117.21,True,"Maternity and newborn cover, Pre and post-hospitalization expenses, Health and wellness rewards program, Lifelong renewability, No room rent limit, Critical illness coverage, No claim bonus benefits"
National Institute of Mental Health and Neuro Sciences,"National Institute of Mental Health and Neuro Sciences, 1st Cross Road, Someshwaranagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560029,8152207146,India,12.9400669,77.5931597,General Medicine,"State-of-the-art neuroimaging facilities, Comprehensive mental health services, Dedicated research and innovation programs, Multidisciplinary approach to patient care, Specialized rehabilitation services",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,9954.23,,,,,
National Institute of Mental Health and Neuro Sciences,"National Institute of Mental Health and Neuro Sciences, 1st Cross Road, Someshwaranagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560029,8152207146,India,12.9400669,77.5931597,General Medicine,"State-of-the-art neuroimaging facilities, Comprehensive mental health services, Dedicated research and innovation programs, Multidisciplinary approach to patient care, Specialized rehabilitation services",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,287.59,,,,,
National Institute of Mental Health and Neuro Sciences,"National Institute of Mental Health and Neuro Sciences, 1st Cross Road, Someshwaranagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560029,8152207146,India,12.9400669,77.5931597,General Medicine,"State-of-the-art neuroimaging facilities, Comprehensive mental health services, Dedicated research and innovation programs, Multidisciplinary approach to patient care, Specialized rehabilitation services",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,287.59,Oriental Insurance Company,PNB-Oriental Royal Mediclaim Policy,191.96,True,"Unlimited teleconsultations, Coverage for chronic disease management, Cashless hospitalization across network hospitals, Second medical opinion service, Daycare treatment coverage, No claim bonus benefits, Tax benefits under Section 80D"
National Institute of Mental Health and Neuro Sciences,"National Institute of Mental Health and Neuro Sciences, 1st Cross Road, Someshwaranagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560029,8152207146,India,12.9400669,77.5931597,General Medicine,"State-of-the-art neuroimaging facilities, Comprehensive mental health services, Dedicated research and innovation programs, Multidisciplinary approach to patient care, Specialized rehabilitation services",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,287.59,Kotak Mahindra Health Insurance,Kotak Health Care Plan,219.08,True,"Cashless hospitalization across network hospitals, Second medical opinion service, Coverage for chronic disease management, Coverage for alternative treatments (AYUSH), Personal accident insurance, Annual health check-ups"
