Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Sparsh Hospital,"Sparsh Hospital, Bellary Road, Venkatala, Yelahanka, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560064,7294402529,India,13.0949131,77.5987930,General Medicine,"/7 Emergency Services, State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, Advanced Diagnostic Imaging Center, Online Appointment Scheduling and Digital Medical Records",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,9935.52,,,,,
Sparsh Hospital,"Sparsh Hospital, Bellary Road, Venkatala, Yelahanka, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560064,7294402529,India,13.0949131,77.5987930,General Medicine,"/7 Emergency Services, State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, Advanced Diagnostic Imaging Center, Online Appointment Scheduling and Digital Medical Records",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,9935.52,Star Health and Allied Insurance,Family Health Optima,7506.96,True,"Tax benefits under Section 80D, Pre and post-hospitalization expenses, Critical illness coverage, Annual health check-ups, Second medical opinion service, No claim bonus benefits"
Sparsh Hospital,"Sparsh Hospital, Bellary Road, Venkatala, Yelahanka, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560064,7294402529,India,13.0949131,77.5987930,General Medicine,"/7 Emergency Services, State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, Advanced Diagnostic Imaging Center, Online Appointment Scheduling and Digital Medical Records",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,9935.52,Cholamandalam MS General Insurance,Chola MS Family Health Insurance,5769.51,True,"Automatic restoration of sum insured, No room rent limit, Cashless hospitalization across network hospitals, Unlimited teleconsultations, Coverage for alternative treatments (AYUSH), Personal accident insurance"
Sparsh Hospital,"Sparsh Hospital, Bellary Road, Venkatala, Yelahanka, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560064,7294402529,India,13.0949131,77.5987930,General Medicine,"/7 Emergency Services, State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, Advanced Diagnostic Imaging Center, Online Appointment Scheduling and Digital Medical Records",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,9935.52,Digit Insurance,Digit Super Top-up Health Insurance,5730.67,True,"International emergency coverage, No claim bonus benefits, Annual health check-ups, Health and wellness rewards program, Automatic restoration of sum insured"
Sparsh Hospital,"Sparsh Hospital, Bellary Road, Venkatala, Yelahanka, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560064,7294402529,India,13.0949131,77.5987930,General Medicine,"/7 Emergency Services, State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, Advanced Diagnostic Imaging Center, Online Appointment Scheduling and Digital Medical Records",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,9935.52,United India Insurance Company,Super Top-up Medicare Policy,6050.57,True,"Second medical opinion service, Critical illness coverage, Daycare treatment coverage, Coverage for alternative treatments (AYUSH), Unlimited teleconsultations"
Sparsh Hospital,"Sparsh Hospital, Bellary Road, Venkatala, Yelahanka, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560064,7294402529,India,13.0949131,77.5987930,General Medicine,"/7 Emergency Services, State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, Advanced Diagnostic Imaging Center, Online Appointment Scheduling and Digital Medical Records",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,9935.52,Zuno General Insurance (Edelweiss),Family Floater Plan,13697.39,False,"Organ donor expenses covered, Second medical opinion service, Maternity and newborn cover, Cashless hospitalization across network hospitals, Annual health check-ups"
Sparsh Hospital,"Sparsh Hospital, Bellary Road, Venkatala, Yelahanka, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560064,7294402529,India,13.0949131,77.5987930,General Medicine,"/7 Emergency Services, State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, Advanced Diagnostic Imaging Center, Online Appointment Scheduling and Digital Medical Records",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,9935.52,Acko General Insurance,Arogya Sanjeevani by ACKO,7741.92,True,"International emergency coverage, Cashless hospitalization across network hospitals, Coverage for chronic disease management, Annual health check-ups, Maternity and newborn cover, Tax benefits under Section 80D, Coverage for alternative treatments (AYUSH)"
Sparsh Hospital,"Sparsh Hospital, Bellary Road, Venkatala, Yelahanka, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560064,7294402529,India,13.0949131,77.5987930,General Medicine,"/7 Emergency Services, State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, Advanced Diagnostic Imaging Center, Online Appointment Scheduling and Digital Medical Records",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,9935.52,Future Generali India Insurance,Health Total,5531.07,True,"International emergency coverage, Pre and post-hospitalization expenses, Second medical opinion service, Annual health check-ups, Tax benefits under Section 80D"
Sparsh Hospital,"Sparsh Hospital, Bellary Road, Venkatala, Yelahanka, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560064,7294402529,India,13.0949131,77.5987930,General Medicine,"/7 Emergency Services, State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, Advanced Diagnostic Imaging Center, Online Appointment Scheduling and Digital Medical Records",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,6424.55,,,,,
Sparsh Hospital,"Sparsh Hospital, Bellary Road, Venkatala, Yelahanka, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560064,7294402529,India,13.0949131,77.5987930,General Medicine,"/7 Emergency Services, State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, Advanced Diagnostic Imaging Center, Online Appointment Scheduling and Digital Medical Records",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,6424.55,Zuno General Insurance (Edelweiss),Critical Illness Cover,3306.87,True,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
