Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
St.John's Medical College Hospital,"St.John's Medical College Hospital, Sarjapur Road, Venkatpura, SBI Colony, Koramangala, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560034,7898198351,India,12.9296783,77.6183585,General Medicine,"/7 emergency services with dedicated trauma team, On-site pharmacy and diagnostic imaging, Dedicated pediatric care unit with specialized physicians, Fast-track services for common ailments",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,12791.68,,,,,
St.John's Medical College Hospital,"St.John's Medical College Hospital, Sarjapur Road, Venkatpura, SBI Colony, Koramangala, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560034,7898198351,India,12.9296783,77.6183585,General Medicine,"/7 emergency services with dedicated trauma team, On-site pharmacy and diagnostic imaging, Dedicated pediatric care unit with specialized physicians, Fast-track services for common ailments",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,23300.95,,,,,
St.John's Medical College Hospital,"St.John's Medical College Hospital, Sarjapur Road, Venkatpura, SBI Colony, Koramangala, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560034,7898198351,India,12.9296783,77.6183585,General Medicine,"/7 emergency services with dedicated trauma team, On-site pharmacy and diagnostic imaging, Dedicated pediatric care unit with specialized physicians, Fast-track services for common ailments",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,23300.95,Magma HDI General Insurance,Critical Illness Insurance,18129.85,True,"Annual health check-ups, Health and wellness rewards program, Automatic restoration of sum insured, Organ donor expenses covered, International emergency coverage, Cashless hospitalization across network hospitals"
St.John's Medical College Hospital,"St.John's Medical College Hospital, Sarjapur Road, Venkatpura, SBI Colony, Koramangala, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560034,7898198351,India,12.9296783,77.6183585,General Medicine,"/7 emergency services with dedicated trauma team, On-site pharmacy and diagnostic imaging, Dedicated pediatric care unit with specialized physicians, Fast-track services for common ailments",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,23300.95,SBI General Insurance,Super Health Insurance,18727.41,True,"Critical illness coverage, Ambulance cover, Annual health check-ups, Daycare treatment coverage, Unlimited teleconsultations, Pre and post-hospitalization expenses, Tax benefits under Section 80D"
St.John's Medical College Hospital,"St.John's Medical College Hospital, Sarjapur Road, Venkatpura, SBI Colony, Koramangala, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560034,7898198351,India,12.9296783,77.6183585,General Medicine,"/7 emergency services with dedicated trauma team, On-site pharmacy and diagnostic imaging, Dedicated pediatric care unit with specialized physicians, Fast-track services for common ailments",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,23300.95,ICICI Lombard General Insurance,Corona Kavach Policy,19353.32,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
St.John's Medical College Hospital,"St.John's Medical College Hospital, Sarjapur Road, Venkatpura, SBI Colony, Koramangala, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560034,7898198351,India,12.9296783,77.6183585,General Medicine,"/7 emergency services with dedicated trauma team, On-site pharmacy and diagnostic imaging, Dedicated pediatric care unit with specialized physicians, Fast-track services for common ailments",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,23300.95,Future Generali India Insurance,Health Suraksha,28964.41,False,"Annual health check-ups, Health and wellness rewards program, Lifelong renewability, No claim bonus benefits, Coverage for chronic disease management, Critical illness coverage"
St.John's Medical College Hospital,"St.John's Medical College Hospital, Sarjapur Road, Venkatpura, SBI Colony, Koramangala, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560034,7898198351,India,12.9296783,77.6183585,General Medicine,"/7 emergency services with dedicated trauma team, On-site pharmacy and diagnostic imaging, Dedicated pediatric care unit with specialized physicians, Fast-track services for common ailments",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,1566.41,,,,,
St.John's Medical College Hospital,"St.John's Medical College Hospital, Sarjapur Road, Venkatpura, SBI Colony, Koramangala, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560034,7898198351,India,12.9296783,77.6183585,General Medicine,"/7 emergency services with dedicated trauma team, On-site pharmacy and diagnostic imaging, Dedicated pediatric care unit with specialized physicians, Fast-track services for common ailments",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,700.79,,,,,
St.John's Medical College Hospital,"St.John's Medical College Hospital, Sarjapur Road, Venkatpura, SBI Colony, Koramangala, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560034,7898198351,India,12.9296783,77.6183585,General Medicine,"/7 emergency services with dedicated trauma team, On-site pharmacy and diagnostic imaging, Dedicated pediatric care unit with specialized physicians, Fast-track services for common ailments",General Medicine,Executive Health Checkup,GENEXE542,"A comprehensive health assessment for executives, identifying potential risks and promoting proactive wellness.",OUTPATIENT,10066.77,,,,,
St.John's Medical College Hospital,"St.John's Medical College Hospital, Sarjapur Road, Venkatpura, SBI Colony, Koramangala, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560034,7898198351,India,12.9296783,77.6183585,General Medicine,"/7 emergency services with dedicated trauma team, On-site pharmacy and diagnostic imaging, Dedicated pediatric care unit with specialized physicians, Fast-track services for common ailments",General Medicine,Executive Health Checkup,GENEXE542,"A comprehensive health assessment for executives, identifying potential risks and promoting proactive wellness.",OUTPATIENT,10066.77,Niva Bupa Health Insurance,Health Companion,10488.92,False,"Pre and post-hospitalization expenses, International emergency coverage, No room rent limit, Personal accident insurance, Organ donor expenses covered, Cashless hospitalization across network hospitals"
St.John's Medical College Hospital,"St.John's Medical College Hospital, Sarjapur Road, Venkatpura, SBI Colony, Koramangala, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560034,7898198351,India,12.9296783,77.6183585,General Medicine,"/7 emergency services with dedicated trauma team, On-site pharmacy and diagnostic imaging, Dedicated pediatric care unit with specialized physicians, Fast-track services for common ailments",General Medicine,Executive Health Checkup,GENEXE542,"A comprehensive health assessment for executives, identifying potential risks and promoting proactive wellness.",OUTPATIENT,10066.77,Liberty General Insurance,Janta Personal Accident Insurance Policy,7278.40,True,"International emergency coverage, Critical illness coverage, Unlimited teleconsultations, Coverage for alternative treatments (AYUSH), Personal accident insurance, Coverage for chronic disease management, Pre and post-hospitalization expenses"
St.John's Medical College Hospital,"St.John's Medical College Hospital, Sarjapur Road, Venkatpura, SBI Colony, Koramangala, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560034,7898198351,India,12.9296783,77.6183585,General Medicine,"/7 emergency services with dedicated trauma team, On-site pharmacy and diagnostic imaging, Dedicated pediatric care unit with specialized physicians, Fast-track services for common ailments",General Medicine,Executive Health Checkup,GENEXE542,"A comprehensive health assessment for executives, identifying potential risks and promoting proactive wellness.",OUTPATIENT,10066.77,ICICI Lombard General Insurance,Corona Kavach Policy,4794.39,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
St.John's Medical College Hospital,"St.John's Medical College Hospital, Sarjapur Road, Venkatpura, SBI Colony, Koramangala, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560034,7898198351,India,12.9296783,77.6183585,General Medicine,"/7 emergency services with dedicated trauma team, On-site pharmacy and diagnostic imaging, Dedicated pediatric care unit with specialized physicians, Fast-track services for common ailments",General Medicine,Executive Health Checkup,GENEXE542,"A comprehensive health assessment for executives, identifying potential risks and promoting proactive wellness.",OUTPATIENT,10066.77,Tata AIA Life Insurance,Tata AIA Medicare Policy,7388.85,True,"Coverage for alternative treatments (AYUSH), Health and wellness rewards program, No claim bonus benefits, Automatic restoration of sum insured, Critical illness coverage"
St.John's Medical College Hospital,"St.John's Medical College Hospital, Sarjapur Road, Venkatpura, SBI Colony, Koramangala, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka",Bengaluru,Karnataka,560034,7898198351,India,12.9296783,77.6183585,General Medicine,"/7 emergency services with dedicated trauma team, On-site pharmacy and diagnostic imaging, Dedicated pediatric care unit with specialized physicians, Fast-track services for common ailments",General Medicine,Executive Health Checkup,GENEXE542,"A comprehensive health assessment for executives, identifying potential risks and promoting proactive wellness.",OUTPATIENT,10066.77,Care Health Insurance,Family Health Insurance Plan,10847.84,False,"Organ donor expenses covered, Personal accident insurance, Daycare treatment coverage, Cashless hospitalization across network hospitals, Health and wellness rewards program, Tax benefits under Section 80D"
