Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Chennai Meenakshi Multispeciality Hospital Ltd,"Chennai Meenakshi Multispeciality Hospital Ltd, Luz Church Road, East Abhiramapuram, CMWSSB Division 123, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600004,7829090682,India,13.0376198,80.2619625,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, International Patient Support Services",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17306.77,,,,,
Chennai Meenakshi Multispeciality Hospital Ltd,"Chennai Meenakshi Multispeciality Hospital Ltd, Luz Church Road, East Abhiramapuram, CMWSSB Division 123, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600004,7829090682,India,13.0376198,80.2619625,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, International Patient Support Services",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17306.77,SBI General Insurance,Critical Illness Insurance Policy,18056.70,False,"Daycare treatment coverage, No room rent limit, Critical illness coverage, Health and wellness rewards program, Organ donor expenses covered"
Chennai Meenakshi Multispeciality Hospital Ltd,"Chennai Meenakshi Multispeciality Hospital Ltd, Luz Church Road, East Abhiramapuram, CMWSSB Division 123, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600004,7829090682,India,13.0376198,80.2619625,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, International Patient Support Services",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17306.77,Zuno General Insurance (Edelweiss),Top-up Insurance,12338.72,True,"Automatic restoration of sum insured, Coverage for alternative treatments (AYUSH), Unlimited teleconsultations, No room rent limit, Annual health check-ups"
Chennai Meenakshi Multispeciality Hospital Ltd,"Chennai Meenakshi Multispeciality Hospital Ltd, Luz Church Road, East Abhiramapuram, CMWSSB Division 123, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600004,7829090682,India,13.0376198,80.2619625,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, International Patient Support Services",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17306.77,Kotak Mahindra Health Insurance,Kotak Super Top-up Plan,17362.52,False,"No claim bonus benefits, International emergency coverage, Pre and post-hospitalization expenses, Coverage for alternative treatments (AYUSH), Automatic restoration of sum insured"
Chennai Meenakshi Multispeciality Hospital Ltd,"Chennai Meenakshi Multispeciality Hospital Ltd, Luz Church Road, East Abhiramapuram, CMWSSB Division 123, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600004,7829090682,India,13.0376198,80.2619625,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, International Patient Support Services",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17306.77,IFFCO Tokio General Insurance,Critical Illness Benefit Policy,9783.07,True,"International emergency coverage, Cashless hospitalization across network hospitals, Annual health check-ups, No room rent limit, Unlimited teleconsultations"
Chennai Meenakshi Multispeciality Hospital Ltd,"Chennai Meenakshi Multispeciality Hospital Ltd, Luz Church Road, East Abhiramapuram, CMWSSB Division 123, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600004,7829090682,India,13.0376198,80.2619625,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, International Patient Support Services",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,20641.78,,,,,
Chennai Meenakshi Multispeciality Hospital Ltd,"Chennai Meenakshi Multispeciality Hospital Ltd, Luz Church Road, East Abhiramapuram, CMWSSB Division 123, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600004,7829090682,India,13.0376198,80.2619625,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, International Patient Support Services",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,5120.66,,,,,
Chennai Meenakshi Multispeciality Hospital Ltd,"Chennai Meenakshi Multispeciality Hospital Ltd, Luz Church Road, East Abhiramapuram, CMWSSB Division 123, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600004,7829090682,India,13.0376198,80.2619625,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, International Patient Support Services",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,5120.66,PNB MetLife Insurance,Family Floater Health Plan,3583.41,True,"Unlimited teleconsultations, Tax benefits under Section 80D, Second medical opinion service, International emergency coverage, Lifelong renewability"
Chennai Meenakshi Multispeciality Hospital Ltd,"Chennai Meenakshi Multispeciality Hospital Ltd, Luz Church Road, East Abhiramapuram, CMWSSB Division 123, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600004,7829090682,India,13.0376198,80.2619625,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, International Patient Support Services",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,5120.66,Cholamandalam MS General Insurance,Chola MS Critical Healthline,2988.57,True,"Critical illness coverage, Personal accident insurance, No room rent limit, Organ donor expenses covered, Maternity and newborn cover"
Chennai Meenakshi Multispeciality Hospital Ltd,"Chennai Meenakshi Multispeciality Hospital Ltd, Luz Church Road, East Abhiramapuram, CMWSSB Division 123, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600004,7829090682,India,13.0376198,80.2619625,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, International Patient Support Services",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,5120.66,Future Generali India Insurance,Health Elite,6267.21,False,"Annual health check-ups, No claim bonus benefits, Maternity and newborn cover, International emergency coverage, Cashless hospitalization across network hospitals, Second medical opinion service, Personal accident insurance"
