Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Kauvery Hospital,"Kauvery Hospital, #199, Luz Church Road, Seethammal Colony, CMWSSB Division 123, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,8440988768,India,13.0381705,80.2573008,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Capabilities, Dedicated Women's Health Center, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,14222.71,,,,,
Kauvery Hospital,"Kauvery Hospital, #199, Luz Church Road, Seethammal Colony, CMWSSB Division 123, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,8440988768,India,13.0381705,80.2573008,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Capabilities, Dedicated Women's Health Center, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,14222.71,Liberty General Insurance,Secure Health Connect Policy,11840.35,True,"Coverage for alternative treatments (AYUSH), Personal accident insurance, International emergency coverage, Daycare treatment coverage, Coverage for chronic disease management, Ambulance cover, Critical illness coverage"
Kauvery Hospital,"Kauvery Hospital, #199, Luz Church Road, Seethammal Colony, CMWSSB Division 123, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,8440988768,India,13.0381705,80.2573008,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Capabilities, Dedicated Women's Health Center, Telemedicine Consultations",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,20525.00,,,,,
Kauvery Hospital,"Kauvery Hospital, #199, Luz Church Road, Seethammal Colony, CMWSSB Division 123, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,8440988768,India,13.0381705,80.2573008,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Capabilities, Dedicated Women's Health Center, Telemedicine Consultations",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,20525.00,IFFCO Tokio General Insurance,Swasthya Kavach Policy,13901.60,True,"Daycare treatment coverage, International emergency coverage, Annual health check-ups, Coverage for chronic disease management, Critical illness coverage, Automatic restoration of sum insured, Ambulance cover"
Kauvery Hospital,"Kauvery Hospital, #199, Luz Church Road, Seethammal Colony, CMWSSB Division 123, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,8440988768,India,13.0381705,80.2573008,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Capabilities, Dedicated Women's Health Center, Telemedicine Consultations",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,20525.00,ManipalCigna Health Insurance,ProHealth Prime,13998.50,True,"Ambulance cover, No claim bonus benefits, Health and wellness rewards program, Coverage for chronic disease management, Maternity and newborn cover, Cashless hospitalization across network hospitals, Tax benefits under Section 80D"
Kauvery Hospital,"Kauvery Hospital, #199, Luz Church Road, Seethammal Colony, CMWSSB Division 123, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,8440988768,India,13.0381705,80.2573008,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Capabilities, Dedicated Women's Health Center, Telemedicine Consultations",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,20525.00,HDFC ERGO General Insurance,Corona Kavach Policy,9592.62,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Kauvery Hospital,"Kauvery Hospital, #199, Luz Church Road, Seethammal Colony, CMWSSB Division 123, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,8440988768,India,13.0381705,80.2573008,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Capabilities, Dedicated Women's Health Center, Telemedicine Consultations",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,20525.00,Shriram General Insurance,Mediclaim Policy,12191.02,True,"Lifelong renewability, Daycare treatment coverage, Health and wellness rewards program, Second medical opinion service, Coverage for chronic disease management, Pre and post-hospitalization expenses"
Kauvery Hospital,"Kauvery Hospital, #199, Luz Church Road, Seethammal Colony, CMWSSB Division 123, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,8440988768,India,13.0381705,80.2573008,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Capabilities, Dedicated Women's Health Center, Telemedicine Consultations",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,20525.00,Exide Life Insurance,Cancer Protection Plan,11931.43,True,"No room rent limit, Critical illness coverage, International emergency coverage, Tax benefits under Section 80D, Pre and post-hospitalization expenses, Maternity and newborn cover, Unlimited teleconsultations"
Kauvery Hospital,"Kauvery Hospital, #199, Luz Church Road, Seethammal Colony, CMWSSB Division 123, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,8440988768,India,13.0381705,80.2573008,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Capabilities, Dedicated Women's Health Center, Telemedicine Consultations",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,17815.63,,,,,
Kauvery Hospital,"Kauvery Hospital, #199, Luz Church Road, Seethammal Colony, CMWSSB Division 123, Zone 9 Teynampet, Chennai, Tamil Nadu",Chennai,Tamil Nadu,600001,8440988768,India,13.0381705,80.2573008,General Medicine,"Advanced Cardiac Care Center, Robotic Surgery Capabilities, Dedicated Women's Health Center, Telemedicine Consultations",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,17815.63,Magma HDI General Insurance,Critical Illness Insurance,11450.96,True,"Annual health check-ups, Health and wellness rewards program, Automatic restoration of sum insured, Organ donor expenses covered, International emergency coverage, Cashless hospitalization across network hospitals"
