Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Apollo Hospitals,"Apollo Hospitals, Service Road, Ward 105 Gachibowli, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500089,8950296639,India,17.4167036,78.3548004,General Medicine,"Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma teams., Dedicated concierge services for personalized patient experience., Fast-track services for routine procedures and check-ups.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,14972.60,,,,,
Apollo Hospitals,"Apollo Hospitals, Service Road, Ward 105 Gachibowli, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500089,8950296639,India,17.4167036,78.3548004,General Medicine,"Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma teams., Dedicated concierge services for personalized patient experience., Fast-track services for routine procedures and check-ups.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,14972.60,Cholamandalam MS General Insurance,Chola Healthline,19702.10,False,"Cashless hospitalization across network hospitals, Daycare treatment coverage, International emergency coverage, Unlimited teleconsultations, Personal accident insurance, Organ donor expenses covered"
Apollo Hospitals,"Apollo Hospitals, Service Road, Ward 105 Gachibowli, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500089,8950296639,India,17.4167036,78.3548004,General Medicine,"Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma teams., Dedicated concierge services for personalized patient experience., Fast-track services for routine procedures and check-ups.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,14972.60,Digit Insurance,Arogya Sanjeevani Policy,7509.85,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Apollo Hospitals,"Apollo Hospitals, Service Road, Ward 105 Gachibowli, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500089,8950296639,India,17.4167036,78.3548004,General Medicine,"Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma teams., Dedicated concierge services for personalized patient experience., Fast-track services for routine procedures and check-ups.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,14972.60,Oriental Insurance Company,Critical Illness Policy,17000.20,False,"Pre and post-hospitalization expenses, Tax benefits under Section 80D, Critical illness coverage, Personal accident insurance, Unlimited teleconsultations, Second medical opinion service"
Apollo Hospitals,"Apollo Hospitals, Service Road, Ward 105 Gachibowli, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500089,8950296639,India,17.4167036,78.3548004,General Medicine,"Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma teams., Dedicated concierge services for personalized patient experience., Fast-track services for routine procedures and check-ups.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,14972.60,Niva Bupa Health Insurance,GoActive,10845.42,True,"Lifelong renewability, No room rent limit, Pre and post-hospitalization expenses, Automatic restoration of sum insured, Coverage for alternative treatments (AYUSH), Unlimited teleconsultations, Second medical opinion service"
Apollo Hospitals,"Apollo Hospitals, Service Road, Ward 105 Gachibowli, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500089,8950296639,India,17.4167036,78.3548004,General Medicine,"Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma teams., Dedicated concierge services for personalized patient experience., Fast-track services for routine procedures and check-ups.",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,23973.06,,,,,
Apollo Hospitals,"Apollo Hospitals, Service Road, Ward 105 Gachibowli, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500089,8950296639,India,17.4167036,78.3548004,General Medicine,"Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma teams., Dedicated concierge services for personalized patient experience., Fast-track services for routine procedures and check-ups.",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,23973.06,Shriram General Insurance,Arogya Sanjeevani Policy,32964.77,False,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Apollo Hospitals,"Apollo Hospitals, Service Road, Ward 105 Gachibowli, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500089,8950296639,India,17.4167036,78.3548004,General Medicine,"Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma teams., Dedicated concierge services for personalized patient experience., Fast-track services for routine procedures and check-ups.",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,18120.41,,,,,
Apollo Hospitals,"Apollo Hospitals, Service Road, Ward 105 Gachibowli, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500089,8950296639,India,17.4167036,78.3548004,General Medicine,"Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma teams., Dedicated concierge services for personalized patient experience., Fast-track services for routine procedures and check-ups.",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,18120.41,Tata AIA Life Insurance,Tata AIA Critical Illness Plan,9578.25,True,"Cashless hospitalization across network hospitals, Critical illness coverage, Second medical opinion service, Annual health check-ups, No claim bonus benefits, Coverage for alternative treatments (AYUSH), Maternity and newborn cover"
Apollo Hospitals,"Apollo Hospitals, Service Road, Ward 105 Gachibowli, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500089,8950296639,India,17.4167036,78.3548004,General Medicine,"Comprehensive cardiac care unit with specialized surgeons and cardiologists., /7 emergency services with dedicated trauma teams., Dedicated concierge services for personalized patient experience., Fast-track services for routine procedures and check-ups.",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,18120.41,Acko General Insurance,ACKO Platinum Super Top-up Health Insurance Policy,9521.81,True,"Maternity and newborn cover, Organ donor expenses covered, Health and wellness rewards program, Cashless hospitalization across network hospitals, No room rent limit"
