Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Continental Hospitals,"Continental Hospitals, Amazon Path way, Ward 105 Gachibowli, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500032,8202429805,India,17.4176646,78.3391307,General Medicine,"Advanced Cardiac Care Center, Dedicated Oncology Unit, On-site Pharmacy, Patient Portal for Online Scheduling and Medical Records Access",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,22560.57,,,,,
Continental Hospitals,"Continental Hospitals, Amazon Path way, Ward 105 Gachibowli, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500032,8202429805,India,17.4176646,78.3391307,General Medicine,"Advanced Cardiac Care Center, Dedicated Oncology Unit, On-site Pharmacy, Patient Portal for Online Scheduling and Medical Records Access",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,22560.57,Bharti AXA General Insurance,Smart Critical Illness Insurance Policy,12836.48,True,"International emergency coverage, Personal accident insurance, Second medical opinion service, Automatic restoration of sum insured, Pre and post-hospitalization expenses"
Continental Hospitals,"Continental Hospitals, Amazon Path way, Ward 105 Gachibowli, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500032,8202429805,India,17.4176646,78.3391307,General Medicine,"Advanced Cardiac Care Center, Dedicated Oncology Unit, On-site Pharmacy, Patient Portal for Online Scheduling and Medical Records Access",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,22560.57,Care Health Insurance,Maternity Health Insurance,18943.81,True,"Cashless hospitalization across network hospitals, Tax benefits under Section 80D, Coverage for chronic disease management, Maternity and newborn cover, Pre and post-hospitalization expenses, Second medical opinion service, Daycare treatment coverage"
Continental Hospitals,"Continental Hospitals, Amazon Path way, Ward 105 Gachibowli, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500032,8202429805,India,17.4176646,78.3391307,General Medicine,"Advanced Cardiac Care Center, Dedicated Oncology Unit, On-site Pharmacy, Patient Portal for Online Scheduling and Medical Records Access",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,22560.57,Universal Sompo General Insurance,Complete Healthcare Insurance,18381.25,True,"No claim bonus benefits, Maternity and newborn cover, Coverage for chronic disease management, Automatic restoration of sum insured, Lifelong renewability, Pre and post-hospitalization expenses"
Continental Hospitals,"Continental Hospitals, Amazon Path way, Ward 105 Gachibowli, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500032,8202429805,India,17.4176646,78.3391307,General Medicine,"Advanced Cardiac Care Center, Dedicated Oncology Unit, On-site Pharmacy, Patient Portal for Online Scheduling and Medical Records Access",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,22560.57,HDFC ERGO General Insurance,Corona Kavach Policy,13618.61,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Continental Hospitals,"Continental Hospitals, Amazon Path way, Ward 105 Gachibowli, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500032,8202429805,India,17.4176646,78.3391307,General Medicine,"Advanced Cardiac Care Center, Dedicated Oncology Unit, On-site Pharmacy, Patient Portal for Online Scheduling and Medical Records Access",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,22560.57,Liberty General Insurance,Corona Kavach Policy,25092.55,False,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Continental Hospitals,"Continental Hospitals, Amazon Path way, Ward 105 Gachibowli, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500032,8202429805,India,17.4176646,78.3391307,General Medicine,"Advanced Cardiac Care Center, Dedicated Oncology Unit, On-site Pharmacy, Patient Portal for Online Scheduling and Medical Records Access",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,3747.44,,,,,
Continental Hospitals,"Continental Hospitals, Amazon Path way, Ward 105 Gachibowli, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500032,8202429805,India,17.4176646,78.3391307,General Medicine,"Advanced Cardiac Care Center, Dedicated Oncology Unit, On-site Pharmacy, Patient Portal for Online Scheduling and Medical Records Access",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,12499.61,,,,,
Continental Hospitals,"Continental Hospitals, Amazon Path way, Ward 105 Gachibowli, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500032,8202429805,India,17.4176646,78.3391307,General Medicine,"Advanced Cardiac Care Center, Dedicated Oncology Unit, On-site Pharmacy, Patient Portal for Online Scheduling and Medical Records Access",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,12499.61,Reliance General Insurance,Health Infinity,7334.59,True,"No claim bonus benefits, Second medical opinion service, Automatic restoration of sum insured, Unlimited teleconsultations, Annual health check-ups"
Continental Hospitals,"Continental Hospitals, Amazon Path way, Ward 105 Gachibowli, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500032,8202429805,India,17.4176646,78.3391307,General Medicine,"Advanced Cardiac Care Center, Dedicated Oncology Unit, On-site Pharmacy, Patient Portal for Online Scheduling and Medical Records Access",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,12499.61,Kotak Mahindra Health Insurance,Critical Illness Cover,16242.93,False,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
Continental Hospitals,"Continental Hospitals, Amazon Path way, Ward 105 Gachibowli, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500032,8202429805,India,17.4176646,78.3391307,General Medicine,"Advanced Cardiac Care Center, Dedicated Oncology Unit, On-site Pharmacy, Patient Portal for Online Scheduling and Medical Records Access",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,12499.61,Aditya Birla Health Insurance,Activ Health Platinum Essential,8606.18,True,"Lifelong renewability, Coverage for alternative treatments (AYUSH), Ambulance cover, Daycare treatment coverage, Tax benefits under Section 80D, Maternity and newborn cover, Personal accident insurance"
Continental Hospitals,"Continental Hospitals, Amazon Path way, Ward 105 Gachibowli, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500032,8202429805,India,17.4176646,78.3391307,General Medicine,"Advanced Cardiac Care Center, Dedicated Oncology Unit, On-site Pharmacy, Patient Portal for Online Scheduling and Medical Records Access",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,12499.61,United India Insurance Company,Arogya Sanjeevani Policy,8195.55,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Continental Hospitals,"Continental Hospitals, Amazon Path way, Ward 105 Gachibowli, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500032,8202429805,India,17.4176646,78.3391307,General Medicine,"Advanced Cardiac Care Center, Dedicated Oncology Unit, On-site Pharmacy, Patient Portal for Online Scheduling and Medical Records Access",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,12499.61,ICICI Lombard General Insurance,Health Booster,7054.13,True,"Maternity and newborn cover, Second medical opinion service, International emergency coverage, Tax benefits under Section 80D, Lifelong renewability, Health and wellness rewards program, Coverage for chronic disease management"
Continental Hospitals,"Continental Hospitals, Amazon Path way, Ward 105 Gachibowli, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500032,8202429805,India,17.4176646,78.3391307,General Medicine,"Advanced Cardiac Care Center, Dedicated Oncology Unit, On-site Pharmacy, Patient Portal for Online Scheduling and Medical Records Access",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,12499.61,Tata AIG General Insurance,Medicare Protect,6993.68,True,"Health and wellness rewards program, No claim bonus benefits, Organ donor expenses covered, Pre and post-hospitalization expenses, Coverage for alternative treatments (AYUSH)"
