Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Global Eye Hospital,"Global Eye Hospital, KPHB Road No 1 Road, Phase 3, Ward 115 Balaji Nagar, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Kukatpally mandal, Medchal–Malkajgiri, Telangana",Hyderabad,Telangana,500072,7851705473,India,17.4912076,78.4011693,General Medicine,"Comprehensive cardiology department with a dedicated team of cardiothoracic surgeons., /7 emergency services with dedicated trauma care units., Dedicated fast-track services for common ailments and procedures., On-site pharmacy and diagnostic imaging center for convenient access to services.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,6236.66,,,,,
Global Eye Hospital,"Global Eye Hospital, KPHB Road No 1 Road, Phase 3, Ward 115 Balaji Nagar, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Kukatpally mandal, Medchal–Malkajgiri, Telangana",Hyderabad,Telangana,500072,7851705473,India,17.4912076,78.4011693,General Medicine,"Comprehensive cardiology department with a dedicated team of cardiothoracic surgeons., /7 emergency services with dedicated trauma care units., Dedicated fast-track services for common ailments and procedures., On-site pharmacy and diagnostic imaging center for convenient access to services.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,6236.66,PNB MetLife Insurance,Guaranteed Savings Plan with Health Cover,8046.05,False,"Pre and post-hospitalization expenses, Organ donor expenses covered, Health and wellness rewards program, Ambulance cover, Personal accident insurance"
Global Eye Hospital,"Global Eye Hospital, KPHB Road No 1 Road, Phase 3, Ward 115 Balaji Nagar, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Kukatpally mandal, Medchal–Malkajgiri, Telangana",Hyderabad,Telangana,500072,7851705473,India,17.4912076,78.4011693,General Medicine,"Comprehensive cardiology department with a dedicated team of cardiothoracic surgeons., /7 emergency services with dedicated trauma care units., Dedicated fast-track services for common ailments and procedures., On-site pharmacy and diagnostic imaging center for convenient access to services.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,6236.66,Raheja QBE General Insurance,Health QuBE Super Top-up Health Insurance,4600.27,True,"Health and wellness rewards program, No room rent limit, Daycare treatment coverage, Personal accident insurance, Ambulance cover, Unlimited teleconsultations, Organ donor expenses covered"
Global Eye Hospital,"Global Eye Hospital, KPHB Road No 1 Road, Phase 3, Ward 115 Balaji Nagar, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Kukatpally mandal, Medchal–Malkajgiri, Telangana",Hyderabad,Telangana,500072,7851705473,India,17.4912076,78.4011693,General Medicine,"Comprehensive cardiology department with a dedicated team of cardiothoracic surgeons., /7 emergency services with dedicated trauma care units., Dedicated fast-track services for common ailments and procedures., On-site pharmacy and diagnostic imaging center for convenient access to services.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,6236.66,Aditya Birla Health Insurance,Activ Health Platinum Premiere,4569.72,True,"Unlimited teleconsultations, Coverage for alternative treatments (AYUSH), No claim bonus benefits, Organ donor expenses covered, No room rent limit, Personal accident insurance, Health and wellness rewards program"
Global Eye Hospital,"Global Eye Hospital, KPHB Road No 1 Road, Phase 3, Ward 115 Balaji Nagar, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Kukatpally mandal, Medchal–Malkajgiri, Telangana",Hyderabad,Telangana,500072,7851705473,India,17.4912076,78.4011693,General Medicine,"Comprehensive cardiology department with a dedicated team of cardiothoracic surgeons., /7 emergency services with dedicated trauma care units., Dedicated fast-track services for common ailments and procedures., On-site pharmacy and diagnostic imaging center for convenient access to services.",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,11448.96,,,,,
Global Eye Hospital,"Global Eye Hospital, KPHB Road No 1 Road, Phase 3, Ward 115 Balaji Nagar, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Kukatpally mandal, Medchal–Malkajgiri, Telangana",Hyderabad,Telangana,500072,7851705473,India,17.4912076,78.4011693,General Medicine,"Comprehensive cardiology department with a dedicated team of cardiothoracic surgeons., /7 emergency services with dedicated trauma care units., Dedicated fast-track services for common ailments and procedures., On-site pharmacy and diagnostic imaging center for convenient access to services.",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,11448.96,ManipalCigna Health Insurance,ProHealth Insurance,9349.41,True,"Coverage for alternative treatments (AYUSH), Personal accident insurance, Automatic restoration of sum insured, Lifelong renewability, Health and wellness rewards program"
Global Eye Hospital,"Global Eye Hospital, KPHB Road No 1 Road, Phase 3, Ward 115 Balaji Nagar, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Kukatpally mandal, Medchal–Malkajgiri, Telangana",Hyderabad,Telangana,500072,7851705473,India,17.4912076,78.4011693,General Medicine,"Comprehensive cardiology department with a dedicated team of cardiothoracic surgeons., /7 emergency services with dedicated trauma care units., Dedicated fast-track services for common ailments and procedures., On-site pharmacy and diagnostic imaging center for convenient access to services.",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,11448.96,Liberty General Insurance,Corona Kavach Policy,12748.22,False,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Global Eye Hospital,"Global Eye Hospital, KPHB Road No 1 Road, Phase 3, Ward 115 Balaji Nagar, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Kukatpally mandal, Medchal–Malkajgiri, Telangana",Hyderabad,Telangana,500072,7851705473,India,17.4912076,78.4011693,General Medicine,"Comprehensive cardiology department with a dedicated team of cardiothoracic surgeons., /7 emergency services with dedicated trauma care units., Dedicated fast-track services for common ailments and procedures., On-site pharmacy and diagnostic imaging center for convenient access to services.",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,11448.96,Future Generali India Insurance,Health Essential,13032.02,False,"No room rent limit, Coverage for alternative treatments (AYUSH), Automatic restoration of sum insured, Annual health check-ups, No claim bonus benefits, Personal accident insurance"
Global Eye Hospital,"Global Eye Hospital, KPHB Road No 1 Road, Phase 3, Ward 115 Balaji Nagar, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Kukatpally mandal, Medchal–Malkajgiri, Telangana",Hyderabad,Telangana,500072,7851705473,India,17.4912076,78.4011693,General Medicine,"Comprehensive cardiology department with a dedicated team of cardiothoracic surgeons., /7 emergency services with dedicated trauma care units., Dedicated fast-track services for common ailments and procedures., On-site pharmacy and diagnostic imaging center for convenient access to services.",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,11448.96,IFFCO Tokio General Insurance,Critical Illness Benefit Policy,7893.09,True,"International emergency coverage, Cashless hospitalization across network hospitals, Annual health check-ups, No room rent limit, Unlimited teleconsultations"
Global Eye Hospital,"Global Eye Hospital, KPHB Road No 1 Road, Phase 3, Ward 115 Balaji Nagar, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Kukatpally mandal, Medchal–Malkajgiri, Telangana",Hyderabad,Telangana,500072,7851705473,India,17.4912076,78.4011693,General Medicine,"Comprehensive cardiology department with a dedicated team of cardiothoracic surgeons., /7 emergency services with dedicated trauma care units., Dedicated fast-track services for common ailments and procedures., On-site pharmacy and diagnostic imaging center for convenient access to services.",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,11448.96,PNB MetLife Insurance,Health Shield Plan,14115.80,False,"Health and wellness rewards program, Critical illness coverage, Coverage for chronic disease management, Second medical opinion service, Tax benefits under Section 80D"
