Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
KIMS HOSPITAL,"KIMS HOSPITAL, Gachibowli - Miyapur Highway, jubliee gardens, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500084,9760307958,India,17.4661470,78.3677443,General Medicine,"State-of-the-art cardiac care facilities with advanced diagnostic and treatment options., Comprehensive cancer care center offering multidisciplinary treatment approaches., /7 emergency services with dedicated trauma care units., Dedicated fast-track services for common ailments and minor injuries., Experienced and renowned medical specialists across various disciplines.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,12332.52,,,,,
KIMS HOSPITAL,"KIMS HOSPITAL, Gachibowli - Miyapur Highway, jubliee gardens, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500084,9760307958,India,17.4661470,78.3677443,General Medicine,"State-of-the-art cardiac care facilities with advanced diagnostic and treatment options., Comprehensive cancer care center offering multidisciplinary treatment approaches., /7 emergency services with dedicated trauma care units., Dedicated fast-track services for common ailments and minor injuries., Experienced and renowned medical specialists across various disciplines.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,12332.52,Niva Bupa Health Insurance,ReAssure,7807.24,True,"Coverage for chronic disease management, Pre and post-hospitalization expenses, Cashless hospitalization across network hospitals, No claim bonus benefits, Coverage for alternative treatments (AYUSH)"
KIMS HOSPITAL,"KIMS HOSPITAL, Gachibowli - Miyapur Highway, jubliee gardens, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500084,9760307958,India,17.4661470,78.3677443,General Medicine,"State-of-the-art cardiac care facilities with advanced diagnostic and treatment options., Comprehensive cancer care center offering multidisciplinary treatment approaches., /7 emergency services with dedicated trauma care units., Dedicated fast-track services for common ailments and minor injuries., Experienced and renowned medical specialists across various disciplines.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,12332.52,Reliance General Insurance,HealthGain,9881.58,True,"Unlimited teleconsultations, Organ donor expenses covered, Cashless hospitalization across network hospitals, Annual health check-ups, Critical illness coverage, Maternity and newborn cover"
KIMS HOSPITAL,"KIMS HOSPITAL, Gachibowli - Miyapur Highway, jubliee gardens, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500084,9760307958,India,17.4661470,78.3677443,General Medicine,"State-of-the-art cardiac care facilities with advanced diagnostic and treatment options., Comprehensive cancer care center offering multidisciplinary treatment approaches., /7 emergency services with dedicated trauma care units., Dedicated fast-track services for common ailments and minor injuries., Experienced and renowned medical specialists across various disciplines.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,12332.52,Bajaj Allianz General Insurance,Health Infinity Plan,7762.81,True,"Annual health check-ups, Maternity and newborn cover, Cashless hospitalization across network hospitals, Coverage for chronic disease management, No room rent limit"
KIMS HOSPITAL,"KIMS HOSPITAL, Gachibowli - Miyapur Highway, jubliee gardens, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500084,9760307958,India,17.4661470,78.3677443,General Medicine,"State-of-the-art cardiac care facilities with advanced diagnostic and treatment options., Comprehensive cancer care center offering multidisciplinary treatment approaches., /7 emergency services with dedicated trauma care units., Dedicated fast-track services for common ailments and minor injuries., Experienced and renowned medical specialists across various disciplines.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,12332.52,Universal Sompo General Insurance,Super Healthcare Insurance,7709.52,True,"Critical illness coverage, Health and wellness rewards program, Organ donor expenses covered, Second medical opinion service, Coverage for chronic disease management, Unlimited teleconsultations"
KIMS HOSPITAL,"KIMS HOSPITAL, Gachibowli - Miyapur Highway, jubliee gardens, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500084,9760307958,India,17.4661470,78.3677443,General Medicine,"State-of-the-art cardiac care facilities with advanced diagnostic and treatment options., Comprehensive cancer care center offering multidisciplinary treatment approaches., /7 emergency services with dedicated trauma care units., Dedicated fast-track services for common ailments and minor injuries., Experienced and renowned medical specialists across various disciplines.",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,12332.52,Shriram General Insurance,Arogya Sanjeevani Policy,9697.02,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
KIMS HOSPITAL,"KIMS HOSPITAL, Gachibowli - Miyapur Highway, jubliee gardens, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500084,9760307958,India,17.4661470,78.3677443,General Medicine,"State-of-the-art cardiac care facilities with advanced diagnostic and treatment options., Comprehensive cancer care center offering multidisciplinary treatment approaches., /7 emergency services with dedicated trauma care units., Dedicated fast-track services for common ailments and minor injuries., Experienced and renowned medical specialists across various disciplines.",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,5040.78,,,,,
KIMS HOSPITAL,"KIMS HOSPITAL, Gachibowli - Miyapur Highway, jubliee gardens, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500084,9760307958,India,17.4661470,78.3677443,General Medicine,"State-of-the-art cardiac care facilities with advanced diagnostic and treatment options., Comprehensive cancer care center offering multidisciplinary treatment approaches., /7 emergency services with dedicated trauma care units., Dedicated fast-track services for common ailments and minor injuries., Experienced and renowned medical specialists across various disciplines.",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,5040.78,Raheja QBE General Insurance,Personal Accident Insurance Policy,3054.06,True,"Coverage for alternative treatments (AYUSH), Tax benefits under Section 80D, Automatic restoration of sum insured, Unlimited teleconsultations, International emergency coverage, Annual health check-ups, Critical illness coverage"
KIMS HOSPITAL,"KIMS HOSPITAL, Gachibowli - Miyapur Highway, jubliee gardens, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500084,9760307958,India,17.4661470,78.3677443,General Medicine,"State-of-the-art cardiac care facilities with advanced diagnostic and treatment options., Comprehensive cancer care center offering multidisciplinary treatment approaches., /7 emergency services with dedicated trauma care units., Dedicated fast-track services for common ailments and minor injuries., Experienced and renowned medical specialists across various disciplines.",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,8924.09,,,,,
KIMS HOSPITAL,"KIMS HOSPITAL, Gachibowli - Miyapur Highway, jubliee gardens, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500084,9760307958,India,17.4661470,78.3677443,General Medicine,"State-of-the-art cardiac care facilities with advanced diagnostic and treatment options., Comprehensive cancer care center offering multidisciplinary treatment approaches., /7 emergency services with dedicated trauma care units., Dedicated fast-track services for common ailments and minor injuries., Experienced and renowned medical specialists across various disciplines.",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,16809.47,,,,,
KIMS HOSPITAL,"KIMS HOSPITAL, Gachibowli - Miyapur Highway, jubliee gardens, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500084,9760307958,India,17.4661470,78.3677443,General Medicine,"State-of-the-art cardiac care facilities with advanced diagnostic and treatment options., Comprehensive cancer care center offering multidisciplinary treatment approaches., /7 emergency services with dedicated trauma care units., Dedicated fast-track services for common ailments and minor injuries., Experienced and renowned medical specialists across various disciplines.",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,16809.47,Tata AIG General Insurance,Medicare Protect,20792.62,False,"Health and wellness rewards program, No claim bonus benefits, Organ donor expenses covered, Pre and post-hospitalization expenses, Coverage for alternative treatments (AYUSH)"
KIMS HOSPITAL,"KIMS HOSPITAL, Gachibowli - Miyapur Highway, jubliee gardens, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500084,9760307958,India,17.4661470,78.3677443,General Medicine,"State-of-the-art cardiac care facilities with advanced diagnostic and treatment options., Comprehensive cancer care center offering multidisciplinary treatment approaches., /7 emergency services with dedicated trauma care units., Dedicated fast-track services for common ailments and minor injuries., Experienced and renowned medical specialists across various disciplines.",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,16809.47,Star Health and Allied Insurance,Family Health Optima,18797.00,False,"Tax benefits under Section 80D, Pre and post-hospitalization expenses, Critical illness coverage, Annual health check-ups, Second medical opinion service, No claim bonus benefits"
