Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,5643.37,,,,,
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,5643.37,Digit Insurance,Corona Kavach Policy,3466.61,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,5643.37,PNB MetLife Insurance,Mera Mediclaim Plan,3936.55,True,"No room rent limit, Automatic restoration of sum insured, Ambulance cover, Maternity and newborn cover, No claim bonus benefits"
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,5643.37,Care Health Insurance,Health Insurance Plan for Individuals,4647.42,True,"Health and wellness rewards program, Ambulance cover, Unlimited teleconsultations, Personal accident insurance, Critical illness coverage, Coverage for chronic disease management, Organ donor expenses covered"
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,5643.37,Aditya Birla Health Insurance,Activ Health Platinum Essential,3859.69,True,"Lifelong renewability, Coverage for alternative treatments (AYUSH), Ambulance cover, Daycare treatment coverage, Tax benefits under Section 80D, Maternity and newborn cover, Personal accident insurance"
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,17041.03,,,,,
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,21790.40,,,,,
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,15995.55,,,,,
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",General Medicine,Executive Health Checkup,GENEXE542,"A comprehensive health assessment for executives, identifying potential risks and promoting proactive wellness.",OUTPATIENT,364.35,,,,,
Osmania General Hospital,"Osmania General Hospital, NH44;NH65;NH163, Afzalgunj, Ward 50 Begum Bazar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Nampally mandal, Hyderabad, Telangana",Hyderabad,Telangana,500012,9683641162,India,17.3729544,78.4742700,General Medicine,"Comprehensive Cardiac Care Center, Dedicated Oncology Department, Advanced Imaging Technology, Telemedicine Consultations",General Medicine,Executive Health Checkup,GENEXE542,"A comprehensive health assessment for executives, identifying potential risks and promoting proactive wellness.",OUTPATIENT,364.35,Aviva Life Insurance,Arogya Sanjeevani Policy,212.29,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
