Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Rainbow Hospitals,"Rainbow Hospitals, Banjara Hills Road Number 10, Gaffar Khan Colony, Ward 93 Banjara Hills, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana",Hyderabad,Telangana,500034,9427709845,India,17.4148145,78.4475692,General Medicine,"Dedicated Pediatric Unit with Child-Life Specialists, Advanced Cardiac Care Center, On-site Pharmacy and Lab Services, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,2366.83,,,,,
Rainbow Hospitals,"Rainbow Hospitals, Banjara Hills Road Number 10, Gaffar Khan Colony, Ward 93 Banjara Hills, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana",Hyderabad,Telangana,500034,9427709845,India,17.4148145,78.4475692,General Medicine,"Dedicated Pediatric Unit with Child-Life Specialists, Advanced Cardiac Care Center, On-site Pharmacy and Lab Services, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,2366.83,Magma HDI General Insurance,Arogya Sanjeevani Policy,1072.92,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Rainbow Hospitals,"Rainbow Hospitals, Banjara Hills Road Number 10, Gaffar Khan Colony, Ward 93 Banjara Hills, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana",Hyderabad,Telangana,500034,9427709845,India,17.4148145,78.4475692,General Medicine,"Dedicated Pediatric Unit with Child-Life Specialists, Advanced Cardiac Care Center, On-site Pharmacy and Lab Services, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,2366.83,Digit Insurance,Corona Kavach Policy,1550.42,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Rainbow Hospitals,"Rainbow Hospitals, Banjara Hills Road Number 10, Gaffar Khan Colony, Ward 93 Banjara Hills, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana",Hyderabad,Telangana,500034,9427709845,India,17.4148145,78.4475692,General Medicine,"Dedicated Pediatric Unit with Child-Life Specialists, Advanced Cardiac Care Center, On-site Pharmacy and Lab Services, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,2366.83,Care Health Insurance,Maternity Health Insurance,1618.40,True,"Cashless hospitalization across network hospitals, Tax benefits under Section 80D, Coverage for chronic disease management, Maternity and newborn cover, Pre and post-hospitalization expenses, Second medical opinion service, Daycare treatment coverage"
Rainbow Hospitals,"Rainbow Hospitals, Banjara Hills Road Number 10, Gaffar Khan Colony, Ward 93 Banjara Hills, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana",Hyderabad,Telangana,500034,9427709845,India,17.4148145,78.4475692,General Medicine,"Dedicated Pediatric Unit with Child-Life Specialists, Advanced Cardiac Care Center, On-site Pharmacy and Lab Services, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,2366.83,Tata AIA Life Insurance,Arogya Sanjeevani Policy,1390.54,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Rainbow Hospitals,"Rainbow Hospitals, Banjara Hills Road Number 10, Gaffar Khan Colony, Ward 93 Banjara Hills, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana",Hyderabad,Telangana,500034,9427709845,India,17.4148145,78.4475692,General Medicine,"Dedicated Pediatric Unit with Child-Life Specialists, Advanced Cardiac Care Center, On-site Pharmacy and Lab Services, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,2366.83,Future Generali India Insurance,Health Essential,1178.98,True,"No room rent limit, Coverage for alternative treatments (AYUSH), Automatic restoration of sum insured, Annual health check-ups, No claim bonus benefits, Personal accident insurance"
Rainbow Hospitals,"Rainbow Hospitals, Banjara Hills Road Number 10, Gaffar Khan Colony, Ward 93 Banjara Hills, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana",Hyderabad,Telangana,500034,9427709845,India,17.4148145,78.4475692,General Medicine,"Dedicated Pediatric Unit with Child-Life Specialists, Advanced Cardiac Care Center, On-site Pharmacy and Lab Services, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,2366.83,IFFCO Tokio General Insurance,Arogya Sanjeevani Policy,1836.77,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Rainbow Hospitals,"Rainbow Hospitals, Banjara Hills Road Number 10, Gaffar Khan Colony, Ward 93 Banjara Hills, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana",Hyderabad,Telangana,500034,9427709845,India,17.4148145,78.4475692,General Medicine,"Dedicated Pediatric Unit with Child-Life Specialists, Advanced Cardiac Care Center, On-site Pharmacy and Lab Services, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,2366.83,Star Health and Allied Insurance,Medi Classic Insurance Policy,1432.57,True,"International emergency coverage, Lifelong renewability, No room rent limit, Ambulance cover, Unlimited teleconsultations, Daycare treatment coverage"
Rainbow Hospitals,"Rainbow Hospitals, Banjara Hills Road Number 10, Gaffar Khan Colony, Ward 93 Banjara Hills, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana",Hyderabad,Telangana,500034,9427709845,India,17.4148145,78.4475692,General Medicine,"Dedicated Pediatric Unit with Child-Life Specialists, Advanced Cardiac Care Center, On-site Pharmacy and Lab Services, Telemedicine Consultations",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,18547.88,,,,,
Rainbow Hospitals,"Rainbow Hospitals, Banjara Hills Road Number 10, Gaffar Khan Colony, Ward 93 Banjara Hills, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana",Hyderabad,Telangana,500034,9427709845,India,17.4148145,78.4475692,General Medicine,"Dedicated Pediatric Unit with Child-Life Specialists, Advanced Cardiac Care Center, On-site Pharmacy and Lab Services, Telemedicine Consultations",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,18547.88,United India Insurance Company,Top-up Medicare Policy,11350.84,True,"No room rent limit, Coverage for chronic disease management, International emergency coverage, Cashless hospitalization across network hospitals, No claim bonus benefits, Lifelong renewability, Personal accident insurance"
Rainbow Hospitals,"Rainbow Hospitals, Banjara Hills Road Number 10, Gaffar Khan Colony, Ward 93 Banjara Hills, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana",Hyderabad,Telangana,500034,9427709845,India,17.4148145,78.4475692,General Medicine,"Dedicated Pediatric Unit with Child-Life Specialists, Advanced Cardiac Care Center, On-site Pharmacy and Lab Services, Telemedicine Consultations",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,18547.88,Acko General Insurance,ACKO Platinum Health Insurance Policy,18890.35,False,"Second medical opinion service, Unlimited teleconsultations, Critical illness coverage, Lifelong renewability, No room rent limit"
Rainbow Hospitals,"Rainbow Hospitals, Banjara Hills Road Number 10, Gaffar Khan Colony, Ward 93 Banjara Hills, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana",Hyderabad,Telangana,500034,9427709845,India,17.4148145,78.4475692,General Medicine,"Dedicated Pediatric Unit with Child-Life Specialists, Advanced Cardiac Care Center, On-site Pharmacy and Lab Services, Telemedicine Consultations",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,18547.88,Cholamandalam MS General Insurance,Chola MS Critical Healthline,8591.35,True,"Critical illness coverage, Personal accident insurance, No room rent limit, Organ donor expenses covered, Maternity and newborn cover"
Rainbow Hospitals,"Rainbow Hospitals, Banjara Hills Road Number 10, Gaffar Khan Colony, Ward 93 Banjara Hills, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana",Hyderabad,Telangana,500034,9427709845,India,17.4148145,78.4475692,General Medicine,"Dedicated Pediatric Unit with Child-Life Specialists, Advanced Cardiac Care Center, On-site Pharmacy and Lab Services, Telemedicine Consultations",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,18547.88,Oriental Insurance Company,Critical Illness Policy,12826.35,True,"Pre and post-hospitalization expenses, Tax benefits under Section 80D, Critical illness coverage, Personal accident insurance, Unlimited teleconsultations, Second medical opinion service"
