Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Shadan Institute of Medical Sciences Teaching Hospital & Research Centre Blood Bank,"Shadan Institute of Medical Sciences Teaching Hospital & Research Centre Blood Bank, Rajendra Nagar, Ward 60 Rajendra Nagar, Greater Hyderabad Municipal Corporation South Zone, Hyderabad, Rajendranagar mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500030,8761242446,India,17.3524904,78.3728454,General Medicine,"State-of-the-art cardiac care center, Dedicated oncology unit with advanced treatment options, /7 emergency services with specialized trauma care, Fast-track registration and consultation for routine checkups, Multilingual staff to cater to a diverse patient population",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,15259.90,,,,,
Shadan Institute of Medical Sciences Teaching Hospital & Research Centre Blood Bank,"Shadan Institute of Medical Sciences Teaching Hospital & Research Centre Blood Bank, Rajendra Nagar, Ward 60 Rajendra Nagar, Greater Hyderabad Municipal Corporation South Zone, Hyderabad, Rajendranagar mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500030,8761242446,India,17.3524904,78.3728454,General Medicine,"State-of-the-art cardiac care center, Dedicated oncology unit with advanced treatment options, /7 emergency services with specialized trauma care, Fast-track registration and consultation for routine checkups, Multilingual staff to cater to a diverse patient population",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,9992.91,,,,,
Shadan Institute of Medical Sciences Teaching Hospital & Research Centre Blood Bank,"Shadan Institute of Medical Sciences Teaching Hospital & Research Centre Blood Bank, Rajendra Nagar, Ward 60 Rajendra Nagar, Greater Hyderabad Municipal Corporation South Zone, Hyderabad, Rajendranagar mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500030,8761242446,India,17.3524904,78.3728454,General Medicine,"State-of-the-art cardiac care center, Dedicated oncology unit with advanced treatment options, /7 emergency services with specialized trauma care, Fast-track registration and consultation for routine checkups, Multilingual staff to cater to a diverse patient population",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,9992.91,Magma HDI General Insurance,Arogya Sanjeevani Policy,8106.35,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Shadan Institute of Medical Sciences Teaching Hospital & Research Centre Blood Bank,"Shadan Institute of Medical Sciences Teaching Hospital & Research Centre Blood Bank, Rajendra Nagar, Ward 60 Rajendra Nagar, Greater Hyderabad Municipal Corporation South Zone, Hyderabad, Rajendranagar mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500030,8761242446,India,17.3524904,78.3728454,General Medicine,"State-of-the-art cardiac care center, Dedicated oncology unit with advanced treatment options, /7 emergency services with specialized trauma care, Fast-track registration and consultation for routine checkups, Multilingual staff to cater to a diverse patient population",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,9992.91,HDFC ERGO General Insurance,Critical Illness Insurance,5358.50,True,"Annual health check-ups, Health and wellness rewards program, Automatic restoration of sum insured, Organ donor expenses covered, International emergency coverage, Cashless hospitalization across network hospitals"
Shadan Institute of Medical Sciences Teaching Hospital & Research Centre Blood Bank,"Shadan Institute of Medical Sciences Teaching Hospital & Research Centre Blood Bank, Rajendra Nagar, Ward 60 Rajendra Nagar, Greater Hyderabad Municipal Corporation South Zone, Hyderabad, Rajendranagar mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500030,8761242446,India,17.3524904,78.3728454,General Medicine,"State-of-the-art cardiac care center, Dedicated oncology unit with advanced treatment options, /7 emergency services with specialized trauma care, Fast-track registration and consultation for routine checkups, Multilingual staff to cater to a diverse patient population",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,9992.91,Universal Sompo General Insurance,Complete Healthcare Insurance,4514.61,True,"No claim bonus benefits, Maternity and newborn cover, Coverage for chronic disease management, Automatic restoration of sum insured, Lifelong renewability, Pre and post-hospitalization expenses"
Shadan Institute of Medical Sciences Teaching Hospital & Research Centre Blood Bank,"Shadan Institute of Medical Sciences Teaching Hospital & Research Centre Blood Bank, Rajendra Nagar, Ward 60 Rajendra Nagar, Greater Hyderabad Municipal Corporation South Zone, Hyderabad, Rajendranagar mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500030,8761242446,India,17.3524904,78.3728454,General Medicine,"State-of-the-art cardiac care center, Dedicated oncology unit with advanced treatment options, /7 emergency services with specialized trauma care, Fast-track registration and consultation for routine checkups, Multilingual staff to cater to a diverse patient population",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,381.38,,,,,
Shadan Institute of Medical Sciences Teaching Hospital & Research Centre Blood Bank,"Shadan Institute of Medical Sciences Teaching Hospital & Research Centre Blood Bank, Rajendra Nagar, Ward 60 Rajendra Nagar, Greater Hyderabad Municipal Corporation South Zone, Hyderabad, Rajendranagar mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500030,8761242446,India,17.3524904,78.3728454,General Medicine,"State-of-the-art cardiac care center, Dedicated oncology unit with advanced treatment options, /7 emergency services with specialized trauma care, Fast-track registration and consultation for routine checkups, Multilingual staff to cater to a diverse patient population",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,381.38,The New India Assurance,Arogya Sanjeevani Policy,482.23,False,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Shadan Institute of Medical Sciences Teaching Hospital & Research Centre Blood Bank,"Shadan Institute of Medical Sciences Teaching Hospital & Research Centre Blood Bank, Rajendra Nagar, Ward 60 Rajendra Nagar, Greater Hyderabad Municipal Corporation South Zone, Hyderabad, Rajendranagar mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500030,8761242446,India,17.3524904,78.3728454,General Medicine,"State-of-the-art cardiac care center, Dedicated oncology unit with advanced treatment options, /7 emergency services with specialized trauma care, Fast-track registration and consultation for routine checkups, Multilingual staff to cater to a diverse patient population",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,15109.70,,,,,
Shadan Institute of Medical Sciences Teaching Hospital & Research Centre Blood Bank,"Shadan Institute of Medical Sciences Teaching Hospital & Research Centre Blood Bank, Rajendra Nagar, Ward 60 Rajendra Nagar, Greater Hyderabad Municipal Corporation South Zone, Hyderabad, Rajendranagar mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500030,8761242446,India,17.3524904,78.3728454,General Medicine,"State-of-the-art cardiac care center, Dedicated oncology unit with advanced treatment options, /7 emergency services with specialized trauma care, Fast-track registration and consultation for routine checkups, Multilingual staff to cater to a diverse patient population",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,15109.70,Zuno General Insurance (Edelweiss),Health Insurance,9025.73,True,"Coverage for alternative treatments (AYUSH), Organ donor expenses covered, Coverage for chronic disease management, Maternity and newborn cover, Unlimited teleconsultations, Tax benefits under Section 80D"
Shadan Institute of Medical Sciences Teaching Hospital & Research Centre Blood Bank,"Shadan Institute of Medical Sciences Teaching Hospital & Research Centre Blood Bank, Rajendra Nagar, Ward 60 Rajendra Nagar, Greater Hyderabad Municipal Corporation South Zone, Hyderabad, Rajendranagar mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500030,8761242446,India,17.3524904,78.3728454,General Medicine,"State-of-the-art cardiac care center, Dedicated oncology unit with advanced treatment options, /7 emergency services with specialized trauma care, Fast-track registration and consultation for routine checkups, Multilingual staff to cater to a diverse patient population",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,15109.70,Niva Bupa Health Insurance,MoneySaver,7259.45,True,"Lifelong renewability, Cashless hospitalization across network hospitals, Health and wellness rewards program, Tax benefits under Section 80D, No room rent limit, Second medical opinion service"
