Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Sunshine Hospitals,"Sunshine Hospitals, Old Bombay Highway, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500110,9218620824,India,17.4202507,78.3852445,General Medicine,"State-of-the-art Cardiac Care Center, Dedicated Pediatric Unit with Child-Friendly Amenities, On-site Pharmacy and Lab Services, Fast-Track Urgent Care for Non-Life Threatening Illnesses",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,4067.53,,,,,
Sunshine Hospitals,"Sunshine Hospitals, Old Bombay Highway, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500110,9218620824,India,17.4202507,78.3852445,General Medicine,"State-of-the-art Cardiac Care Center, Dedicated Pediatric Unit with Child-Friendly Amenities, On-site Pharmacy and Lab Services, Fast-Track Urgent Care for Non-Life Threatening Illnesses",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,4067.53,Acko General Insurance,Arogya Sanjeevani by ACKO,2989.89,True,"International emergency coverage, Cashless hospitalization across network hospitals, Coverage for chronic disease management, Annual health check-ups, Maternity and newborn cover, Tax benefits under Section 80D, Coverage for alternative treatments (AYUSH)"
Sunshine Hospitals,"Sunshine Hospitals, Old Bombay Highway, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500110,9218620824,India,17.4202507,78.3852445,General Medicine,"State-of-the-art Cardiac Care Center, Dedicated Pediatric Unit with Child-Friendly Amenities, On-site Pharmacy and Lab Services, Fast-Track Urgent Care for Non-Life Threatening Illnesses",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,4067.53,ManipalCigna Health Insurance,ProHealth Insurance,2035.99,True,"Coverage for alternative treatments (AYUSH), Personal accident insurance, Automatic restoration of sum insured, Lifelong renewability, Health and wellness rewards program"
Sunshine Hospitals,"Sunshine Hospitals, Old Bombay Highway, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500110,9218620824,India,17.4202507,78.3852445,General Medicine,"State-of-the-art Cardiac Care Center, Dedicated Pediatric Unit with Child-Friendly Amenities, On-site Pharmacy and Lab Services, Fast-Track Urgent Care for Non-Life Threatening Illnesses",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,4067.53,Aviva Life Insurance,Critical Illness Cover,2324.15,True,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
Sunshine Hospitals,"Sunshine Hospitals, Old Bombay Highway, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500110,9218620824,India,17.4202507,78.3852445,General Medicine,"State-of-the-art Cardiac Care Center, Dedicated Pediatric Unit with Child-Friendly Amenities, On-site Pharmacy and Lab Services, Fast-Track Urgent Care for Non-Life Threatening Illnesses",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,4067.53,Shriram General Insurance,Critical Illness Cover,2232.60,True,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
Sunshine Hospitals,"Sunshine Hospitals, Old Bombay Highway, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500110,9218620824,India,17.4202507,78.3852445,General Medicine,"State-of-the-art Cardiac Care Center, Dedicated Pediatric Unit with Child-Friendly Amenities, On-site Pharmacy and Lab Services, Fast-Track Urgent Care for Non-Life Threatening Illnesses",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,4067.53,HDFC ERGO General Insurance,My:Health Medisure Super Top-up,4466.88,False,"Health and wellness rewards program, Cashless hospitalization across network hospitals, Daycare treatment coverage, Ambulance cover, Maternity and newborn cover"
Sunshine Hospitals,"Sunshine Hospitals, Old Bombay Highway, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500110,9218620824,India,17.4202507,78.3852445,General Medicine,"State-of-the-art Cardiac Care Center, Dedicated Pediatric Unit with Child-Friendly Amenities, On-site Pharmacy and Lab Services, Fast-Track Urgent Care for Non-Life Threatening Illnesses",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,18178.77,,,,,
Sunshine Hospitals,"Sunshine Hospitals, Old Bombay Highway, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500110,9218620824,India,17.4202507,78.3852445,General Medicine,"State-of-the-art Cardiac Care Center, Dedicated Pediatric Unit with Child-Friendly Amenities, On-site Pharmacy and Lab Services, Fast-Track Urgent Care for Non-Life Threatening Illnesses",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,18178.77,Cholamandalam MS General Insurance,Arogya Sanjeevani Policy,8506.72,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Sunshine Hospitals,"Sunshine Hospitals, Old Bombay Highway, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500110,9218620824,India,17.4202507,78.3852445,General Medicine,"State-of-the-art Cardiac Care Center, Dedicated Pediatric Unit with Child-Friendly Amenities, On-site Pharmacy and Lab Services, Fast-Track Urgent Care for Non-Life Threatening Illnesses",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,18178.77,Aditya Birla Health Insurance,Activ Assure Diamond,17053.78,False,"Daycare treatment coverage, Maternity and newborn cover, Automatic restoration of sum insured, International emergency coverage, Tax benefits under Section 80D, Lifelong renewability"
Sunshine Hospitals,"Sunshine Hospitals, Old Bombay Highway, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500110,9218620824,India,17.4202507,78.3852445,General Medicine,"State-of-the-art Cardiac Care Center, Dedicated Pediatric Unit with Child-Friendly Amenities, On-site Pharmacy and Lab Services, Fast-Track Urgent Care for Non-Life Threatening Illnesses",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,18178.77,Exide Life Insurance,Hospital Cash Benefit,8294.90,True,"No claim bonus benefits, Critical illness coverage, Cashless hospitalization across network hospitals, Unlimited teleconsultations, Pre and post-hospitalization expenses, Organ donor expenses covered"
Sunshine Hospitals,"Sunshine Hospitals, Old Bombay Highway, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500110,9218620824,India,17.4202507,78.3852445,General Medicine,"State-of-the-art Cardiac Care Center, Dedicated Pediatric Unit with Child-Friendly Amenities, On-site Pharmacy and Lab Services, Fast-Track Urgent Care for Non-Life Threatening Illnesses",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,18178.77,Oriental Insurance Company,Happy Family Floater Policy,21076.19,False,"Second medical opinion service, Critical illness coverage, Cashless hospitalization across network hospitals, Personal accident insurance, No claim bonus benefits, Coverage for chronic disease management"
Sunshine Hospitals,"Sunshine Hospitals, Old Bombay Highway, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500110,9218620824,India,17.4202507,78.3852445,General Medicine,"State-of-the-art Cardiac Care Center, Dedicated Pediatric Unit with Child-Friendly Amenities, On-site Pharmacy and Lab Services, Fast-Track Urgent Care for Non-Life Threatening Illnesses",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,18178.77,HDFC ERGO General Insurance,Arogya Sanjeevani Policy,15115.16,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Sunshine Hospitals,"Sunshine Hospitals, Old Bombay Highway, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500110,9218620824,India,17.4202507,78.3852445,General Medicine,"State-of-the-art Cardiac Care Center, Dedicated Pediatric Unit with Child-Friendly Amenities, On-site Pharmacy and Lab Services, Fast-Track Urgent Care for Non-Life Threatening Illnesses",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,18178.77,Zuno General Insurance (Edelweiss),Critical Illness Cover,9913.35,True,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
Sunshine Hospitals,"Sunshine Hospitals, Old Bombay Highway, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500110,9218620824,India,17.4202507,78.3852445,General Medicine,"State-of-the-art Cardiac Care Center, Dedicated Pediatric Unit with Child-Friendly Amenities, On-site Pharmacy and Lab Services, Fast-Track Urgent Care for Non-Life Threatening Illnesses",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,18178.77,Aviva Life Insurance,Critical Illness Cover,10379.22,True,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
Sunshine Hospitals,"Sunshine Hospitals, Old Bombay Highway, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500110,9218620824,India,17.4202507,78.3852445,General Medicine,"State-of-the-art Cardiac Care Center, Dedicated Pediatric Unit with Child-Friendly Amenities, On-site Pharmacy and Lab Services, Fast-Track Urgent Care for Non-Life Threatening Illnesses",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,12463.58,,,,,
